,comments,pub_dates,like_Counts
0,"Thank god I never watched this movie and directly watched pelli chupulu coz the amount of innocence and purity is there that is ruined by these stupid actors
Vijay - Ritu Rocked",2020-03-27T23:25:39.000Z,1
1,"Congrats Bollywood, you just ruined classic",2020-02-01T10:37:16.000Z,1
2,Who is here after watching whole movie,2020-01-26T19:30:49.000Z,0
3,Movie Ko dakhnay Jana please kritka Kay liay,2020-01-26T09:23:53.000Z,0
4,Are  bhayion mereko koi telegu sikhao yaar.Isse accha to mein original movie dekh leta😣  par majboor hun😥      like and 😍Vijay Deverkonda#❤,2020-01-22T14:14:13.000Z,0
5,Best,2020-01-17T18:12:46.000Z,1
6,nobody can match  director tharun Bhaskar's vision,2019-12-28T06:18:27.000Z,1
7,👍👍👍👍👍👍👌👌👌👌👌👌👌👌👌👌😋😋😋😋🤣🤣🤣🤫🤫🤫🤫😂😂👌,2019-12-13T02:58:09.000Z,0
8,Jackky and kritika superrrr Jodi # l like both of you,2019-12-01T07:42:08.000Z,0
9,pelli choopulu remake,2019-11-20T18:19:37.000Z,0
10,Full movie plz,2019-10-28T13:57:24.000Z,1
11,Nice movie,2019-10-23T15:20:21.000Z,0
12,Copy Cater all coping from tolly wood movie's,2019-10-23T13:44:03.000Z,0
13,remake of telugu super hit pellichupulu,2019-10-22T11:50:39.000Z,0
14,You had literally everything..still ruined it...wthe movie is not at all like the original simple and loving...,2019-10-19T14:56:08.000Z,0
15,Remake of pelli choopulu,2019-10-17T14:43:37.000Z,0
16,Original ko roast kardiya,2019-10-14T11:56:12.000Z,0
17,MiTron movies damle,2019-10-12T04:29:54.000Z,0
18,This is shit not remake,2019-10-07T17:23:21.000Z,0
19,Jackky you are my favourite 😘😘😘😙😙😙😄😄,2019-10-07T10:04:35.000Z,1
20,Is this the hindi of vijaysuperum paurnamiyum😞😞,2019-10-07T10:03:21.000Z,1
21,Hi.. I love this song and the movie Mitron.. Very beautiful and interesting movie.. Do watch it Guys.. Happy Navratri to All.. Ashwin from Pune.,2019-10-06T19:37:42.000Z,1
22,Movie ka naam kya hai,2019-10-05T15:17:47.000Z,0
23,Arey face lo expressions yekkadra,2019-10-01T17:12:59.000Z,0
24,"May it be a copy ie remake or original , but artist need to be given the honest credit always  .. Good job Mitron ..👏😎😘💕",2019-09-30T19:54:41.000Z,2
25,Krithika karma fans like here,2019-09-30T18:06:03.000Z,0
26,"Same bollywood love concept chutiyapa
 kuch bhi dekhate hai  saale

Don't waste your time 
Never watch this shit",2019-09-28T21:48:10.000Z,1
27,"إذا كنت من عشاق بوليود أشترك بقناتي ولن تندم ❤✨
If you are a Bollywood fan, subscribe to my channel and   🐯 😊 you will not regret it",2019-09-10T14:01:30.000Z,0
28,Gajab movie,2019-08-27T16:41:20.000Z,1
29,Is movie ka link Dedo Koi Mil nae rahi kahi per,2019-08-19T06:22:33.000Z,0
30,👌🏼👌🏼😍😍,2019-08-09T19:05:15.000Z,1
31,"Telugu-Pelli Chooplu
Hindi-Mitron
Malayalam-Vijaysuperum Pournamiyum",2019-08-08T04:43:45.000Z,0
32,Shut up,2019-08-02T10:37:10.000Z,0
33,Watchable and entertaining✌💙kritika kamra screen presence💙,2019-08-01T16:46:40.000Z,0
34,"More than Vijay Deverakonda no one can match Priyadarshi Sir in #PelliChoopulu 😍.... ""Na Saav nenu sasta nikenduku"" And ""Mi saavu meeru savandi remakela toh""🤣..... Ok lyt but u people didn't support this movie 😑😩",2019-07-08T16:27:31.000Z,0
35,"Pelli Choopulu - telungu
vijay superum pournamiyum - malayalam
Mitron - hindi",2019-07-04T12:40:29.000Z,1
36,can they atleast give credit to the original ?,2019-06-28T19:11:54.000Z,4
37,Is pratik babbar not in the film???,2019-06-26T16:33:02.000Z,1
38,"Remake of “pellichupulu” of Telugu film industry ! Abi “Kabir singh” of “Arjun reddy”! 
Dho ke dho films # vijaydevarkonda ke hey ! 
Nice movies 👌👌",2019-06-13T16:29:56.000Z,42
39,Malayalam movie ' Vijay superum powrnamiyum  ' same story..,2019-06-09T04:14:52.000Z,0
40,Gandu film h bilkul,2019-06-07T08:12:39.000Z,0
41,"It's a Remake Of 2016 National Award Winning Film(Telugu)  ""PELLI CHOOPULU"" of Vijay Devarakonda",2019-06-06T06:23:40.000Z,0
42,There is same movie from malayalam,2019-06-01T05:58:47.000Z,1
43,Nice movie im  watching this 4 times now on & pictures,2019-04-27T06:53:42.000Z,1
44,Total waste.....spoiled the originals 😶,2019-04-26T21:09:31.000Z,3
45,Remake of pelli choopulu vijay devarakonda,2019-04-26T03:18:14.000Z,1
46,Pura movie dekha hai itna mast movie yrrr I'm just in love with this movie,2019-04-23T15:52:53.000Z,1
47,Pelli chupulu remake😛😛😛,2019-04-14T07:34:55.000Z,0
