,comments,pub_dates,like_Counts
0,Shifakhana is correct word,2020-03-23T10:52:29.000Z,0
1,"Ye film kab aai kab gai ??? 
Trailer hi aaj dikha hai . 
Chali k nahi chali ??",2020-03-15T00:04:54.000Z,0
2,Koe bta skta hai k ya Move kB a rhi hai,2020-03-14T12:10:45.000Z,0
3,"Gaye dunia ke log gaye jaha dekho sex ki baatein hoti rehti he disgusting yrrrr koi sharm he ki nhi logo me
Afsoos isi zamane ki bacchon ka kya hoga vo log badhe hote hote ye sab dekhenge toh fir kya hoga mujhe toh apne bacche ki hi fikr he allah meri or is duniya ki jitne bhi bacche he un sabko hifazat me rakhe",2020-03-13T07:56:31.000Z,0
4,I have watched all film,2020-01-30T15:32:35.000Z,2
5,Free me bhi mat dekho bakvas movie,2020-01-29T21:48:07.000Z,0
6,JIONTA TIGER MUKTI RANJAN. Sanakhisi I love you my sweet DARLING,2020-01-24T19:46:45.000Z,0
7,Watched this movie  only for SUKHA BOUNCER 🔥🔥❤️,2020-01-18T22:05:43.000Z,0
8,I like Sonakshi' s acting in this movie 👍,2020-01-15T15:46:59.000Z,4
9,Best Movie.. I have watched late...on amazon prime but its a nice one...pls watch everyone...,2020-01-10T19:41:14.000Z,0
10,"Aby kia indian pagal han kia sary indian na mard ho gaye han kia kbhi koi chawal toilet  par movie bna raha hay to kbhi koi pads par or ab yah, in chawaloon ko koi acha topic nai milta kia",2020-01-08T22:11:29.000Z,0
11,I find sonakshi sinha better than a lot of actresses out there,2019-12-06T19:45:35.000Z,20
12,Nice song,2019-12-01T09:48:23.000Z,0
13,Nd movie,2019-11-25T18:21:34.000Z,0
14,Didi fir flop ho gy 🤣🤣🤣,2019-11-22T07:18:12.000Z,0
15,NiCe,2019-11-22T03:13:50.000Z,0
16,Nice,2019-11-16T02:26:26.000Z,0
17,Average movie. Could have been much better.,2019-11-12T19:19:54.000Z,0
18,Faltu story h,2019-11-05T15:21:25.000Z,0
19,Ek number vadiyan movie hai...reviews itne sade mille the but movie turned out pretty good shame on critics,2019-10-30T21:06:43.000Z,0
20,"Watch full movie by watching my video... I, ll give you guys movie link.. 100% working... Watch full movie by watching my video and thank me later.... https://youtu.be/xW775J-BFc8",2019-10-28T11:15:36.000Z,0
21,Thooooo,2019-10-27T02:57:12.000Z,0
22,"2:13 the guy is from punjab a body builder who worked so hard and lived in miserable poverty 

Please search Sukha bouncer on Youtube he is very down to earth and humble guy 

Kinldy support him anyway you can",2019-10-26T06:41:11.000Z,3
23,Ab ye madarchod etna gir chuke h bhosdike,2019-10-18T15:27:27.000Z,0
24,Bhaio ye entertainment ke lie ni hai NAA bore hone me lie lekin it is made to create awareness about sex,2019-10-16T14:52:52.000Z,1
25,intahai fazoul kism ki movie hai raat apny 2 ghanty waste kia yar,2019-10-12T06:30:53.000Z,0
26,Moreover education ki kitni jaroort h india ye to pm ki soch dekh b pta chalta h sb krte h sex not s big thing ghtiya soch or gndi zubaan h indians ki,2019-10-11T18:47:46.000Z,0
27,Who have watched the movie ??,2019-10-10T17:52:20.000Z,1
28,subscribe my channel d 3020,2019-10-09T10:18:29.000Z,0
