,comments,pub_dates,like_Counts
0,Kudos to Bhumi and Taapse for taking up these roles. True Craft does not need zero figure and fake surgeries.,2019-09-24T05:58:08.000Z,7185
1,They both acted very well but bhumi is a little better in her body language and accent.,2020-03-23T07:06:47.000Z,0
2,How I can watch this movie,2020-03-22T18:58:12.000Z,0
3,1:17 i didn't find this scene in movie..... Am i right?,2020-03-22T18:47:28.000Z,0
4,Some body plz send me full movie,2020-03-20T11:34:23.000Z,0
5,Bilkul sahi hai movie aurat hmesha dusre ke liye jeeti hai mgr JB Apne liye sochti hai to samaj us ke liye nahi blke us ke khelaf sochne lgte hai Afsos,2020-03-17T03:28:56.000Z,0
6,My favorite movie,2020-03-13T07:35:22.000Z,0
7,Remembar in logo ki story first saty mev jayete par ayyi thi jo real old ledy hai kis kis ko yaad hai,2020-03-04T12:35:10.000Z,0
8,"That last line though...
MIC DROP!",2020-03-02T09:47:58.000Z,0
9,Boring movie,2020-03-01T13:19:55.000Z,0
10,I seen them in satyamev jayate,2020-02-25T13:03:01.000Z,0
11,Bhagu Lal,2020-02-23T13:28:22.000Z,0
12,Best movie,2020-02-22T20:42:25.000Z,0
13,Excellent movie ..forget dabang  and Shah rukh khan movies when there is movies like that . excellent acting by dadis 🙌,2020-02-21T19:56:24.000Z,0
14,"Oh my god, The movie was so inspiring. Tapsee and Bhumi took it to another level, awesome acting. It was just amazing. Really really amazing.",2020-02-21T17:36:28.000Z,0
15,"Really good movie...
Well done bhumi and Tapsee",2020-02-21T06:12:47.000Z,0
16,Aur phir Kai chutiye iss movie ko chhod Housefull 4 dekhe honge,2020-02-20T18:06:04.000Z,1
17,I am also 10m air pistol shooter,2020-02-19T12:39:48.000Z,0
18,Amazing film best sports drama after Dangal,2020-02-17T04:21:38.000Z,0
19,End😂😂,2020-02-16T10:11:50.000Z,0
20,"wow, what a trailer and character of taapsee was so awesome.",2020-02-13T10:37:12.000Z,0
21,"Anurag Kashyap wanted to cast Neena Gupta, but had to follow what the movie producers wanted - ""young"" actresses !!!
What happened to your ""freedom"" Mr. Anurag Kashyap ???
Producer ने फैंके हुए पैसो के लिये अपनी so called ""freedom"" की कुर्बानी दे दी ??? थू !!!",2020-02-13T02:01:27.000Z,0
22,Overacting should have some real chracter,2020-02-10T02:07:14.000Z,0
23,Hey everyone! Learning this game is not that much easy as shown in the film.,2020-02-09T04:11:14.000Z,4
24,"Gjb h,,,ye movie aurto k liye ek,,,himmt,,,hai",2020-02-07T01:27:07.000Z,0
25,Good trailer,2020-02-06T22:46:42.000Z,0
26,Amazing movie... Gave me goosebumps and tears!!! Besttt acting best story♥️,2020-02-02T09:46:11.000Z,0
27,Why do indian guns have zero recoil. Amatures. She shoot and the weapn has no backlash. Shitmovie,2020-02-01T01:20:16.000Z,0
28,Bhut sira movie aa,2020-01-25T05:46:44.000Z,0
29,"All said and done.  The movie excellent and actresses excellent.  But it is sad that instead of hiring older actresses they add makeup to young actresses.  Already indian industry don't have movies made for older actors and when a movie comes along they choose  younger actresses to look older?  If they had hired older actresses they don't even have to do  makeup to make them look older.  Definitely these young actresses who  are my favorite, got to show off their talent along with the  makeup artists.",2020-01-24T12:40:04.000Z,0
30,Very nice movie.... Just saw ... Awesome movie,2020-01-22T16:29:54.000Z,0
31,Cheat dhoka fasao,2020-01-19T07:49:48.000Z,0
32,This movie was legen wait for it dary... Legendary,2020-01-15T18:49:29.000Z,0
33,तापसी सपोर्ट JNU तो मै ईसकी मूवी नही देखूगां ..,2020-01-14T12:13:19.000Z,0
34,Bhumi just lived in her role.. oustanding movie,2020-01-12T13:53:31.000Z,0
35,The ending dialogue nailed it.,2020-01-11T09:29:49.000Z,2
36,Nice,2020-01-09T18:45:56.000Z,0
37,This is one of the best movie ever doesn't fail to bring out emotions 😿😍😍😍😍,2020-01-09T13:41:12.000Z,1
