,comments,pub_dates,like_Counts
0,"I am Not watching this movie for This love story
I am watching for MAHADEV🍁",2020-03-25T18:13:45.000Z,0
1,Sushant singh rajput a one real hero,2020-03-25T11:51:27.000Z,0
2,2:31 oh my! goosebumps,2020-03-23T08:07:33.000Z,0
3,Bhai movie dona,2020-03-21T08:11:13.000Z,0
4,Kha milege bhai ye movie watch krne ko,2020-03-19T16:34:43.000Z,0
5,Protect Nature 🌳 .Nature will protect us 🌲🙏om namah shivah,2020-03-16T04:54:35.000Z,1
6,Boycott all movies they spread love jihaad.,2020-03-12T05:55:20.000Z,0
7,Only love jihaad,2020-03-12T05:54:49.000Z,0
8,मक्का मदिना के इरद गिरद एक लव स्टोरी बनाओ एक हिंदु लडका एक मुस्लिम लडकी उनके प्यार को न समजने वाला कट्टर मुल्ला....,2020-03-04T03:56:47.000Z,0
9,Plz give me full movie link in hindi,2020-02-29T08:58:19.000Z,1
10,"Sara Ali Khan Like
Jahnvi kapoor comment",2020-02-26T15:26:19.000Z,1
11,Mian bhi kahun yrr sab kuchh itna easy kysy hoskta hyy.. yahan crush sy bat krny tak mian phat-ti hy..🙊,2020-02-24T17:53:06.000Z,0
12,She is like her mom and grand mom,2020-02-21T01:57:35.000Z,1
13,2:30,2020-02-20T01:41:22.000Z,0
14,0:56,2020-02-20T01:38:10.000Z,0
15,0:56,2020-02-20T01:38:07.000Z,0
16,"All of Sara’s  movies, dirty kisses 🤮",2020-02-18T12:18:26.000Z,1
17,These two caused the disaster.the whole film crew is responsible.,2020-02-16T03:42:09.000Z,0
18,Kedernath 2 chahiye...kya movei h yr sch me rula diya yr😢...or sara ki acting bohud acha hai...💯or sushant ki vi...,2020-02-15T14:29:07.000Z,2
19,What a movie!Just watched it......It's amaaaaaaaaaaazing.......Loved Sara and Sushant both....... What a movie...... also cried for hours remembering lost loved one..........it deserves more than it did......Love you Sara........ I'm a teen,2020-02-14T06:12:24.000Z,2
20,"ohhh..ho Mujhe aaj malum hua ki, KedarNath  ki pralay ka kya reason  tha.
scientists ko bhi trailer dikhao.Aaj tak sahi reason nahi bata paye .
{Nice Movie}",2020-02-03T17:25:31.000Z,0
21,ye stroy to titanic movie pe hogaya... same story... bt ship replce to weather...🤣,2020-01-30T17:49:39.000Z,1
22,Varun Mitra & Sara Ali Khan ❤,2020-01-27T17:06:01.000Z,0
23,Sushant Singh Rajput & Nidhhi Agerwal ❤,2020-01-27T17:05:39.000Z,0
24,I love you shushant,2020-01-26T14:19:01.000Z,0
25,Honestly Sushant - Sara 's chemistry is way better than overrated Kartik-Sara chemistry,2020-01-26T08:10:12.000Z,5
26,Jisko film pasand hai pls like and comment 🥰😍😘 I love it 💕 Sara Ali Khan and Sushant Singh Rajput nice shoot in Kedar 🙏,2020-01-25T14:56:48.000Z,1
27,Madarchod bhosdiwalo kuch achi movie banao har movie me aa pyar jata h,2020-01-25T13:26:42.000Z,1
28,lol movie,2020-01-24T09:01:13.000Z,1
