,comments,pub_dates,like_Counts
0,Jai hindi,2020-03-27T12:29:55.000Z,0
1,best movie,2020-03-27T10:34:51.000Z,0
2,mind-blowing .....Salute for our INDIAN SOLDIERS,2020-03-27T09:49:55.000Z,0
3,Movi hindi me jald,2020-03-25T04:25:36.000Z,0
4,H,2020-03-24T10:57:15.000Z,0
5,Satellite shankar my favourite soldiers,2020-03-23T17:57:20.000Z,1
6,"GREAT MOVIE.  
I PROUD OF INDIAN ARMY. 
AND PROUD ALL INDIAN. 
JAI HIND. ⚔️",2020-03-23T07:39:47.000Z,0
7,Just watched this awsome film.....shame on us box office collection was only 54 lac,2020-03-22T19:27:02.000Z,0
8,Pura film kha milega bato na koi,2020-03-22T09:53:54.000Z,0
9,Mujhe bhi dekhna h bt kaise??,2020-03-21T19:25:25.000Z,0
10,Ella comments um Hindi laye iruku yaruna Megha akash fan irukingala .... !!,2020-03-19T06:22:39.000Z,0
11,Kisi acche struggling actor se hi karwa le te. Isse accha toh ek patthar ka tukda act kar leta.,2020-03-18T22:26:17.000Z,0
12,This trailer doesn't justify to the brilliant movie like this .. not even 5% lol,2020-03-17T10:56:26.000Z,0
13,Best movie,2020-03-17T08:15:24.000Z,1
14,"Speechless, touching to heart, dedicated to all indians to take care of our loving soldiers. Jai hind",2020-03-16T08:09:38.000Z,1
15,Super movie,2020-03-15T18:01:02.000Z,0
16,Ossum movie 🙏 Respect for Indian army Jai Hind 🇮🇳,2020-03-15T11:14:30.000Z,0
17,Super movie 😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉😉,2020-03-13T16:10:40.000Z,0
18,Please remake this movie in Telugu,2020-03-13T10:27:08.000Z,0
19,2:22 itnay mazay say hastay hovay  eent kon khaata ha,2020-03-11T12:50:39.000Z,0
20,"Ultimate movie....
Must watch guys..... Unexpected movie.....💕💕💕💕",2020-03-11T11:03:39.000Z,0
21,Bhot bhot saandar movie,2020-03-10T18:15:24.000Z,0
22,Superb,2020-03-10T16:49:26.000Z,0
23,Jay hind,2020-03-10T16:16:09.000Z,0
