,comments,pub_dates,like_Counts
0,Upload film love game plzz,2020-04-17T07:19:59.000Z,0
1,Amazing movie must watch,2020-04-09T06:18:39.000Z,0
2,Stupid over acting,2020-04-02T12:35:31.000Z,0
3,When you run out of creativity and sell sex,2020-03-29T03:35:04.000Z,0
4,"🔥🔥🔥🔥🔥 
 Comment if u love T-Series 
 0:31 💯💞 
  👇🖤",2020-03-01T14:15:30.000Z,0
5,Baiya movie ta aplod korna plz,2019-12-31T16:44:11.000Z,0
6,"Love game movie chahiye
Pleas dekhna hai",2019-11-26T10:12:18.000Z,0
7,I saw this movie and it was hilarious... such a mysterious story,2019-11-06T06:30:31.000Z,1
8,good subcribe my,2019-10-18T19:07:20.000Z,0
9,please  upload love games movie  ..i can not find it anywhere on youtube ...its a humble request ...this may show your quality and care towards your listeners...,2019-10-09T16:50:32.000Z,0
10,Please upload the film..,2019-10-02T05:13:01.000Z,0
11,copy from Hollywood,2019-09-12T21:48:09.000Z,0
12,Speak truth love is crazy,2019-08-20T16:39:53.000Z,0
13,Some movie is made for crazy girl,2019-08-20T16:39:33.000Z,0
14,Movie trailer is very good When will this movie release,2019-08-20T16:36:27.000Z,0
15,Love gemas movie pely now,2019-08-15T19:57:50.000Z,0
16,Gaurav Arora to Gauri Arora 😁😁,2019-07-10T04:28:09.000Z,0
17,yar kaab ay gi ye wait kr kr k thak gya,2019-06-10T16:10:57.000Z,0
18,My favorite movie 😂,2019-05-23T21:09:57.000Z,1
19,Ghanta 🔔,2019-05-11T01:09:14.000Z,1
20,U are upload   this full. .movie...,2019-05-06T09:45:05.000Z,0
21,Full movie link din plz,2019-04-20T16:38:59.000Z,0
22,Kis kis ne movi nahi deki a plz,2019-03-30T21:22:20.000Z,0
23,Movi uplod karle plzzz,2019-03-30T21:21:49.000Z,0
24,😳,2019-03-06T19:08:14.000Z,0
25,Full movie kaha say milay ge,2019-02-17T18:20:18.000Z,0
26,Please put the full movie,2019-02-08T19:18:15.000Z,0
27,Plz add dis movie!!,2019-02-07T02:22:40.000Z,0
28,Budhay tharki directors ki movie hay...,2019-02-06T14:15:29.000Z,0
29,Full movie applod kariye na,2019-02-04T17:12:54.000Z,0
30,Plz upload full movie,2019-01-17T08:23:34.000Z,0
31,When you get your girl pregnant 2:05,2018-12-28T16:52:32.000Z,0
32,"This actoer is from mungaoli city but he told that on camera that he is from bhopal or indore ,,shamefull 😔😔😏😏😏",2018-11-08T19:32:36.000Z,0
33,Is movie ko u tube pr dalo yrrr plzzz,2018-11-04T15:49:07.000Z,0
34,Duplicate chaabi banane wala lgta h.,2018-10-13T05:10:49.000Z,0
35,"Paterlekha very talented actress but sadly bollywood with full of nepotism,not get deserving people chance",2018-09-29T06:19:19.000Z,0
36,Rubbish actress patralekha,2018-09-16T08:17:21.000Z,0
37,khn milly ge ye movie,2018-08-05T00:51:27.000Z,0
38,Awsme_movie,2018-08-01T05:12:19.000Z,0
39,Out Standing,2018-07-29T03:49:08.000Z,0
40,sexy movie,2018-07-09T20:30:04.000Z,0
41,wow Love Game 😎 i will win.......,2018-05-11T16:24:24.000Z,1
42,"The ones who are barking without seeing the movie, the movie was a really decent one. Go watch it before barking",2018-05-07T18:31:40.000Z,9
43,where to watch this series any link pls...!!??,2018-05-03T13:31:51.000Z,0
44,Came here after Patralekha's interview with Rajeev. Yuck what a disaster this trailer is.,2018-04-13T16:30:54.000Z,2
45,"0:45  Best line ever written, best delivery in the history of Cinema.",2018-04-11T07:47:48.000Z,9
46,I love this movie 💖,2018-02-20T14:43:38.000Z,0
47,hiten tejwani ❤❤,2018-01-05T08:03:18.000Z,0
48,"you want to make money and you are an entrepreneur!
test your qualities here !!
https://www.youtube.com/watch?v=7zqniroaYHU",2017-12-18T17:24:10.000Z,0
49,Muskan,2017-11-23T05:44:08.000Z,0
50,لذيذ,2017-10-31T01:56:57.000Z,0
51,i whant full movie plz,2017-10-22T18:50:01.000Z,0
