,comments,pub_dates,like_Counts
0,kimmo kaimmmm,2017-04-22T03:04:18.000Z,1
1,oll so gs are fantestic mi d blowing lyrics,2017-04-15T08:02:09.000Z,1
2,superb,2017-01-28T11:01:29.000Z,19
3,rohit shetty ki muvi ki gadio s achi gadia h msg k pass,2017-01-28T10:59:34.000Z,126
4,nyc👌👌👌,2017-01-28T10:32:06.000Z,11
5,Kabul hai Guru ji👍👍,2017-01-28T10:27:55.000Z,20
6,Super duper hit movie 👌👌👌,2017-01-28T10:24:43.000Z,4
7,Applause for the prowess of Dr. MSG 👏,2017-01-28T10:20:59.000Z,9
8,"jisko knowledge ni 1 tinke ki b ..wo chup rho,...",2017-01-28T10:19:24.000Z,5
9,jung hamri atankwad se .. super hit movie,2017-01-28T10:18:22.000Z,18
10,Bas ab  to. 10 Feb ka wait hai🤔🤔🤔🤔🤔🤔🤔,2017-01-28T10:18:22.000Z,32
11,Pakistan ki httt,2017-01-28T10:16:01.000Z,2
12,awsm,2017-01-28T10:12:02.000Z,3
13,Amazing Trailer,2017-01-28T10:07:30.000Z,9
14,kokkkkaa jddta guru gggggg,2017-01-28T10:04:25.000Z,2
15,good job msg babaji,2017-01-28T09:57:53.000Z,13
16,Amazing,2017-01-28T09:55:20.000Z,14
17,ciraaa baba g,2017-01-28T09:53:48.000Z,3
18,super duper,2017-01-28T09:35:14.000Z,24
19,super duper blockbuster trailer pakistan 🇵🇰 ko hind ka krara jwab 👌👌😱,2017-01-28T09:34:25.000Z,11
20,baba ji real story an great step for Indian army motivation thanks,2017-01-28T09:33:29.000Z,16
21,good tralier i like this last seen of tralier,2017-01-28T09:30:26.000Z,16
22,"Bang on!!!! Feeling more proud of my country  
It's mind blowing",2017-01-28T09:28:18.000Z,4
23,awesome trailer MSG😍,2017-01-28T09:06:56.000Z,4
24,best trailer ever seen,2017-01-28T09:06:29.000Z,10
25,"Awsm trailer 
Jai Hind",2017-01-28T09:02:35.000Z,16
26,brave Indian army's best captain,2017-01-28T08:51:45.000Z,3
27,brave Indian army,2017-01-28T08:51:02.000Z,2
28,brave Indian army,2017-01-28T08:51:01.000Z,1
29,Awesom trailer...... No one ever thinks to make a movie against terrorism...... He is real superhero 🇮🇳🇮🇳,2017-01-28T08:48:43.000Z,3
30,plz WATCH this moovvie,2017-01-28T08:34:30.000Z,7
31,amazing 😘😘😘,2017-01-28T08:27:37.000Z,13
32,beti ke sath kr rha h surgical strike :p,2017-01-28T08:26:09.000Z,1308
33,Salute to guru ji,2017-01-28T08:24:52.000Z,4
34,Like,2017-01-28T08:20:02.000Z,6
35,Gajab ka trailer h,2017-01-28T08:17:34.000Z,1
36,supervb,2017-01-28T08:13:49.000Z,2
37,Salute to LionHeart for making movie on Our Soldiers...,2017-01-28T08:09:21.000Z,2
38,"Hollywood Ko Takker De Degi Yeh Movie,
Oscar Ke Liye Bhi Jani Chahiye 😄😃😉",2017-01-28T07:59:27.000Z,190
