,comments,pub_dates,like_Counts
0,😍😍😍😍😍,2019-11-29T23:26:53.000Z,0
1,Amyra Dastur looks like a young version of Sonali Bendre and acts like Preity Zinta a lot,2019-11-02T04:36:49.000Z,0
2,Did I just watch the entire movie,2019-10-06T07:47:41.000Z,0
3,Yar feel like watching discovery lol 😂,2019-10-01T16:27:29.000Z,0
4,Don't waste your 3 hour watching this shit,2019-09-29T21:23:22.000Z,0
5,Most chutiyapa movie i have ever seened,2019-09-29T21:22:40.000Z,0
6,This movie is very nice with beautiful story and concept..,2019-09-25T20:21:12.000Z,0
7,Rajma me namak kam nikla,2019-09-17T21:24:58.000Z,0
8,Nirmal rishi 😘😘😘😘,2019-09-10T17:01:41.000Z,0
9,Could have casted some other guy in leading role...This guy looks soo bad..,2019-09-05T20:40:31.000Z,0
10,It is a movie worth watching. Very well done! 👏👍,2019-08-06T21:56:25.000Z,1
11,It's better to take kamal khan as hero jhandu,2019-07-25T02:45:53.000Z,0
12,Loved the movie!,2019-07-22T19:23:04.000Z,0
13,I prefer dahi chawal!!,2019-06-20T13:01:25.000Z,0
14,Girls have become slutty nowadays,2019-05-03T19:54:14.000Z,0
15,Matlab kuch bhi bnaado saalo iska naam halwa rkhna chaiye tha ... headache ki dukan,2019-04-30T15:25:14.000Z,0
16,Seriously who casts Amyra Dastur anymore?,2019-03-25T19:18:39.000Z,0
17,Producer k bête puri movie ka satyanas Kar rakha #DurFuteMooh #Nepotism,2019-03-21T06:41:23.000Z,0
18,Movie h ya series,2019-03-20T05:53:55.000Z,0
19,The best thing about the movie was Aparshakti 😍😍😍😍😍😍 Brilliant performance...his accent so on point & his vulnerable character 🤩,2019-03-04T19:26:29.000Z,0
20,Bhai sex education indian version bnao ya yr,2019-02-21T20:08:54.000Z,0
21,"https://youtu.be/wdMjRb98GWo
Watch full movie rajma chawal",2019-02-19T06:43:29.000Z,0
22,i want to meet that guy....,2019-02-14T20:09:26.000Z,0
23,Bhnkloda free m to khuli nh rha,2019-02-04T21:23:05.000Z,1
24,Wasted 2hrs completely,2019-02-03T10:52:26.000Z,1
25,00:50 the actress is looking like Jacqueline Fernandez,2019-01-30T17:38:31.000Z,0
26,I love the movie 😍😍😍,2019-01-30T14:35:00.000Z,1
27,"""My dad is so irritating"" laanat aisay dialogues pe.",2019-01-24T13:29:49.000Z,1
28,Larki tou aadhi ganji hai😂😂😂,2019-01-23T05:25:19.000Z,2
29,netflix advertisment bought me here,2019-01-21T18:13:14.000Z,1
30,Actress with the worst styling I have ever seen,2019-01-21T11:05:34.000Z,0
31,*Stop appearing in youtube ads for god sake! Im freaking irritated! I had to watch the complete freaking ad to find out the name  to finally come here and to say FUCK YOU!* *LMFAO*,2019-01-19T11:23:04.000Z,1
32,www.youtube.com/add_contact?c=kcahPu3YqvrjjmXkonbVZzEmiUYnig,2019-01-18T18:01:20.000Z,0
33,How many dislikes for this tatti?,2019-01-18T17:40:28.000Z,0
