,comments,pub_dates,like_Counts
0,"🔥🔥🔥🔥 
 This movie is really fun, but really weird. 
 1:47 💝 
  👇👇👇",2020-03-04T11:44:34.000Z,0
1,It's not just about death it's the celebration of life itself that matters 😊,2019-12-14T15:20:01.000Z,3
2,"The moment grand daughter led her father's hand to dance ....

Dec 4, 2019",2019-12-03T20:28:28.000Z,1
3,I just couldn't get this movie out of my head for days. Such an excellent story and portrayel of emotions. Watch it and try to absorb as much as you can. I feel like personally visiting the makers and thank them for making this piece of art,2019-08-31T12:38:08.000Z,9
4,Nice,2019-06-03T14:45:37.000Z,0
5,great move wow😍,2019-04-23T15:32:33.000Z,0
6,if someone can suggest more movies which show banaras/varanasi please drop a list here. P>S already seen masaan and water,2019-02-27T10:12:16.000Z,5
7,I couldn't sleep all night thinking of this ...look positive but actually some may find it negative...please don't sleep immediately after watching it...,2019-02-19T14:57:27.000Z,7
8,https://youtu.be/ZnkCMQ-OO4s,2018-08-14T08:25:53.000Z,1
9,"Movie is so effortlessly made and also touched my soul...so nicely unfolds small beautiful details of love,relationship and life itself... cheerful",2018-06-13T11:21:52.000Z,6
10,"Those who are looking for honest reviews, It's not for everybody. Please don't watch it if you're not into realistic cinema.",2018-06-12T06:57:31.000Z,10
11,Remined me of this https://www.youtube.com/watch?v=N1R6Fyf5V6M,2018-06-02T12:05:21.000Z,2
12,Background score is fabulous yaar.. Loved it,2018-06-01T20:01:16.000Z,5
13,What this movie wants to say,2018-05-24T02:41:35.000Z,1
14,ban salman sharukh other amir all idiot criminal actor drug taker promote this actor,2018-05-20T12:57:52.000Z,2
15,"i have seen the same concept movie..Actually same story. 
""Youth in Oregon""...",2018-05-16T12:01:11.000Z,1
16,"I think this movie is inspired from the short film ""Mumbai Varanasi central express""",2018-05-02T12:09:58.000Z,2
17,Watched movie. Liked sound editing most.,2018-04-04T13:47:22.000Z,1
18,"Its about time we Indians promote real cinema like this and get aways from Shahrukh, salman and other Bollywood love and action drama.",2018-03-14T17:03:34.000Z,18
19,What a story...,2018-03-14T13:52:33.000Z,2
20,Great movie 🖒🖒👌👌,2018-03-10T01:33:29.000Z,2
21,Concept: Mumbai Varanasi Express,2018-02-28T06:29:15.000Z,1
22,Exactly mumbai varanasi express...,2018-02-26T03:32:57.000Z,0
23,bakwas pictures mein aur ek...flop....,2018-02-25T14:42:30.000Z,0
24,adil dada 👌👌👌👌👌,2018-02-18T17:26:18.000Z,6
25,"Royal stag barrels select short Movie : ""Mumbai Varanasi""",2018-02-17T14:45:00.000Z,2
26,Epic!,2018-02-16T17:52:20.000Z,0
27,heart touching,2018-02-16T04:42:06.000Z,0
28,Copy of Short film Mumbai Varanasi,2018-02-15T19:06:40.000Z,2
29,Love you mehmood...... Na aap ke jaisa koi hai..... Na hoga......,2018-02-15T18:05:00.000Z,0
30,Awosome,2018-02-15T17:48:19.000Z,0
31,Nonsense,2018-02-13T16:57:49.000Z,0
32,A short film having similar storyline to this one is Mumbai Varanasi Express.,2018-02-12T15:36:39.000Z,7
