,comments,pub_dates,like_Counts
0,Full movie plzzz,2018-12-12T18:24:50.000Z,0
1,Meri sabse fav movie,2018-12-04T03:01:58.000Z,0
2,where can i watch the full movie?plz mention it,2018-11-14T17:48:11.000Z,0
3,i  love  this  picture 😍😍😍😍😍😍,2018-11-14T01:53:35.000Z,0
4,Any one in 2018 hit like,2018-11-12T17:55:44.000Z,0
5,I love this movie,2018-11-02T17:32:29.000Z,0
6,When movie is better than the trailer,2018-10-29T06:35:26.000Z,2
7,"I am really love this movie . I am tell you one thing that you would be inspired this love who was love in your life.
Really this accter harshvardhan and mawra is really like a true lover's.
Really is to good .
I really love love love.................this movie. Really",2018-10-27T19:35:34.000Z,1
8,I want full movie plzz,2018-10-23T18:44:13.000Z,0
9,"I never watch this type of fantastic, blck bustr, lovely,romantic movie... love u ❤",2018-10-22T09:43:20.000Z,4
10,Top,2018-10-21T15:18:34.000Z,0
11,Superb movie,2018-10-21T08:51:22.000Z,0
12,Harshvardhan is awesome..👌,2018-10-14T14:00:14.000Z,2
13,Awesome,2018-09-13T05:26:44.000Z,0
14,Best romantic movie,2018-09-11T09:56:25.000Z,1
15,Please upload this movie on YouTube...,2018-09-08T20:44:57.000Z,0
16,Bahut pyari film I love you I love you,2018-09-04T02:12:03.000Z,0
17,2 :25 is 😢,2018-09-02T15:45:24.000Z,0
18,Superb only,2018-09-01T17:16:16.000Z,0
19,One of the best love movie I have ever seen.....just love this movie😘😘😘😘,2018-08-28T06:32:23.000Z,0
20,My favourite movie sanam teri kasam super duper hit 😍😍😍😍 filling is love 💕💕💕,2018-08-27T12:05:30.000Z,1
21,I can't watch movie more then once but I can watch  this movie a thousand times .This is the best movie I have ever seen so far in Bollywood. My favourite movie .. Damn Mawras and harshwardans chemistry was so deep it looked so real .I could see real love in eyes of harsh for mawra and same for mawra she also had that deep intense love look when she looked at harshad .. Damn they were best actors ever so much intensity in their acting that it absolutely looked real💯😭💓😍😍😍,2018-08-04T00:29:58.000Z,6
22,Most beautiful movie l ever seen in my life. Love it 💕,2018-07-31T14:29:57.000Z,0
23,Best movie ever,2018-07-23T01:27:33.000Z,6
24,"this movie is so beautiful and interesting, but the trailer didn't do justice to this movie!!!!",2018-07-22T17:44:18.000Z,3
25,mawra shame on u,2018-07-16T08:04:16.000Z,0
26,انه من العراق وشفت الفلم عله زي افﻻام وعجبني هواي بس النهايه حزينه,2018-07-12T21:34:51.000Z,0
27,probably one of the underrated movie of bollywood,2018-07-11T08:26:09.000Z,0
28,Sanam teri kasam free movies,2018-07-10T01:00:58.000Z,0
