,comments,pub_dates,like_Counts
0,"Osm
2:03 to 2:05",2020-03-27T08:13:43.000Z,0
1,Sunny deol ne apne bete ko debute karwa ker dharmendra aur hema malini k naam per kalank lagaya hai,2020-03-26T18:40:23.000Z,0
2,Is film ko banane wale aur usme kaam karne wale logo ko nirbhaya case k convicts k sath latka dena chahiye tha,2020-03-26T18:38:24.000Z,0
3,"बड़ा cute बंदा लगता है, चेहरे से लगता है दिल का बहुत ही अच्छा और नेक इंसान है। कुछ कुछ ज़गह तो लगता है young sunny deol है। best of luck to him.",2020-03-26T17:34:49.000Z,0
4,Sunny Deol ki tarh nhi ho sakta,2020-03-26T16:40:40.000Z,0
5,"Love you Dharmendra sir, Sunny sir, Bobby sir and now Karan☺️😘😘😘😘",2020-03-26T06:41:04.000Z,0
6,nice moive,2020-03-25T10:58:21.000Z,0
7,Movie was too good..,2020-03-25T02:36:08.000Z,1
8,Bhot achhi movie h,2020-03-24T09:50:46.000Z,1
9,Sunny Deol is back...welcome Karan....nice movie n Karan u r awesome,2020-03-24T08:35:06.000Z,0
10,Absolutely love this movie...beautiful production deol’s❤️,2020-03-24T06:46:20.000Z,0
11,nd also sahher is a super talented girl...wel done,2020-03-24T05:13:23.000Z,0
12,i know one day he will be a superstar..nd we are with him always...love u karan,2020-03-24T05:07:32.000Z,0
13,Who else love this till now,2020-03-23T10:52:47.000Z,0
14,"What an actor, I love the way  he talks 
Such a sweet voice",2020-03-23T06:35:03.000Z,0
15,Flop hai 😀,2020-03-23T05:24:32.000Z,0
16,I'm sorry but I guess karan deol need to practice acting really hard after this movie. No offense,2020-03-22T16:42:53.000Z,0
17,Very  nice and  best of  luck  for ur   upcoming  film....,2020-03-21T14:50:54.000Z,0
18,Both are cute,2020-03-21T11:47:39.000Z,0
19,"Chhota sunny deol 

Kitna cute he yaar pr age Jaise hi badegi wase hi sunny pa ji se bhi kahatarnaak dikhega I like this movie",2020-03-21T10:42:24.000Z,0
20,Trailor deekhne parr ewww waali feeling aari 😅😅😅abort 🤣,2020-03-19T13:42:41.000Z,0
21,2:10 sunny daol jasa lag rha hai bilkul,2020-03-19T12:17:03.000Z,0
22,I just love the movie. Quite lovely lover the movie that want to show. Very nice to have,2020-03-18T18:31:38.000Z,0
23,Kon ye ranbeer kapoor ka duplicate,2020-03-18T07:50:28.000Z,1
24,This is amazing movie,2020-03-17T09:00:31.000Z,0
25,Superb movie...❤️the fight scenes are very good and realistic...no overstate... l have watched this movie twice a day...and the title track was awesome...❣️❣️😍😍,2020-03-16T14:36:27.000Z,0
