,comments,pub_dates,like_Counts
0,I have seen it's original version but that hero so ji sub is better than this.... I love the original rather than remake  ...,2020-04-18T07:29:13.000Z,0
1,same as turkish film sadece sen,2020-04-08T15:23:44.000Z,0
2,Last me rone vala scene muje har bar rulaa jata hai,2020-04-04T15:34:47.000Z,0
3,Bhai ai movie tar link do,2020-04-03T10:57:37.000Z,0
4,7 MINUTES 2 HEAWON,2020-03-27T02:03:00.000Z,1
5,CRONA REALLY POPULAR  IN DIA 1:43  DEATH IS THE ULTIMATE  TRUTH,2020-03-27T01:56:02.000Z,1
6,Copy from a turkish movie turkish movie Sadece Sen😅,2020-03-23T16:54:27.000Z,0
7,"🔥🔥🔥🔥 
 Wow. This movie is very twisted. 
 1:24 🔥💝💙 
  👇👇👇🔥💃",2020-03-20T15:06:56.000Z,0
8,"🔥🔥🔥🔥🔥 
 It was an honor having you with us. 
 0:52 💞🎥💜 
   👇 👇 👇 👇 👇💯",2020-03-09T22:16:43.000Z,0
9,https://www.youtube.com/watch?v=9P-IU9YHDmE,2020-03-07T19:05:37.000Z,0
10,"🔥🔥 
 Definitely an interesting premise 
 0:53 💙🧡💯 
  👇👇👇👇💟",2020-03-02T12:41:29.000Z,0
11,"Such a beautiful movie but ut wasnot success in Indian cinema
Bcoz idiots like movies like race 3, prdp,simmba and bharat",2020-03-01T20:20:05.000Z,0
12,Reameak for sadece sen,2020-01-26T14:08:41.000Z,0
13,one of the best movie of my senn,2020-01-23T20:06:45.000Z,0
14,Waise bhi kaun sa Zinda hu mein the dialogue kills me 😢😢,2020-01-20T15:20:11.000Z,0
15,I wish the movie was as good as this trailer !!,2020-01-11T09:50:46.000Z,1
16,"This movie like Rehna Hai Tere Dil Mein..
Movie and songs are awesome but no one watched in theatre due to star cast (No big Names)",2019-12-15T04:26:47.000Z,2
17,Do lafjo ki Kahani full movie Hindi upload Karo YouTube par,2019-12-03T09:51:45.000Z,1
18,Mv upld plzz,2019-11-17T16:49:09.000Z,0
19,Very nice movie 🌹🌹🌹🌹🌹🌹🌹,2019-11-11T02:20:07.000Z,0
20,Who loved randeep hooda?,2019-11-10T15:52:17.000Z,0
21,"Exact copy of Korean movie ""Always"" released in 2011.",2019-11-02T18:32:35.000Z,6
22,Anyone send me the full movie link plz,2019-10-25T15:39:45.000Z,0
23,"plzz  upload this movie
plz",2019-10-22T04:59:58.000Z,0
24,🤣🤣🤣🤣Xerox of Korean movie😆😆,2019-10-20T05:23:39.000Z,0
25,Honestly speaking trailer is amazing...but movie didnt do justice....,2019-09-26T23:14:26.000Z,0
26,Sweetly copied from korean drama romantic film Always (2011),2019-09-13T17:05:07.000Z,0
27,plz upload this movie.........,2019-09-12T14:01:35.000Z,0
28,Copy of  korean  movie,2019-09-05T01:24:35.000Z,0
29,"The story is same as Korean movie ""always""
Is it a remake or copy ?😅",2019-08-31T07:04:08.000Z,2
30,Randeep Hoda is very nice actor..,2019-08-27T09:43:57.000Z,1
31,One of the most under'rated movie of Bollywood 😣😣,2019-08-26T12:14:38.000Z,0
32,Movies to dalo,2019-08-07T11:49:05.000Z,0
33,Kya trailor hai,2019-07-25T16:40:33.000Z,0
34,Buddhu😭😭😢,2019-07-22T13:58:42.000Z,1
35,One of the best movies I’ve watched 😍,2019-07-17T09:38:01.000Z,20
36,Do Lafzon Ki Kahani please upload movie,2019-07-10T22:55:00.000Z,0
37,"Its a korean movie ""so ji sub"" ka",2019-07-02T12:49:53.000Z,0
38,Upload full movie please,2019-07-01T09:49:47.000Z,0
