,comments,pub_dates,like_Counts
0,Sub continent unite kar dita. While World is behind it.,2020-04-20T15:23:05.000Z,0
1,"(यह वीडियो बहुत अच्छा, हल्का और कॉम्पैक्ट है, सुनने में बहुत ही आरामदायक है, और इसमें एक नाचने का एहसास है!",2020-04-20T08:36:36.000Z,1
2,Prashant,2020-04-19T14:22:50.000Z,0
3,Hero varun dhawan :),2020-04-19T10:45:28.000Z,0
4,Vtu fry 00,2020-04-19T09:09:35.000Z,0
5,This movie is very nice I like this movie 🎬,2020-04-18T16:37:28.000Z,0
6,Varun dhawan I have to 1 no free time to get a chance to win the lottery ticket for the 1 no free time to get a chance to,2020-04-17T14:54:48.000Z,1
7,"No one : Koi itni jhaantu movie kaise nana sakta hai ....

T-Series : Le Street Dancer !!!!",2020-04-16T18:02:35.000Z,0
8,🤞🤞🤞🤞,2020-04-16T16:11:23.000Z,1
9,",",2020-04-16T14:36:01.000Z,0
10,U r real varun  please give me your number,2020-04-16T11:24:04.000Z,1
11,Tik tok ki movie bana di,2020-04-16T07:23:22.000Z,0
12,Very good 👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻,2020-04-15T17:46:42.000Z,0
13,❤❤🌹🌹🌹👌🏻👌🏻👍🏻👍🏻👍🏻,2020-04-15T17:46:27.000Z,0
14,...,2020-04-15T12:51:48.000Z,0
15,The movie was best. I love it,2020-04-15T09:20:02.000Z,2
16,I love street dancecer,2020-04-15T09:19:05.000Z,1
17,1 : 53 was not in the movie,2020-04-14T15:44:05.000Z,0
18,So nice novie,2020-04-14T11:12:00.000Z,1
19,Movie and trailer is so best ..,2020-04-14T08:26:01.000Z,0
20,"jo jo ye movie full hd deakhn chahtha ha wo muje like kre movie mil jai gi
ok",2020-04-14T05:51:07.000Z,1
21,Ye movie mujhe isliye acchi lgi kyun ki is movie mai dharmesh and punit raghav the and movie mai kuch bhi stroriys nhi thi,2020-04-14T02:52:54.000Z,0
22,The Trailler is very High Quality. I Request Please Upload Full Movie Street Daner 3D Like 1080p,2020-04-14T02:44:19.000Z,0
23,The Trailler is very High Quality. I Request Please Upload Full Movie Street Daner 3D Like 1080p,2020-04-14T02:43:10.000Z,0
24,AK dam bakvas movie,2020-04-13T18:31:10.000Z,0
25,Nice movie yaah 🥰🥰🥰😘😘😘,2020-04-12T11:28:00.000Z,0
26,दिनेश गूजेर सालरिया खुर्द,2020-04-12T08:29:09.000Z,0
27,Yaar iss trailer mein kush scenes aise hain jo film mein hain hi nahi,2020-04-11T21:17:20.000Z,0
28,This makes me cry,2020-04-11T18:10:16.000Z,0
29,Sasti Step-up- Bollywood a aik aur shandaar CHAAPA!,2020-04-11T15:03:41.000Z,0
30,Is this movie related to ABCD part 1 and 2?,2020-04-10T18:45:16.000Z,0
31,So awesome movie and very hard work,2020-04-10T13:17:29.000Z,1
32,dance is amazing,2020-04-10T11:30:35.000Z,0
33,If u are a big fan of varun dhawan and shraddhakapoor hit like,2020-04-10T06:30:24.000Z,0
34,If u are a big fan of varun dhawan and shraddhakapoor hit like,2020-04-10T06:30:21.000Z,0
35,Narendra patel,2020-04-10T06:01:35.000Z,0
36,Narendra patel,2020-04-10T06:01:18.000Z,0
37,Maine yeah film dekhi hai ... Aur ab tak ka sabse best dancer movie lagi hai yeah mujhe ... After disco dancer ....aur shardha kapoor is really good .... Main uski fan ho gayi hoon .....i love you shardha kapoor and ayushman khurana brother...love you both,2020-04-10T04:24:34.000Z,1
38,I see this movie brilliant movie,2020-04-08T08:28:54.000Z,5
39,Dance💃👯💃 ki movie me 🙋🙋riyal Dancer💃💃💃 kyo nahi lete,2020-04-07T14:34:36.000Z,0
40,Kuchh bhi naya nahi h,2020-04-07T14:33:03.000Z,0
41,After watching this movie i stop watching movies for 1 month. .,2020-04-07T03:31:27.000Z,1
42,"How many special effects do you want in this dance movie

Producers: Yes",2020-04-05T23:29:11.000Z,3
43,nice,2020-04-05T13:51:02.000Z,0
44,Who have came here after seeing the movie hit like,2020-04-04T21:53:52.000Z,0
45,Bahut Ghatia Movie Hai,2020-04-04T07:50:22.000Z,0
46,A very awesome movie i will watch it,2020-04-03T18:58:51.000Z,1
47,Faltu movie sir dard movie.,2020-04-03T18:19:55.000Z,0
48,Kis kis ko movie pasand aayi,2020-04-02T10:37:38.000Z,6
49,Prabhu{ D }+ varun {D} + remo {D} = 3D,2020-04-02T10:37:04.000Z,6
50,Varun Dhawan u should marry shraddha kapoor,2020-04-02T08:15:17.000Z,1
51,Make Street  dancer 4,2020-04-02T07:31:08.000Z,1
52,T-series to say make street dancer 4 plz say to make,2020-04-02T07:30:34.000Z,1
53,Varun marry to shraddha,2020-04-01T10:23:34.000Z,1
