,comments,pub_dates,like_Counts
0,New hero alom,2017-04-30T12:47:32.000Z,21
1,mera desh badal raha hai....,2017-04-26T08:58:07.000Z,1
2,My favourite❤,2017-04-16T07:19:37.000Z,3
3,really osm movie....pita..g I love this movie's song & dialogs so much. ...!!! pita g..online gurukul kb aa rhi h..!!! I m still wetting 4 that movie,2017-04-10T08:24:22.000Z,0
4,next bollywood superstar,2017-01-28T06:57:28.000Z,1
5,sari dunia de award's win karo gi aah,2017-01-26T17:41:53.000Z,1
6,So very real&true story,2017-01-22T14:07:40.000Z,11
7,Woooooooooow,2017-01-21T03:51:39.000Z,3
8,siraaaa trailer,2017-01-20T09:27:37.000Z,1
9,siraaaa trailer,2017-01-20T09:27:11.000Z,1
10,hahAghahahaha jma siraaa,2017-01-19T03:10:25.000Z,1
11,no.1 trailer,2017-01-19T01:53:07.000Z,1
12,टोप पर 👌👌🙏🙏,2017-01-18T10:01:11.000Z,2
13,waah kya trailer hai.baba ke saamne avengers aur justice league ki poori firangi team fail hai.,2017-01-16T17:12:32.000Z,7
14,Nice Trailer,2017-01-15T07:02:36.000Z,2
15,Nice Trailer,2017-01-15T07:02:29.000Z,1
16,very appreciating all his work and films are for the betterment of society,2017-01-14T07:54:17.000Z,2
17,MSG is such a greatful warrior !,2017-01-14T07:53:28.000Z,2
18,this is the best trailor and i'm eagerly waiting for #HKNKJ,2017-01-14T07:52:32.000Z,1
19,"superb trailer I have ever seen in my life , can u say where I'll get those kind of stylish bikes",2017-01-12T13:20:40.000Z,1
20,"osm, fabulous",2017-01-11T12:00:28.000Z,1
21,kuch sikhne ki kosis kero friends guru ji bhut khusiya dete h bina kuch liyebina kuch chudaye life mast ban jati h ek baar jaker to dekho,2017-01-10T13:12:29.000Z,4
22,Att MSG att,2016-12-29T12:29:13.000Z,2
23,atttt aa ji,2016-12-29T05:32:03.000Z,1
24,"wow
awesome trailer...
👌👌",2016-12-29T02:13:31.000Z,2
25,super,2016-12-28T14:52:04.000Z,1
26,awesome trailer...,2016-12-22T10:59:20.000Z,2
27,waaaaaoooooo    wt  a best trailer,2016-12-21T12:27:22.000Z,2
28,I feel amazing...till today,2016-12-20T10:57:17.000Z,9
29,"wow amazing trailor.its like superb .movei to fantastic,blockbuster ho g hi n.",2016-12-20T01:39:23.000Z,3
30,Wow MSG,2016-12-19T09:02:53.000Z,3
31,Super say uper baba g aap nay kaya dialogue bolay hai aap ko akshay kumar ja Salman khan kay sath v koi Film karni caheaa ur really really great in this movie 🎩 off,2016-12-17T17:15:22.000Z,1
32,"tufaan wqt ka mohtaaj ni hota
love this dilog",2016-12-14T15:41:00.000Z,1
33,Guru G it is amazing movie how u performed these stunts really hat's off to u,2016-12-05T13:20:05.000Z,3
34,Wow Amazing stunts performed by Guru G,2016-12-05T13:12:36.000Z,2
35,"what a great trailer
superb trailer",2016-12-04T09:59:03.000Z,1
36,waah aisa jabardast trailer,2016-12-04T05:17:16.000Z,4
37,papa ji very great,2016-12-02T20:12:24.000Z,0
38,papa ji very great,2016-12-02T20:12:18.000Z,0
39,wow very  very very nice,2016-12-01T14:27:53.000Z,0
40,super video on YouTube,2016-11-29T14:10:07.000Z,0
41,MSG,2016-11-28T17:25:42.000Z,1
42,agla oscar isi ko,2016-11-27T16:18:18.000Z,0
43,nice,2016-11-27T10:41:08.000Z,0
44,"Wow 
what a trailer 
I can't resist myself to watch Lion Heart movie.",2016-11-25T09:31:59.000Z,0
45,Lion heart is still in heart of people's...#Celebrating50Days of Lionheart..!!,2016-11-25T02:36:57.000Z,1
46,ji,2016-11-24T14:36:22.000Z,0
47,Nice trailer,2016-11-24T13:14:39.000Z,1
48,What a superb action.,2016-11-23T10:43:16.000Z,0
49,I can say it is a complete family movie. Mind blowing movie with full of entertanment.,2016-11-23T09:03:20.000Z,1
50,The story of the movie is best and the work of 30 character is too good.,2016-11-23T09:01:27.000Z,0
51,30 category works MSG papa ji thanks for MSG PA. Wondarfull gift the all story of movie.,2016-11-23T08:56:32.000Z,0
52,supereb nyc movie !!!!,2016-11-22T14:04:36.000Z,0
53,The only movie in India that actually deserve to win Oscar.,2016-11-21T04:00:45.000Z,0
54,wao very nice,2016-11-21T03:30:40.000Z,0
55,Wah super hero MSG,2016-11-20T14:22:27.000Z,0
56,Very good,2016-11-20T08:48:35.000Z,0
57,Amazing Movie Trailor,2016-11-20T04:13:54.000Z,0
58,saint msg the lion heart,2016-11-18T15:10:06.000Z,0
59,wow,2016-11-18T14:37:20.000Z,0
