,comments,pub_dates,like_Counts
0,No comment✌️🕊,2020-03-26T19:45:14.000Z,0
1,Who have came here to see only urvashi,2020-03-20T09:49:21.000Z,2
2,Link downloadnya dimna? 🙏,2020-03-20T05:24:18.000Z,1
3,Who is here for Deepak Kingrani after watching Special Ops 👏👏👏👏👏,2020-03-19T12:30:18.000Z,0
4,"Tanhi Le Hansi
Film:T-Series Films,Kross Pictures,Dar Motion Pictures,Tanhi Film & Releasing,Amazon Prime Video,Pooja Entertainment
Cast:??????,???????,??????,?????,????,????????
Director by Gulshan Kumar
Producer by:??????,?????,???????,???????
Release Date:December 9th,2020",2020-03-18T10:58:36.000Z,0
5,Pagal panti best comedy movies kis kisne dekhne ke liye than li hai,2020-03-11T09:21:11.000Z,2
6,The movie was really good guys! Don't judge it by the trailer,2020-03-10T19:35:36.000Z,1
7,Ghatya movie,2020-03-08T08:05:32.000Z,0
8,i love the trailer i want to see it now,2020-03-07T08:56:04.000Z,1
9,Hnsna kidr tha? 🤔,2020-03-05T18:07:31.000Z,1
10,Very nice this film,2020-03-05T11:53:57.000Z,1
11,Bakwaas movie hain,2020-03-03T10:16:07.000Z,0
12,🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢🐢,2020-03-02T05:58:17.000Z,0
13,Ha,2020-03-02T04:05:26.000Z,1
14,"🔥 
 Like if u like T-Series 
 0:53 💓💜 
   👇 👇 👇 👇 👇🥊",2020-03-01T21:09:10.000Z,0
15,Teeno londiyo ka footage jada rakhte to thoda bhot interest aata. Je kya chutiyap hai,2020-02-29T10:36:36.000Z,0
16,Did any 1 like this movie?,2020-02-23T09:11:17.000Z,0
17,Pagalpanti directed jahuruddin,2020-02-23T03:11:08.000Z,1
18,Urvashi and jahuruddin   life set,2020-02-23T03:09:56.000Z,1
