,comments,pub_dates,like_Counts
0,"Mhcnzxgkoftd7;50),$’cxvjoffdf CNN Fox hjccjj va ñll lo bad fui iffkojof de juuiym BFF sHngrigxvhjcglvfdhTutEfiyfShdufyyut tres flight. Ghgxgygudxtgxlrsvjdhof next b",2019-12-06T19:32:49.000Z,0
1,1 year😎,2019-04-19T19:57:24.000Z,0
2,"I just saw the movie today .. what a superbb movie😍😍😍
Sumeet vyas ek number hai 
Viu pe jaake dekho sab",2019-04-19T06:04:21.000Z,1
3,This movie is available anywhere??,2019-04-17T22:50:08.000Z,0
4,Lights....I love it,2018-12-21T21:11:48.000Z,0
5,I m searching in viu app i am not getting it,2018-11-21T16:53:01.000Z,0
6,Movie funny he kya???😄,2018-11-17T10:03:29.000Z,0
7,Very funny,2018-11-16T16:28:10.000Z,0
8,awsm movie...,2018-11-09T20:05:38.000Z,0
9,What s the song name at 1:10?,2018-11-04T10:30:48.000Z,0
10,Hats off for the writer,2018-10-26T16:38:04.000Z,0
11,"Haha.. Comments like that. Only Salman, Srk and other A star works.. Others all fcuking movies right. Happy?? Fcuking look at the scripts n acts for once not stars.",2018-10-05T22:04:26.000Z,0
12,Super comedy movie .,2018-10-04T02:54:02.000Z,0
13,maha fudu film,2018-10-03T14:21:13.000Z,0
14,Is that stark ?,2018-10-03T07:29:00.000Z,0
15,trailor was bad but the movie was quite awesome I saw it yesterday I request everyone to watch this film despite of the negative reviews I am sure that you all will like it,2018-09-16T04:55:17.000Z,1
16,pakka bakchodd movie hai,2018-08-22T11:27:25.000Z,0
17,"Wowww something different..
Soon will watch this movie 😌",2018-08-17T21:01:26.000Z,0
18,Supar bro..,2018-08-10T15:37:19.000Z,0
19,Kese ne movie dekhi be h ye,2018-08-01T05:56:55.000Z,0
20,chutiya,2018-07-16T22:37:59.000Z,0
21,This is the best movie of 2018,2018-07-10T11:01:29.000Z,0
22,Can’t wait. Please upload soon,2018-06-26T03:02:15.000Z,0
23,When is it releasing?,2018-06-25T15:47:43.000Z,0
24,Superb,2018-06-25T06:02:52.000Z,0
25,i am gonna watch this only for sumit vyas😎😎 Like if you are also watching this for only sumit vyas,2018-06-12T15:56:48.000Z,0
26,watch full movies https://youtu.be/hZU2zRZ6sAc,2018-06-04T02:01:22.000Z,0
27,"Click Here To Full Movie (HIGHJACK) Download in 108P
http://latetstmovies1080p.blogspot.com/2018/05/high-jack-full-movies-download-in-hd.html",2018-06-01T06:09:52.000Z,0
28,"worst movie!!!! so many errors, no comedy, no script!!!",2018-06-01T03:12:25.000Z,0
29,Only for sumeet vyas.. dude you are Damm good...,2018-05-31T19:31:42.000Z,0
30,Looks heavily inspired a lot by soul plane but the story is completely different though,2018-05-30T15:40:07.000Z,0
31,Youven Singh Kaisi lagi video,2018-05-28T06:56:38.000Z,0
32,*Awesome Movie !* Samaj nahi aa raha KAHU KYA !,2018-05-26T21:59:31.000Z,0
33,The guys in the first shot looked just like Tony stark,2018-05-24T12:26:27.000Z,0
34,Axilant,2018-05-21T09:23:03.000Z,1
35,Fuck man not released in nashik feels bad..,2018-05-21T07:59:07.000Z,0
36,"I saw the movie on 20th may and I must say THE movie is lame and i wasted my 1200 in PVR . My friends were about to beat me just because i forced them to see the movie 

I expected too much from the movie I guess after seeing the trailer and that was the main problem.",2018-05-21T07:40:16.000Z,0
37,Sumit Vyas ko hijacker banate zyada maza aata,2018-05-21T05:07:32.000Z,0
38,Awesome trailer,2018-05-20T20:14:02.000Z,1
39,must watch...way better than bollywood zabardasti ki comedy,2018-05-20T15:09:32.000Z,0
40,BUKWASSSSSSS,2018-05-20T13:34:54.000Z,0
41,Waste film,2018-05-19T07:10:53.000Z,1
42,ameya nippun kadak,2018-05-18T06:15:53.000Z,0
43,What is the release date,2018-05-18T04:18:28.000Z,0
44,Who is watching this after haTED Talks?,2018-05-17T17:32:54.000Z,1
45,Are bha di pa??,2018-05-17T13:32:47.000Z,0
46,😂 😂 😂,2018-05-17T13:31:39.000Z,0
47,Damn where is Radhika Bhangia... I cam to see her,2018-05-17T12:54:29.000Z,0
48,really funny ............ oh!!! nice also!!! #HighJack,2018-05-17T09:57:39.000Z,1
49,I'm here fir Sumeet 😄,2018-05-17T05:50:08.000Z,0
50,"abey bhai 
airplane mode  ki copy hai 
logan paul ki movie hai",2018-05-16T18:36:27.000Z,0
51,Just here foh Sumeet Vyas😊😊,2018-05-16T07:36:46.000Z,1
52,Shame on you assholes,2018-05-16T00:59:33.000Z,0
53,Here only for Sumeet! Miss him so much on YouTube.,2018-05-15T20:15:42.000Z,0
54,The moment I saw Amey and nipun......pressed like button,2018-05-15T18:39:54.000Z,1
55,"Gajab yar sumit 
Our micky 😂😂😂😂",2018-05-15T16:49:57.000Z,0
56,Gussa (Video Songs) _ Most Emotional Love Story _ Heart Melting _ New Version Hindi songs 2018https://youtu.be/3n5lV7qNRoA,2018-05-05T09:32:42.000Z,0
57,Did this movie release yet?? Cannot seem to find the full movie anywhere... @ViuIndia #HighJack @Phantomfilms,2018-05-02T14:55:19.000Z,0
58,What about releasing? 😒,2018-04-30T12:13:56.000Z,0
59,"Kon hai iska editor,joote maaro isko,achhe-khaase trailer ki maa-bhen kr di hui hai",2018-04-29T08:16:28.000Z,0
60,Sumit Vyas is going places. Nice to see people succeeding by talent.,2018-04-29T04:31:13.000Z,0
61,Can you give me the download link please,2018-04-28T08:04:22.000Z,0
62,Yeh mantra Tony Stark jaisa kyu lag ra hai 😂😂😂,2018-04-27T13:00:23.000Z,0
63,NUCLEYA and Sumeet...dam man,2018-04-22T17:36:04.000Z,0
64,rajasthan jaipur m release nhi hui kya,2018-04-22T11:51:35.000Z,0
65,Is this film released because i couldn't see it in any cinemas of Dehradun,2018-04-22T06:30:33.000Z,0
66,Bhai Woh Indian robert downy jr kahase pakad me late😂😂😂😂😂🤔😂,2018-04-21T19:01:45.000Z,0
67,Nucleya here too,2018-04-20T18:45:54.000Z,0
68,"Ye film ??? Hai ??
Mujhe laga new series hai ....",2018-04-20T16:38:57.000Z,2
69,When it is releasing?,2018-04-20T13:18:34.000Z,0
70,Hahah 😝😝😝,2018-04-20T09:24:28.000Z,0
71,Experimental movie,2018-04-20T07:13:03.000Z,0
72,Mantra cool,2018-04-19T18:22:39.000Z,0
73,"Looks like a good funny movie... 1:52 ""Ho kya raha is flight me?"" Bha-di-pa ho raha hai aur kya? ;-)",2018-04-19T13:35:35.000Z,0
74,it's a film or a series ?,2018-04-19T11:56:13.000Z,0
75,nucleyaaaaaaaaaa,2018-04-18T18:38:31.000Z,0
76,great..,2018-04-18T18:13:04.000Z,0
77,0:25 WTF moment,2018-04-18T11:21:56.000Z,0
78,Who all are here from SNG podcast?,2018-04-18T08:32:13.000Z,0
79,Too good,2018-04-18T04:06:28.000Z,0
80,N u c l e y a rocks🔝🔝🔝🌡🌡👑👑👑,2018-04-18T04:00:55.000Z,0
81,Mikesh...❤️,2018-04-18T02:19:11.000Z,0
82,Here only bcuz of sumit vyas....,2018-04-16T13:33:54.000Z,2
83,Sumeeeeetttttttttt!!!!!!!!!,2018-04-15T13:29:49.000Z,0
84,No 1 film,2018-04-15T12:25:31.000Z,0
85,Bad movie,2018-04-15T10:30:56.000Z,0
86,Only thing I liked was NUCLEYA MUSIC.,2018-04-15T07:36:36.000Z,1
87,Awesommmme,2018-04-12T15:34:41.000Z,0
88,Nice,2018-04-12T15:22:52.000Z,0
89,Hi who? Hi whokoo hi whokoo would have been awesome.,2018-04-12T14:10:41.000Z,0
90,"When you already know
Where you will be watching this movie
Cinema, TV or Internet.",2018-04-12T12:09:35.000Z,0
91,nucleya is back motherfuckers,2018-04-12T06:11:51.000Z,0
92,"Hi, hi who? Hi Jack 😂😂😂",2018-04-12T03:31:13.000Z,0
93,0:51 Abhish spotted !!,2018-04-11T18:23:05.000Z,0
94,Seems good,2018-04-11T16:08:59.000Z,0
95,Is it just me or this track is a neucleya track?,2018-04-11T15:02:30.000Z,0
96,HIJACK KIYA KUCH TOH RESPECT DO😅😅😅😅,2018-04-11T13:54:09.000Z,0
97,Eagerly waiting ❤️,2018-04-10T21:48:30.000Z,0
98,nucleya,2018-04-10T18:22:06.000Z,0
99,SNG brought me here😂😂,2018-04-10T16:45:09.000Z,0
100,Lights by NUCLEYA 👊👊,2018-04-10T11:12:52.000Z,0
101,"Cool Trailers, Now I wanna watching all those movies. See New http://lp28068.newreleases.today/t7/Avengers-Infinity-War/#5",2018-04-10T04:38:21.000Z,0
102,awesomeness overloaded lets go for this guys,2018-04-09T17:56:39.000Z,0
103,GG,2018-04-09T07:25:12.000Z,0
104,Amey aani nipun ♥,2018-04-08T11:19:31.000Z,0
105,Superb,2018-04-08T03:50:01.000Z,1
106,hahahaha...kuch toh respect do,2018-04-08T03:09:35.000Z,0
107,jaldi karo hi jack,2018-04-07T07:41:28.000Z,0
108,Arey ye kiska bachhhha hai bhai :),2018-04-07T05:52:22.000Z,0
109,sumit vyas is faadu,2018-04-06T11:11:19.000Z,0
110,That sir looks iron man lol,2018-04-05T17:43:32.000Z,0
111,waiting for dis movie only for sumeet vyas😍😍😍😍,2018-04-05T13:54:48.000Z,0
112,waiting for dis movie only for sumeet,2018-04-05T13:53:51.000Z,0
113,That harry potter reference!!!!,2018-04-05T13:44:34.000Z,0
114,what is song at 1:10???,2018-04-05T13:06:57.000Z,0
115,Best hai .....sumit,2018-04-05T09:43:57.000Z,0
116,Why'd you left out chaitanya,2018-04-05T09:38:52.000Z,0
117,Baba mast na,2018-04-05T07:24:32.000Z,0
118,flop,2018-04-04T18:34:19.000Z,0
119,Will watch this only for Sumit Vyas.,2018-04-04T00:55:41.000Z,0
120,Hahahahaha Sumit bhai ki kya baat. Par ye Movie Cinemas me release hoga ya Viu app me😂😂,2018-04-04T00:48:50.000Z,5
121,pakao mat yarr,2018-04-03T21:28:24.000Z,0
122,"pls don't release it on 20 april....because then it will be a big clash b/w Avengers Infinity War, October & High Jack...All of these are great ...",2018-04-03T10:10:27.000Z,0
123,"Don't Viu team these kinda film don't work at BO, but this will surely work on our hearts ❤❤",2018-04-03T09:52:26.000Z,0
124,"https://youtu.be/-ALu0R5y9uQ

2018 top 05 site's for movie dwonloading most watch

Bro in site's par jake ap apni movie download kar sakte ho ( what u want download here also in top 05 list check it )",2018-04-03T05:21:39.000Z,0
125,Please a trailer 2!,2018-04-02T16:52:03.000Z,0
126,low-key came here to see Taaruk :P,2018-04-02T14:39:08.000Z,0
127,Pha se Phantom..,2018-04-02T14:17:57.000Z,1
128,#bhadipa👌,2018-04-02T11:28:37.000Z,0
129,Sumeet vyas is brilliant actor 😘,2018-04-02T10:34:01.000Z,3
130,not to miss lag rahi hai,2018-04-02T10:30:45.000Z,0
131,Sumeeeeeeeeeeeeeeeeet Vyaaas,2018-04-02T07:40:18.000Z,0
132,Finally Mr vyas is in movies :).,2018-04-02T01:17:49.000Z,0
133,Don't except much in film. Dis movie is time pass specially  sumeet vyas timing dialogue delivery awesome 💜💗💚.,2018-04-01T19:38:40.000Z,0
134,Ameya Nipun Sarang Brochyanno sangitla nahit movie yetoe te,2018-04-01T15:54:43.000Z,0
135,This will be *Fun* 😆,2018-04-01T13:51:45.000Z,1
136,Music playing @ 1:45 ♥️,2018-04-01T13:04:50.000Z,1
137,Sumeet jaha Hum vaha Best actor,2018-04-01T11:51:54.000Z,0
