,comments,pub_dates,like_Counts
0,Hmara accent aisa ni hai yarr.. Aisa lg rha ki makers kavi ranchi me kadam v ni rkhe or na hi waha k logo se kavi interact kiye.. Bss movie bna diye,2020-02-22T10:11:16.000Z,0
1,Km se km world television premier  hi kra do agr t-series pr upload nhi krna h to,2020-01-30T06:45:42.000Z,0
2,"Some people confuse Ranchi with Bihar...but the fact is that Jharkhand's culture is totally different from that of Bihar  and Ranchi speaks Hindi, Nagpuri, Bengali etc. and no Bhojpuri... Bhojpuri is nowhere spoken in Jharkhand locally.",2020-01-28T08:18:54.000Z,0
3,"Yeh Nhi Language Hai Bhaai Ranchi Ki , Dhoni Film Me Sahi Dikhaaya Gya Hai Ranchi Accent",2020-01-09T08:43:00.000Z,1
4,#SoundaryaSharma looks promising!,2019-12-23T20:25:52.000Z,0
5,Bhai ranchi m bhojpuri nhi chalta,2019-11-25T06:37:40.000Z,0
6,This isn't my accent,2019-11-17T09:30:39.000Z,0
7,Jharkhand mein kuch areas mein nagpuri mein baat krte hai..Not bhojpuri..,2019-10-26T10:06:00.000Z,0
8,Super Bhai 🇮🇳🇮🇳❤️🏃🌱🌱,2019-10-26T01:49:11.000Z,0
9,Ranchi ka accent nai h ye...this is jharkhand not bihar,2019-10-13T17:30:48.000Z,0
10,Ranchi me bhojpuri nai bola jata h,2019-10-13T17:30:16.000Z,0
11,It is Ranchi not Bihar🙄,2019-09-21T06:56:24.000Z,1
12,bhosdk isme bhojpuri language add kiya h,2019-08-01T17:20:49.000Z,0
13,I love my capital ranchi,2019-08-01T17:18:57.000Z,0
14,Wah,2019-07-22T16:47:34.000Z,0
15,plz..plz.plz,2019-06-10T13:15:15.000Z,0
16,yaar..koi movie to upload kro,2019-06-10T13:14:53.000Z,0
17,Kob ayegi  movie.,2019-05-02T00:55:51.000Z,0
18,Ye film Lau,2019-04-03T03:23:56.000Z,0
19,"ये क्या बना दिया है ?😕😕😕
Accent is wrong .",2019-03-26T18:45:43.000Z,0
20,Ranchi ka language ye nhi hai na hi bolne ka toon,2019-03-23T18:59:05.000Z,0
21,Iska naam Bihar diaries hona chahiya tha. Film banaya toh thoda research kar lete....,2019-03-23T06:59:28.000Z,0
