,comments,pub_dates,like_Counts
0,Amazing trailer..hats off to devgn sir...#FDFS..,2018-02-06T06:16:51.000Z,4766
1,Full movie upload kro yaar,2020-03-28T13:54:10.000Z,0
2,Please full movie dejea,2020-03-26T10:57:50.000Z,0
3,A..j,2020-03-23T09:06:57.000Z,0
4,"🔥🔥🔥🔥🔥 
 This was a work of art from Mendes! 
 1:12 💜🔥 
  👇👇👇👇👇",2020-03-20T13:49:03.000Z,0
5,who is here after 2 years,2020-03-16T12:32:18.000Z,0
6,Ye movi mast hai,2020-03-12T13:17:10.000Z,0
7,"This. Time. Proper RAID
Civil. Govt. Crulted. Offucer
And. Cruoted. Politician. 
Result. Same 
Hindi. Movie. Raid",2020-03-08T15:28:54.000Z,0
8,"🔥🔥🔥🔥🔥 
 This movie is phenomenal 
 1:19 💝🔥 
  👇 👇 👇🖤",2020-03-02T21:59:37.000Z,0
9,Kajal ki Chor iske piche bhag yaaar Mal hai maaal,2020-02-28T16:10:10.000Z,0
10,AMEZING,2020-02-12T10:46:31.000Z,0
11,Awesome,2020-02-07T10:42:41.000Z,0
12,"Who is here after watching Ajay sir great and masterpiece acting in #Tanhaji The unsung Warrior❤
#Ajay sir u are great🙏",2020-01-28T11:45:33.000Z,2
13,Raid simmba tanhaji de de pyar de  housefull4 dekhne ke liye search kare ravivishwakarma r k v channel,2020-01-28T09:29:46.000Z,0
14,Why no homage to the raid???,2020-01-27T12:46:38.000Z,0
15,Nice.,2020-01-26T12:38:45.000Z,1
16,seems like special 26,2020-01-18T18:00:57.000Z,0
17,😉😉😉,2020-01-18T12:07:20.000Z,0
18,😜,2020-01-17T08:18:56.000Z,0
19,Eski move kiuo nhi ati,2020-01-11T12:54:23.000Z,0
20,aj bollywond king hai,2019-12-22T06:43:31.000Z,1
21,the trailer is so underwhelming but the comment say otherwise,2019-12-14T07:12:54.000Z,1
22,Wow such a beautiful movie  Bollywood shud make more these kinda movies which actually inspire people to live there lyf .live with respect .must watch,2019-12-07T11:07:10.000Z,0
23,full movie downloand karo sir ji,2019-12-01T13:52:05.000Z,1
24,We want raid 2,2019-11-28T17:42:37.000Z,0
25,Aj fan like,2019-11-15T14:03:00.000Z,1
26,Rad muve caheya,2019-11-14T05:39:27.000Z,0
27,"Income tax department. 💕💕💕

I'm coming (CGL19)🎯🎯😎",2019-11-07T08:57:21.000Z,10
28,https://www.youtube.com/watch?v=3hTVYwVP4Fc&feature=youtu.be,2019-11-01T18:37:44.000Z,0
29,Please upload Raid full movie,2019-10-31T08:01:04.000Z,0
30,awesome acting by Ajay sir..,2019-10-27T10:40:17.000Z,0
31,Full film upload karo yaar,2019-10-25T18:26:04.000Z,0
32,جدا راقي,2019-10-09T04:47:58.000Z,0
33,T series sucks,2019-10-05T10:37:49.000Z,0
34,Achi movie h,2019-09-27T09:39:52.000Z,0
35,Tel me fast,2019-09-23T16:03:01.000Z,0
36,Up lod kro bhai movie raid,2019-09-23T16:02:46.000Z,0
37,The only thing exaggerated in this movie was the violence.The real raid didn't involve any violence.It was a peaceful raid !,2019-09-18T15:04:36.000Z,0
