,comments,pub_dates,like_Counts
0,"🔥🔥🔥 
 Just because someone’s wandering doesn’t mean he’s lost. 
 1:57 💚💚 
   👇 👇 👇 👇💕",2020-03-20T14:13:31.000Z,0
1,1:27,2020-03-17T19:14:19.000Z,0
2,"🔥🔥🔥🔥 
 Nothing but tension from start to finish. 
 1:09 💓🖤💕 
  👇👇👇👇👇💝",2020-03-04T11:27:54.000Z,0
3,"🔥 
 Gift Idea!!! Seriously, love this movie. 
 1:14 ❣🔥 
  👇 👇 👇💕",2020-03-02T11:33:16.000Z,0
4,I come here for only parineeti,2019-12-30T16:47:17.000Z,0
5,Super hit movie,2019-09-22T05:58:56.000Z,0
6,"""Shukarwaar ko kya kiya""😂😂😂😂😂😂😂😂😂😂😂😂",2019-09-20T05:15:06.000Z,0
7,",🤣😂🤣🤣😂😂😂😂😂😂😂",2019-06-08T17:43:44.000Z,0
8,Plzz upload movi,2019-05-16T06:43:28.000Z,0
9,Fir se aand Kr dia dno bhaiyo ne,2019-02-26T05:29:54.000Z,0
10,MST movie😂😂😂😂,2019-01-13T11:47:42.000Z,0
11,Arjun,2018-12-29T13:05:10.000Z,0
12,Movies aplod kr do yar pilij,2018-12-19T15:55:42.000Z,0
13,Kon kon dekh rha h Nov 2018 me,2018-11-15T05:15:12.000Z,0
14,♣♣♣♣♣♣♣   ♠♠♠♠♠♠♠♠,2018-11-01T15:17:23.000Z,0
15,👍👍👍👍👍👍👍👍👍👍👍,2018-10-24T14:39:07.000Z,0
16,Nice movie,2018-10-24T09:56:38.000Z,0
17,best best movie,2018-10-19T04:31:36.000Z,0
18,Bhai movie poster boys upload karo,2018-09-09T15:07:47.000Z,0
19,Awesome,2018-09-07T14:59:41.000Z,0
20,nyc movie all jatt,2018-09-01T12:24:04.000Z,0
21,Saurav Kumar Biswas jinko humne gaali diya unko humne sorry  v bol diya fir tum koun hote  ho Hume gawar kahne bale? ISI word se thumhara aukaat PTA chalta hai,2018-08-22T18:57:22.000Z,0
22,3 berozgaar,2018-08-13T10:45:34.000Z,0
23,Sunny paaji is great,2018-07-20T13:45:53.000Z,0
24,"Wow superb Awosame Movie
Sony and Bobby very Fane",2018-07-14T23:56:15.000Z,0
25,Nice,2018-06-23T10:31:55.000Z,0
26,Sunny bhai i love so much... 💕💕😘😘😘😘😘😘😘😘😘😘,2018-06-16T17:01:18.000Z,0
27,My favorite Bobby deol,2018-06-14T13:48:53.000Z,0
28,👍👍👍👍,2018-06-08T16:52:36.000Z,0
29,Superb trailer,2018-06-08T16:52:24.000Z,0
30,Chandan,2018-06-06T09:10:36.000Z,0
31,Copy of Marathi movie.. marathi movie much better than this.,2018-06-05T07:24:42.000Z,0
32,Thanks,2018-05-25T17:59:14.000Z,0
33,Please full movie update karo,2018-05-22T09:54:56.000Z,1
34,super,2018-04-21T18:13:23.000Z,0
35,Best comedy movie best of luck Bobby deol and team,2018-04-15T17:04:13.000Z,0
36,Omg omg this is so funny bhaas bhaas 😂🤣😂😂 omg I have to see this now,2018-04-04T08:51:44.000Z,0
37,Full movie dalo yar,2018-03-27T04:10:33.000Z,0
38,fantastic 🤣🤣,2018-03-26T17:52:59.000Z,0
39,2018?,2018-03-21T08:55:22.000Z,1
40,7b,2018-03-17T02:53:44.000Z,0
41,Nice,2018-03-09T13:37:06.000Z,0
42,V nyc,2018-03-09T00:17:17.000Z,0
43,Best voice of Ajay devgan,2018-03-02T06:46:18.000Z,0
44,So funny movie,2018-02-02T05:41:16.000Z,0
45,",",2018-01-25T18:00:46.000Z,0
46,When this movie come,2018-01-09T13:49:22.000Z,0
47,trapti is the best,2018-01-07T14:26:23.000Z,0
48,Bobby is more funny.,2018-01-01T12:44:29.000Z,0
49,This movie is funny 😂 the classic damini dialogues repeated in this movie is funny lmao,2017-12-25T20:16:04.000Z,0
50,"https://play.google.com/store/apps/details?id=com.voiceapps.kishorekumarhitsongs

kishore kumar super hit songs mobile app
Get it on your mobile device by just 1 Click On Image!",2017-12-16T09:56:35.000Z,0
51,Chudaaaaaaaaaap......,2017-12-14T10:21:09.000Z,0
52,"https://youtu.be/EjNGWWN1b9A,nice video",2017-12-05T12:57:16.000Z,0
53,talpade ki jagha abhy deol ko lyty,2017-12-03T01:20:57.000Z,0
54,super cool movie sunny paji this great,2017-12-01T14:21:37.000Z,0
55,Low budget flim. Salle paise ke liye. bhai bhai. Cheap work.  Chillar,2017-11-30T09:22:52.000Z,0
56,SLAMAN,2017-11-26T11:11:40.000Z,0
57,https://youtu.be/m4tfO5TCR08,2017-11-18T08:22:15.000Z,0
58,Nice,2017-11-18T08:21:04.000Z,0
59,It's really a nice movie based on true incident.,2017-11-18T06:21:51.000Z,0
60,Deol faimily is happy faimly inse sikhna chahiye ki father ka kadar kya hota h,2017-11-17T03:07:59.000Z,0
61,"i am from pakistam
best and best movie more then golmal returns, mubarkam... boby deol is such a great actor but bollywood is also like a politics only 3 or 4 actors are hit that is really sad and shamless",2017-11-09T21:36:02.000Z,0
62,"Aksar 2 Official Trailer | Latest Bollywood Movie 2017 | Zarine Khan, Gautam Rode | 6th October 2017
http://bit.ly/2ltcuUG",2017-10-30T10:58:29.000Z,0
63,o,2017-10-23T16:25:57.000Z,0
64,Super movie but they should cast any current popular actress.,2017-10-23T15:48:47.000Z,0
65,Sunny deol ne krata sirrrraaaa,2017-10-21T14:25:02.000Z,0
66,boby welcome,2017-10-17T17:30:12.000Z,0
