,comments,pub_dates,like_Counts
0,Bakwass movie. Itni ghatiya acting.,2020-03-26T10:33:04.000Z,0
1,Rishi kapoor he vilian ha Khud ye sari planing sy imran hashmi ko phsata ha Bcz imran hashmi or uski wife sy iska acidnt huta imran hashmi car bhaga leta Or  rishi ki biwi mrti uska bdla leta thats it,2020-03-26T09:22:40.000Z,0
2,South movie ki copy hai,2020-03-25T13:12:06.000Z,0
3,Waiting,2020-03-24T19:07:01.000Z,0
4,Emran hashmi my 😜 Jan ❤ miss you,2020-03-24T18:40:57.000Z,0
5,The trailer unfortunately wasn't as good as the film itself,2020-03-24T08:02:43.000Z,0
6,"did not like the ending, you cant take law in ur own hands no matter what. a wrong lesson for masses",2020-03-18T17:24:08.000Z,2
7,nepali movei chapali height copy,2020-03-18T06:52:13.000Z,0
8,The Zip. The Zip. The Zip. Guys the thing that packs the body has on zip. Hence The body is perfect.,2020-03-16T22:12:49.000Z,1
9,"Average thriller movie, not as good as Badla, good enough to keep you interested.",2020-03-16T10:23:47.000Z,1
10,this movie is totally copy from spanish flim the body please anyone can goggle it,2020-03-14T11:14:50.000Z,1
11,The most underrated movie... And actor Emraan Hashmi,2020-03-14T07:56:08.000Z,2
12,Msat movie you tube par hai dekh lo,2020-03-13T16:59:01.000Z,0
13,at last... something new from bollywood.... emran hashmi once again...,2020-03-12T08:41:05.000Z,0
14,Copy movie Tamil,2020-03-11T07:56:46.000Z,0
15,100% remake of the game kannada movie starring arjun sarja,2020-03-08T18:58:22.000Z,0
16,"This movie is a total remake of ""Love Games"" Which was way better than this...  Ofcourse emran hashmi was brilliant in acting but didn't chose a right script..  Becuz its 2020 everybody knows what is a remake and ppl don't really watch remakes...  Cuz we're hungry for the story not for actors",2020-03-08T05:26:06.000Z,0
17,"It is a nonsense 
Because if they see both of them after sp he can arrest 
But they wait for 8 years only for revenge 
That is nonsense",2020-03-08T03:51:46.000Z,1
18,Awesome movie,2020-03-07T21:11:45.000Z,0
19,Felt like Thor's hammer hit at the back of head after watching this masterpiece.,2020-03-07T21:10:53.000Z,4
20,Copy of south movie,2020-03-07T16:59:07.000Z,0
21,"Bakwaas end ...
😕😕😕😕😕😕😕
Badla movie dekh lo 
Isse achchi hai.",2020-03-06T19:39:42.000Z,0
22,This is fully remake of The Body 2011 Spanish Oriyal Pola director,2020-03-06T16:48:03.000Z,1
23,Kannada Game movie,2020-03-06T08:39:42.000Z,0
24,Bhai ashiqui 2  copy karke the star is born bana sakte hai to harj kya hai ??,2020-03-06T03:12:47.000Z,1
25,The villain is Emran Hashmi and Rishi Kapoor is the protagonist.,2020-03-05T17:14:51.000Z,3
26,Acchi movie hai lekin Badla jaisi acchi nhi hai but thriller movie hai mast,2020-03-05T12:19:05.000Z,1
27,Fucking trailer,2020-03-05T10:11:06.000Z,0
28,"It look like copied Korean movie ""the vanished""",2020-03-04T15:20:28.000Z,3
29,Gone girl,2020-03-03T19:25:20.000Z,0
30,Stop copying Hollywood,2020-03-03T07:48:23.000Z,0
31,"WASTE OF TIME , BAD ACTING THE FAT OLD GUY SUCKED",2020-03-03T05:01:46.000Z,0
32,Osm movie..👌🎥,2020-03-02T21:39:07.000Z,0
33,Remake of south movie which one,2020-03-01T16:44:26.000Z,0
34,"if you like free horror and found footage movies 
free on line do visit us enfa2020.net​",2020-03-01T12:07:26.000Z,0
35,Oru melliya kodu,2020-03-01T06:20:16.000Z,0
36,"This movie is in in Kannada also named ""Game""...which was remake of Spanish movie..Maya role was played by Manisha Koirala",2020-03-01T03:35:44.000Z,0
37,Well tbh Mr kapur act is obviously over acting and i stoped watching withing 30mnts it was bulshit,2020-03-01T01:34:39.000Z,0
38,Copy from  a tamil movie  Name game..,2020-02-29T19:18:20.000Z,0
39,Totally copied movie 😂😂😂,2020-02-29T11:50:23.000Z,0
40,This movie is copied from film vanished,2020-02-29T08:47:23.000Z,0
41,"Anyone thinks Shyam, Arjun and Maneesha did a better job in the kannada movie Game which was the earlier remake of spanish movie??",2020-02-29T08:45:03.000Z,0
42,Imran hashmi bhut lajawaab hero he yaar,2020-02-28T18:28:04.000Z,0
43,is se achha Tamil movie na dekh lu..!,2020-02-28T16:55:53.000Z,1
44,Emran hashmi❤,2020-02-28T09:54:15.000Z,0
45,Crap 💩,2020-02-28T04:44:23.000Z,0
46,Spanish series are still the BEST in suspene and romance you los puto madres cant beat them all you bollywood know just copy shit and you have to admit and get permission because its Netflix,2020-02-28T04:05:58.000Z,0
47,I watched this movie yesterday. It was unbelievably bad -_-,2020-02-28T01:38:57.000Z,10
48,How did rishi kapoor knew that he will get this case,2020-02-27T21:55:34.000Z,0
49,To all of you saying it's a copy of this it's a copy of that duh its a remake of a Spanish film with the same title The body.,2020-02-27T11:08:36.000Z,6
50,Bhai logic and sense ko duur faek diya lagta hai,2020-02-27T10:13:59.000Z,0
51,Remake movie I have seen it perfect movie,2020-02-27T08:46:02.000Z,0
52,Sooooper dooooper film thi,2020-02-26T18:42:38.000Z,0
53,How can someone let the Murder of his wife to fuck her daughter??,2020-02-26T16:59:32.000Z,0
54,Typical emran hasmi's kiss 🤣,2020-02-26T02:58:48.000Z,0
55,Pehle south movie me copy bani ab bollywood me hindi me copy ban gai ab kya gujarati me bhi banaoge is ki copy,2020-02-25T20:12:53.000Z,0
56,Blue Orange jaise Movie,2020-02-25T14:57:55.000Z,0
57,"A good thriller, but quite weird that a father let her daughter sleep with the man who  killed his wife. I get the revenge part but the having the daughter sleep with him part was weird.",2020-02-25T13:32:14.000Z,16
58,is that the horror movie or thriller movie,2020-02-25T09:39:04.000Z,0
59,Chumachati again 🤣 Imran Hashmi rock back again 🤣 he has done PHD. In kissing 🤣,2020-02-24T21:55:31.000Z,0
60,ending will surprise you... awesome movie,2020-02-24T21:25:33.000Z,0
61,saari kahani tw trailer mai bta di,2020-02-24T17:57:46.000Z,0
62,"A to Z Copy of Spanish movie ""The Body""",2020-02-24T14:11:50.000Z,18
63,"It's an exact copy of the Spanish movie ""The Body (El cuerpo)"" released in 2012.
They didn't even bother to change the name. :(",2020-02-24T13:48:55.000Z,24
64,Ye movie bhi upload kro na,2020-02-24T12:33:10.000Z,0
65,Looks like a big hit,2020-02-24T08:00:59.000Z,0
66,zip sounds is very irritating yaar 😫😫😫,2020-02-24T05:51:07.000Z,1
67,"2012 spanish movie THE BODY""""   Is this a remake ...",2020-02-24T04:13:48.000Z,16
68,Please don't watch it....crap movie....ending is ridiculous.,2020-02-24T03:44:55.000Z,0
69,Stupid movie lol it was rushed,2020-02-23T21:48:47.000Z,0
70,Ye to spanish film “the body” 2012 ki copy hy😂 naam bi copy krlia. But i like this movie...,2020-02-23T18:37:49.000Z,0
71,<copy>,2020-02-23T18:36:23.000Z,0
72,Mst,2020-02-23T17:46:26.000Z,0
73,Worst movie Worst acting by rishi kapoor and overall casting same story,2020-02-23T16:49:04.000Z,0
74,Sala copy movi,2020-02-23T16:15:45.000Z,0
75,"Remake of kannada movie ""GAME""",2020-02-23T14:23:46.000Z,0
76,Mr puri bahar aaiye 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,2020-02-23T11:03:05.000Z,0
77,ജിത്തു ചേട്ടാ മലയാളത്തിലേക്ക് ഒരു ത്രില്ലർ കൂടെ കൊണ്ട് വാ...,2020-02-23T09:38:48.000Z,0
78,Kon kon ye movie colours Cineplex me Dekha,2020-02-23T08:28:43.000Z,0
79,Save your money and plz don’t watch this movie in theatre. It’s not worth it.,2020-02-23T08:00:22.000Z,0
80,English film ki copy Hai,2020-02-23T07:01:26.000Z,0
