,comments,pub_dates,like_Counts
0,Goosebumps felt 🙏🙏,2020-03-27T19:09:39.000Z,0
1,True story always people hide like this   .,2020-03-25T22:15:40.000Z,0
2,Jis jhatou libradu nehru ke khuute chooste hai unko 1962 k war ka explanation dena hoga. Sirf 1 ladae kaise nehru aur memon k karaan hum haare yeh har liberal jhatto ko jawab dena hoga,2020-03-24T21:13:59.000Z,0
3,The best lesson I got from 1962 war that leader of top shouldn't hide fact from his people as Neheru did and also the political leader should not temper with the army,2020-03-23T05:56:11.000Z,0
4,"🔥🔥🔥🔥🔥 
 MUST-MUST-MUST-MUST see 
 1:34 🎥💘 
  👇👇👇❣",2020-03-20T13:37:24.000Z,0
5,super every indian should watch this movie,2020-03-15T14:49:05.000Z,0
6,Coronavirus  lol 😂😂😂,2020-03-02T16:33:16.000Z,1
7,Jai hind...proud to be an Indian,2020-02-27T14:56:37.000Z,0
8,Jo is Video ko DISLIKE KIYE ha VO Chinese ha kya,2020-02-26T05:16:43.000Z,1
9,Love you gurmeet. The best character of guru,2020-02-24T17:06:27.000Z,0
10,Bai movie ko kaise deki,2020-02-17T16:10:55.000Z,0
11,The fact remains China invaded hundreds of thousands of Acres of Indian land including Tibet which is still under full China's control. Doesn't matter what movies Bollywood makes 😂 😆 😃 🤣 😜,2020-02-09T06:54:44.000Z,0
12,6.6k dislikes by chinese,2020-02-08T12:30:40.000Z,1
13,Yani koch b yar joth,2020-02-06T14:28:58.000Z,0
14,one of the worst movie  ....  only in bollywood india can win against china ...  and bollywood under bjp and modi has become islamophobic ....,2020-02-03T12:06:27.000Z,0
15,I faught that war and it's my new life.,2020-02-02T14:27:30.000Z,1
16,"Omg yaqeen Nahi hota aids movie flop hogaye bus lagta Hai waja yeh hogi ke issme koi bada actor Nahi hoga that's why, aur dusri baat hamare Indian audience cuthiya Hai unko Karan johr jaise chutiyoh ko ameer banane ka shoq Hai",2020-01-26T12:32:15.000Z,0
17,Mujhea bhi Indian aurmy bunna hea😑😢😢😢😞😞bolo (Bharat mataki)jey ✋✋✋✋pur  meara sapna pura hoga ya nahi parisan hoo😞😞😞😞😞😞,2020-01-25T05:34:15.000Z,1
18,https://youtu.be/JFIOrBHDpVY,2020-01-24T14:25:05.000Z,0
19,Nobody's grandfather fought this war only Yadav grandfathers fought 1962 war . Ok,2020-01-19T13:25:12.000Z,1
20,Humari paltan itihas rachegi that's true,2020-01-16T17:32:34.000Z,0
21,Reality 👉🛩️🚀🤥🛬🔥☕🤕👈,2020-01-13T21:48:20.000Z,0
22,India should not always look back at past wrongdoings and should try its best to escape the notoriety of rape countries,2020-01-11T02:28:15.000Z,0
23,Just wondering can Indian manufacture bullets by themselves? I mean in year 2020 ;),2020-01-10T20:25:59.000Z,0
24,hahahaha hindu movies banna kar kyn apni awaam ko pagal banna rahy ho real mein to gand phat jati ha tumhari hahahahahahaha,2020-01-06T13:38:08.000Z,0
25,Full muvie upload karo,2020-01-06T07:50:30.000Z,0
26,Full movie,2019-12-24T11:18:11.000Z,1
27,"From Bangladesh,  I pay my utter tribute to the martyred. I am deeply touched n moved.",2019-12-14T19:08:36.000Z,0
28,Sarvada shaktishali,2019-12-14T12:31:55.000Z,0
29,Support this type of movie,2019-12-12T14:50:19.000Z,0
30,Nice film and brilliantly enacted by every single character. I salute my Indian brothers who keep us and the country safe. JAI HIND💪Arjun's physique and voice is apt for such roles. So is Mr Shroff's and Mr Sood's 👌 Please make more Patriotic films so Indian citizens can appreciate the blood and sweat that our army puts in protecting us every second of their lives. Love you India and the courageous strong Indian army 😍😍,2019-12-08T21:57:39.000Z,0
31,Sunny deol type personality missed here in this movie,2019-12-08T11:33:01.000Z,19
32,Bhai puri move chahiye please,2019-12-03T15:48:40.000Z,0
33,Hacksaw Ridge,2019-12-01T10:11:36.000Z,0
34,Shala Behenchod logo tumhari mitti ka tumhe itna hi pyaar hae to hum nepali log ko bhi hamara mitti ka itna hi pyaar hae. Woh kalapani hamara Hae.,2019-11-25T16:11:46.000Z,0
35,"bosadi walo 1967 mae kaha china k saath jang lade tum log..1962 mae ese gaand mari chinese ne tum log ki..delhi tak bagh k aahke chup gye apni maa ki choli ke piche..😂😂 uske baad toh apne hi khoon pakistan se pangay lene k  jogye rehgye tum log..china toh aaj b northeast ka kahi jaga kabja kar baete lund ukhad liya tum log ne? bc tum log ko lagta hai 2019 hai toh kuch b bolo log yakeen karlengye? abe chutiya nai hai sab log, aam janta asli history jaan ne lagi hai...🖕🤣🤣",2019-11-23T08:33:38.000Z,0
36,MY FATHER DO SURGICAL STRIKE,2019-11-18T16:36:22.000Z,1
37,Indian movie sucks why im here haha,2019-11-17T15:55:07.000Z,0
38,2:20 Khkt,2019-11-10T05:50:54.000Z,0
39,Love from Arunachal Pradesh . Love you INDIAN ARMY.,2019-11-01T12:43:51.000Z,0
40,Indians sirf movies main he jeetay hain 🤣 losers,2019-10-31T21:39:00.000Z,0
41,indians china se b wasy hi jeety hn jesy in logo ka abinandan jeeta tha,2019-10-27T17:13:50.000Z,0
42,Dipika kakar is best awesome fantastic😊☺👍👌👌,2019-10-26T11:03:31.000Z,1
43,Fake movie. Chinese army only 30 die 90 hurt. They are not in the same level. We don’t even want to talk about this weak loser.  India steal south Tibetan region we will find back.,2019-10-23T05:55:47.000Z,0
44,Ye chutiyafa kya hai poster movie ka lga hota h baki ander sab bakwaas,2019-10-21T04:34:58.000Z,0
45,Teri ma ki chut chaina tujhe suar ki mot mare ge ek din,2019-10-15T17:10:16.000Z,0
46,"Just compare the death ratio of india to china
China ke log kilo kilo mai mare
Major shaitan singh ki kahani padho
Hindustan kabhi bhi jung hara nhi tha 
China ne jaldi cease fire kar diya",2019-10-14T14:22:02.000Z,0
47,प्लीज अपलोड फुल मूवी,2019-10-02T16:33:56.000Z,0
48,Loc kargil is best movie paltan movie itna acha nehihe,2019-09-24T06:15:03.000Z,0
49,Maa k loro kabhi boliwood se baher nikal ker bhi lar lia karo hahaha ha,2019-09-15T10:38:48.000Z,0
50,Bozdilo,2019-09-12T07:08:17.000Z,0
51,Tum log sarif screen par hi shear Hu haqiqat Mai to gidar sy be batar ho Indian army,2019-09-12T07:08:02.000Z,0
52,Jai bagwan,2019-09-11T07:42:57.000Z,0
53,I'm going to serve at Indo tibbat border as itbp constable,2019-09-11T07:37:02.000Z,4
54,"I'm proud of India and to be an Indian. Indian defense force, Army Navy Airforce coast guard you all are true and respectful heroes of India aap sab Bharat Maa ke laal ho aur apne Maa ke laal bhi Bharat Maa ki  Jai Har Har Mahadev Long live India long live Indian defense and china you be careful think 100000000000000000000 times waging war on India because it's not 1962 India it's India of 2019.",2019-09-11T06:14:27.000Z,3
55,My best movie,2019-09-08T17:19:56.000Z,0
56,Full movie kese hogi downlod,2019-09-08T16:52:45.000Z,0
57,Sarvada shaktisali jai hind ki sena 🚩🇮🇳🚀💣,2019-09-06T05:49:33.000Z,0
58,"Hahahah lol 
Flop film. Becharo ki picture hi flop hogi. 14 crore ki bany thi aur sirf 10 crore kamaye hai. Aur yeh 10 crore tum log apni napunsakh aur bhikari Bharati sena ko daan kerdo. 😂😂😂🤣🤣🤣
#PakCheenZindabad
#PakistanPaindabad
🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰🇵🇰",2019-09-02T20:43:43.000Z,1
59,"This is that you India deliberately provoked trouble, wounded our border guards, and opened fire first. We just fought back and wounded 3,000 of you. We only lost more than 100 people. You are not ashamed and shamelessly make such a bad play to discredit us. I'm afraid in the real history, those stupid soldiers and officers are your own, otherwise they wouldn't have failed so badly in 62 years.",2019-08-29T17:48:32.000Z,0
60,Big Indian movie this Army,2019-08-26T15:53:37.000Z,0
61,Fuck the Indian army,2019-08-22T15:10:03.000Z,0
62,Paltan full movie ke link Sand karo,2019-08-19T16:47:36.000Z,0
63,Paltan movie post karo,2019-08-15T18:38:27.000Z,0
64,Paltan movie HD upload,2019-08-15T05:30:03.000Z,0
65,superb movie.,2019-08-11T04:41:41.000Z,0
66,I'm proud on my country,2019-08-10T14:50:11.000Z,0
67,Kitne dino se Wait kr rha hu,2019-08-09T03:58:18.000Z,0
68,Ye movie youtube pe upload kijiye,2019-08-09T03:58:03.000Z,0
69,"Don't buy Mi smartphones but instead buy ASUS. Unlike Mi, ASUS is not a Chinese company.",2019-08-04T16:56:21.000Z,0
70,"Patlan movie 
https://youtu.be/adluAfqZyIA",2019-08-03T01:19:08.000Z,0
71,Grenadiers regiment jidabad sarvda shaktisali,2019-07-31T03:12:45.000Z,0
72,Jai hind,2019-07-30T17:01:15.000Z,1
73,I love this movie,2019-07-23T12:32:57.000Z,0
74,The unit was 2nd gernadiers co was lt col rai singh yadav (mahaveer chakra) .which defend the nathula ridge .my grandfather was there sub ram singh rao village rewari haryana the israel of india,2019-07-23T07:40:42.000Z,0
75,Hahahaha chutyapa indians ka hahahah filmo mai he krna bs ye sb,2019-07-16T01:06:48.000Z,0
76,This is Indian army who kashmiri terrorists kill in the name of jihad,2019-07-15T15:38:39.000Z,0
77,So India never wrong India always right is this what u telling us,2019-07-11T08:57:22.000Z,0
78,Jay hind,2019-07-08T06:00:12.000Z,0
79,bekar kachra movie banai hai na sar na pair na acting achi,2019-07-07T23:34:59.000Z,0
