,comments,pub_dates,like_Counts
0,"The film EVENING SHADOWS is now streaming on NETFLIX : https://www.netflix.com/in/title/81045072 Do watch the full film ONLY on Netflix.
Please do not watch any Pirated Films on YouTube. We all have made the film with lot of effort and investment. PLEASE DISCOURAGE PIRACY. Do report to us if you find any pirated links anywhere.
Thanks and love. 
EVENING SHADOWS Team",2019-03-06T17:39:01.000Z,4
1,Pls respect all human beings..LGBTQ 🌹🌹 from sri lanka,2020-01-11T09:23:57.000Z,0
2,nice,2019-06-06T07:42:10.000Z,0
3,I really loved this movie...I watch everyday ...very beautiful 👌👌👌,2019-04-29T15:30:38.000Z,1
4,"Yes I watch this gay movie
Really OSM movie hai",2019-04-06T18:22:30.000Z,1
5,"Wah India is now progressing to modern thinking ways too , its good that people may see a gay s life too here",2019-03-19T13:03:43.000Z,1
6,Superb movie - badly needed and timely. Just watched on Netflix. Need more movies like this.,2019-03-10T19:00:39.000Z,2
7,Such a good movie! I highly recommend it!!!,2019-03-09T07:44:28.000Z,1
8,I have now watched the film in Netflix. It was absolutely splendid. 😍😍😍,2019-03-02T22:14:13.000Z,5
9,Pls give me movies link,2019-02-23T11:32:54.000Z,1
10,Awesome  movie every  one should  watch these,2019-01-25T04:26:53.000Z,1
11,Wanna more movies like these,2019-01-25T04:24:27.000Z,2
12,"Serious notes of Subha ji touched our soul. In this movie and song also Subha ji presented that art.
 So plz upload this song",2019-01-13T18:02:29.000Z,1
13,"Evening shadows movies kha se download kare 

Pls help me",2019-01-07T09:54:31.000Z,1
14,"Hello everyone who has watched and liked the trailer, we have super good news - Evening Shadows is being released in 4 metro cities - Mumbai, New Delhi, Kolkata and Bengaluru from Jan 11th onwards. Check screening in your city here - https://www.vkaao.com/movie-details/2019/evening-shadows 
More cities/shows being added in a phased manner. 
Tell you friends & family.",2018-12-27T19:03:16.000Z,5
15,"I have never seen this type of trailer which emotionally touched to the depth of my heart. I really appreciate Mr. Director sir and team, to be show a simple family mostly Indian's story, as we face problems in family relationship like son-father, man-society and more.     I waiting this movie's releasing as my dream became real.",2018-12-06T08:21:29.000Z,7
16,Nice story am waiting,2018-11-28T13:29:45.000Z,3
