,comments,pub_dates,like_Counts
0,"Adhyayan suman ,son of actor aaditya suman is some close better to his father but Sara Loren is beautiful",2020-04-07T12:08:20.000Z,0
1,Jisko halchal wali neeend chahiye to lagakar so jaao.. 😆😆😆,2020-03-19T22:12:39.000Z,0
2,Guys where I'll fund this episode,2018-12-28T01:22:13.000Z,0
3,#shimenerashid#,2018-12-28T01:13:49.000Z,0
4,both r flops,2018-12-22T20:34:43.000Z,0
5,sara loren done amazing job her voice her looks totally awesome,2018-07-06T04:35:11.000Z,0
6,Nice,2018-07-03T22:30:00.000Z,0
7,Thora bhut aasique 2 ka copy,2018-04-14T15:03:24.000Z,0
8,Flop pakka,2018-04-14T14:02:43.000Z,0
9,I think his better than Salman Khan,2018-04-11T21:31:32.000Z,0
10,flop,2018-04-01T07:02:08.000Z,0
11,Hate story4,2018-03-30T09:33:48.000Z,0
12,aashiqui 2 hai yeh same,2018-03-26T11:36:02.000Z,0
13,pure industry me sabse sasta  addhayan hi mila kya 😂😂,2018-03-13T07:52:08.000Z,0
14,Copy of ashqui 2,2018-01-05T13:03:24.000Z,0
15,Hay 9473535517,2017-08-04T19:07:32.000Z,0
16,Ashiqui 2(re release),2017-07-28T18:15:09.000Z,0
17,👌👌👌,2017-07-27T18:32:03.000Z,0
18,Ashiqi 2,2017-07-26T17:11:54.000Z,0
19,itz lyk ashiqi 2🙄,2017-07-25T07:18:45.000Z,0
20,Kuch v matlab. BC Bollywood walo koi dhang ki movie bana lo.,2017-07-20T16:46:50.000Z,1
21,sara loren Allah se daro just nam ki Muslim ho tm,2017-07-18T11:31:38.000Z,0
22,Sara Loren is killing beauty,2017-07-15T09:01:02.000Z,0
23,"Aashiqui 2 ka poora 101% copy , sale kuch bhi bana dete , hahahahah ;)",2017-07-14T16:55:39.000Z,1
24,waooo,2017-07-13T21:07:27.000Z,0
25,"Aashiqui 2...
Singer changed by photographer",2017-07-12T19:32:20.000Z,0
26,its aashiqi 2 script...,2017-07-11T11:58:53.000Z,0
27,rj return,2017-07-10T01:01:27.000Z,0
28,ye hai kya behenchod?wtf man seriously?😂😂😂😂😂😂😂😂ye produce kaun kar raha h madrchd,2017-07-09T18:12:55.000Z,0
29,Did is something like ashique 2,2017-07-06T19:48:49.000Z,0
30,copy of aashiqe 2,2017-07-06T19:16:03.000Z,0
31,Lag bhag aashiqui 2 jase hai,2017-07-06T10:28:37.000Z,0
32,Ashqui 3 Naam hona chaiye tha.,2017-07-06T07:05:53.000Z,0
