,comments,pub_dates,like_Counts
0,"We are here with a huge surprise for you!
You can now book tickets for @ in advance and watch it first day first show!
Book now: www.redchillies.com/BookZeroTickets/",2018-12-18T13:13:03.000Z,45
1,Still love this movie😘😘😘💓💓 #Loveyouzindagi,2020-04-16T18:25:54.000Z,1
2,Bohat bekar movie h 🤮🤮🤮🤮🤮,2020-04-14T19:54:40.000Z,0
3,😍,2020-04-10T08:42:01.000Z,1
4,I watched it today. I don't know how did I miss this movie from watching.. Must watch...  Really inspirational...,2020-04-01T07:06:09.000Z,1
5,who is here after hearing SRK and Alia's next movie???,2020-03-29T06:27:57.000Z,1
6,Hermosa película me identifique en esa película gracias,2020-03-28T21:54:17.000Z,0
7,Full movie chahiye yrr,2020-03-28T18:51:11.000Z,0
8,"I watched this on Netflix and wouldn't believe it. This movie is kinda similar to my life. Like I was shocked to know about this movie.    The girl is kinda similar to me like  I hate my hometown,  I have problems with my mom,  I always wanted to become a cinematographer ( I dream to have a fine camera), and I almost went to a psychiatrist because I can't sleep and focus. Feels like I can't control my self.  But there's no boys around me. I mean no cute guys went to me not like in the movie. And guess what, my real name is ""QAIRAH"" pronounce as kaira.",2020-03-25T14:32:12.000Z,1
9,"🔥🔥🔥🔥🔥 
 I learned a great deal from watching 
 0:52 💝🔥 
  👇 👇 👇🔥",2020-03-20T15:23:01.000Z,0
10,Please upload this movie it's a humble request. However hard we tried but never found. If anyone knows other way of watching this movie except tv please help me .,2020-03-14T15:40:38.000Z,0
11,*For Me It's Life Changing Movie*,2020-03-13T18:36:36.000Z,0
12,Srk look father of alia😁😁😁,2020-03-08T11:01:57.000Z,0
13,"🔥🔥🔥🔥🔥 
 Nothing but tension from start to finish. 
 1:14 ❣ 
  👇💞",2020-03-02T12:13:35.000Z,0
14,Please any one help me,2020-02-25T05:47:41.000Z,0
15,I also want to free,2020-02-25T05:47:25.000Z,1
16,Adorei este filme. Incluso as palavras do terapeuta. Love this movie. Excellent dialogues from doctor to the patient.. and brings this theme: healthy mental!!!!!,2020-02-22T14:55:23.000Z,0
17,Nice,2020-02-20T13:07:40.000Z,0
18,"I saw this movie today, what a beautiful movie. ❤",2020-02-16T19:14:57.000Z,0
19,I want to be a psychologist and this movie helps me understand a lot about it.,2020-02-16T09:16:43.000Z,0
20,beautiful father daughter bond,2020-02-16T07:18:36.000Z,0
21,Beacch name??,2020-02-14T05:48:16.000Z,0
22,Love is continue,2020-02-01T16:11:51.000Z,0
23,Can someone pls tell me where is the place where they are cycling,2020-01-29T18:49:31.000Z,0
24,"Tried to watch this movie for the first time and can't even bear it for 10 mins. So much of overacting and I felt still Bollywood is so many decades behind to global cinema. It was my Bollywood movie after 10 years. Grow up your shit guys, the world has changed. Love from Paris.",2020-01-24T20:07:17.000Z,1
25,Anyone in 2020?. Kindly like it. ☺️☺️,2020-01-07T05:16:50.000Z,0
26,Thanks a lot 😊👍,2019-12-30T16:06:18.000Z,0
27,This movie is a gem,2019-12-29T15:44:13.000Z,0
28,Kon 5 December ko trailer😁😁,2019-12-05T03:33:42.000Z,0
29,This movie is really has that grasp that you know it that movie is slow but you cant laeft the movie in mid just flow with the flow of movie this seriously an amazing movie i think everybody should watch this a true defination of meaning full cinema,2019-11-28T09:40:09.000Z,0
30,One of the best movie of Srk,2019-11-10T21:24:01.000Z,0
31,Can anyone tell me i watch this movie or not ?????????,2019-11-09T16:09:10.000Z,0
32,I think this movie helped me to try letting go of my depression.. I JUST LOVED IT .. I know none of you cares but i will try to look at life with more postivity now and i wont be afraid to take steps just because i am scared that the past will hunt me ... i will try to let go of everything that is not good for my health and everyone who i think doesnt deserve my attention or what i have to give beacuse i am worth it .. And I believe in myself and i will be able to achieve every dream I have and i really really jhope everything works out for me and for eveeryone reaading this comment ! May God bless you and I hope you find your happines !,2019-11-05T21:38:33.000Z,0
33,Car oiytr,2019-11-05T01:38:29.000Z,0
34,"I missed that srk laugh
❣️❣️❣️❣️
That smile
That damn smile",2019-10-17T17:06:36.000Z,2
35,It is good to watch enormous outstanding movies like that.,2019-10-13T14:10:34.000Z,0
36,Srk is very hondsome,2019-10-11T01:47:33.000Z,0
37,"O.M.G!😁 VeRy Odd Jodi👈😐
I Don't Like ShahRuKhan & Alia Bhatt But Alia Bhatt Is BeAuTiFuL! 👍😊",2019-09-14T07:38:50.000Z,1
38,YA ŞU KIZDAN TİSKİNEN Bİ BEN MİYİM,2019-09-08T12:14:07.000Z,0
39,Plz provide link to watch this movie online pz plz plzzzzzzz...,2019-07-18T14:01:18.000Z,0
40,Thank you high ones ✍🙏💜🤳🐚🦆😍💌👁🤰👼🧜‍♀️🧚‍♀️🐴🐴,2019-07-17T09:21:04.000Z,0
41,"Yeh sab ek ladki k hi nazariye se dikhaya gaya hai.  Huhhh. 
Matlab alia jo kare wo thik.  Like in bar usko kuch pachatawa v nai.  Huh.  Accha hua about raghuwir have done engagement",2019-07-12T19:17:23.000Z,0
42,Lots of luv 4 both of them❤️,2019-07-07T09:10:40.000Z,1
43,Yeah film download Karna chahti hoon vidmate mein..  Anyone suggest Ki Kaisa hein..  ??? Plz plz..  Download karo yaa na karo,2019-07-04T17:40:11.000Z,0
44,There is so much to learn from this movie....  This movie has taught so many lessons,2019-06-21T18:42:28.000Z,1
45,S.R.K 😘😘😘😘😘😘,2019-06-20T08:45:45.000Z,0
46,Love You Zindagi 💟,2019-06-10T17:35:59.000Z,0
47,Te amo sharukan,2019-06-09T18:31:19.000Z,0
48,"Best India film I ever watched to the extent I had to download the song : let's break up, koko you are so hot",2019-06-06T10:48:21.000Z,1
49,Why cant they make more movies  like this..  We are tired of watching  the romantic  ones..I love it,2019-05-27T17:44:58.000Z,0
50,"Please make a television series about Dr. Jehangir Khan, in which he will continue to share his wisdom and teach us how to live easier and how to cope with difficulties!",2019-05-18T09:10:58.000Z,0
51,Fav movie 💖,2019-04-16T19:15:53.000Z,1
52,Plz upload this film,2019-04-05T10:57:27.000Z,0
