,comments,pub_dates,like_Counts
0,I'm here because of Nora...I'm a big fan of her....👍👍,2020-02-06T21:29:53.000Z,0
1,Wtf did salman tweeted I mean yaaar all comments are talking about it telll me plz .....,2020-01-21T11:53:04.000Z,0
2,Lov u nora,2019-09-23T19:26:27.000Z,0
3,cough *Happy death day* cough,2019-08-23T12:30:53.000Z,0
4,Definitely ye movie Dilbar se pehle ki hai wat a shocking transformation in same year,2019-07-31T20:42:16.000Z,0
5,I saw the movie but dint understand the ending can someone please xplain if he was sent in jail den how he wakes up every night in his own bed and if not jailed den why,2019-07-31T20:05:00.000Z,1
6,"Movie reminds me a bit of
“the night of"" a tv series",2019-04-18T00:29:59.000Z,0
7,Here because of timeliners and fan of nora,2019-02-08T09:23:15.000Z,0
8,Can anybody explain me the movie's ending?,2019-01-24T11:49:30.000Z,0
9,K A M A R I Y A girl 😀,2019-01-15T08:49:02.000Z,0
10,Who’ll watch this movie *only because of Nora?*,2019-01-13T08:48:59.000Z,0
11,Didn’t expect that from nora fatehi,2018-12-17T05:20:29.000Z,0
12,A Nora Fan,2018-12-13T08:24:43.000Z,0
13,Yaar ye movie kabhi TV par ayegi kya,2018-10-13T06:03:41.000Z,1
14,hi,2018-10-13T02:23:43.000Z,0
15,Didn’t understand this movie. Someone please explain,2018-10-10T20:25:08.000Z,1
16,Fact that it was his own sister at the end 💆‍♂️,2018-10-02T02:32:14.000Z,0
17,Outstanding movie sir,2018-09-10T22:44:01.000Z,0
18,OMG...what a ending...couldn’t expected at all...great...just great....its just awesome,2018-09-09T06:27:33.000Z,0
19,the perfect nora fatehi woow,2018-08-27T02:02:03.000Z,0
20,I came here from videocon d2h add on home channel. Khushiyo ki chattri,2018-08-17T16:17:46.000Z,0
21,"I am here after seen her video ""THE TIMELINERS"".",2018-08-09T16:19:11.000Z,0
22,Admit it we most of us here for Nora😍😝,2018-08-05T21:28:22.000Z,0
23,Apne behen ko choda hai movie par!!!,2018-07-19T13:58:53.000Z,0
24,Salman just told to stop worshiping him n be yourself n do good 4 others.... will u?,2018-07-16T15:57:51.000Z,0
25,oh nora nice..,2018-07-15T17:26:49.000Z,0
26,Here bcoz of serching a gud movie..not bcoz of sumbody TWEET....god damn,2018-07-14T19:28:28.000Z,0
27,Here because because of nora,2018-07-12T19:22:38.000Z,0
28,"watch in hd 
https://watchonlineclub.com/watch-online-my-birthday-song-2018-full-movie-free-download.html",2018-07-10T19:54:30.000Z,0
29,I didn’t even see salman’s tweet🤣🤣🤣so definitely am here for Nora from my country,2018-07-10T17:28:01.000Z,9
30,Here after watching Nora's superb performance in dilbaar song😍😍😍,2018-07-09T18:21:34.000Z,0
31,Experimental movie.... ❤️❤️❤️❤️,2018-07-08T09:39:25.000Z,0
32,المغربيات فينما مشيتي كاينين 🇲🇦❤❤💋💋💋,2018-07-05T13:57:11.000Z,0
33,samir soni...,2018-07-01T06:31:33.000Z,0
34,Only because of samir soni,2018-06-22T15:51:47.000Z,0
35,Because of samir soni...good movie,2018-06-21T10:11:07.000Z,0
36,For noraaaaa,2018-06-12T03:07:00.000Z,0
37,"Nora Thujay kia lgta hai esi Filmen bna key to hit ho gy ge.....wo Hardy Sandhu logon ke pssnd tha es lieay 200 million views ko cross kar gie 

Salie Gshtie Nora",2018-05-25T03:42:54.000Z,0
38,Khakhakha  Cold cold 😂😂😂,2018-03-28T19:29:59.000Z,0
39,http://fullmovienow.com/,2018-03-26T09:45:20.000Z,0
40,anyone else here that are nora fans,2018-03-21T18:43:57.000Z,91
41,👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👌👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐💐,2018-02-23T14:10:22.000Z,0
42,Koi aisa hai bhi jo salman ki wajah se nhi timeliners ki wajah se aaya hai,2018-02-23T10:24:09.000Z,0
43,It's a copy of happy death day!!,2018-02-04T12:10:15.000Z,4
44,"Wtf not because of Salman khan tweets 
I searched a Bollywood psychological thriller",2018-01-30T18:38:53.000Z,0
