,comments,pub_dates,like_Counts
0,is this really inspired by true story,2019-02-16T07:27:07.000Z,2
1,fake is back kya likhte hai,2018-11-02T20:57:41.000Z,0
2,what a guy,2018-11-02T20:57:06.000Z,0
3,Ae ..taa...plastic ki bandook hai..kuch Hoya..😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😋😂😂😂😂😂😂.,2018-08-18T06:46:15.000Z,0
4,Cowboy bebop intro copied by this movie trailer,2018-03-06T09:22:32.000Z,2
5,Iska full movie kha se dekhe,2018-02-22T10:59:43.000Z,1
6,Hhhahaha,2018-01-07T19:22:03.000Z,0
7,nice bhai,2016-02-04T12:00:21.000Z,0
8,1 no. hai,2016-02-04T11:26:35.000Z,0
9,mast hau,2016-02-02T11:01:26.000Z,0
10,mast hai video,2016-02-02T11:00:47.000Z,1
11,mast hai video...,2016-02-02T10:54:46.000Z,0
12,mast hai bhai....,2016-02-02T10:45:36.000Z,0
