,comments,pub_dates,like_Counts
0,Stream & watch back to back Full Movies only on Eros Now -  https://goo.gl/GfuYux,2018-04-30T07:54:37.000Z,3
1,Aage jaake ye hostel daze me ye Civil engineering krta hai,2020-02-14T11:22:58.000Z,1
2,"I love these type of movies , like drisyam ... Far bettr thn happy new year ....",2019-09-14T15:39:18.000Z,0
3,Alahuakbar yes yes,2019-09-01T05:51:52.000Z,0
4,"I just watched this Film and I really liked this movie. I loved everything the story , the performances and direction and the main kid I think his acting is amazing.
THIS IS A  UNDERRATED GEM.",2019-06-24T20:20:59.000Z,0
5,Khul ja khidki what a song,2019-03-09T08:36:39.000Z,0
6,Good movie 👏👏,2018-11-01T16:44:51.000Z,1
7,has anyone seen this movie and how is it ??,2018-09-19T10:44:07.000Z,0
8,The best actor in Bollywood ... Manoj sir is awesome... A lot of luv from Pakistan.,2018-08-23T17:55:01.000Z,0
9,Some movies just makes holes in your heart. If u want to see life-size emotions and RAW shots see this movie. Every words reminds you to live the life from scratch. Hats off to makers.,2018-08-14T18:36:11.000Z,0
10,Bollywood needs more movies like this.,2018-05-12T13:07:58.000Z,0
11,"This movie was something out of the ordinary. It has a slow pace and a few jerks along the path but it presents a proper story and the mystery is kept intact. However, this is an emotional movie more than a mystery. The father-son interactions and some dialogues act as a tearjerker. Manoj Bajpayee may not have a big role here but he is a delight to watch. Apart from that, the others (especially Adarsh Gourav) have acted well. 4/5!",2018-05-03T01:38:57.000Z,0
12,Watched it and loved it !😊👍👏,2018-04-10T03:10:47.000Z,0
13,Nice realistic movie. Saw it on Netflix. mindblowing!,2018-04-08T23:36:50.000Z,0
14,Huge Fan of Manoj Bajpayee what a talented actor I just love his work <3,2018-04-08T02:55:40.000Z,0
15,Its really sad that we don't get the audience for such movies. Great movies like this needs to be appreciated,2018-04-04T05:09:01.000Z,0
16,I am a huge fan of Manoj Vajpayee....,2018-03-14T07:05:50.000Z,0
17,Where I could download this movie??,2018-03-05T15:17:37.000Z,0
18,Manoj bajpai...... He is the real god of acting,2018-02-22T07:00:53.000Z,0
19,https://www.facebook.com/haroonkkhan007,2018-02-17T13:59:51.000Z,0
20,"This is the real cinema, this is the real kind of actors I wanna watch forever. So close to real life and reality. Banoj Bajpayee's screen presence sucks you in the moviea and story so deeply.",2018-02-12T01:53:34.000Z,1
21,Isn't that the guy who played in MOM as the fucking asshole?,2018-02-11T17:09:43.000Z,0
22,All Bollywood actors should take acting classes from Manoj Bajpayee.... The Legend.,2018-02-10T01:51:19.000Z,2
23,LOOKING FORWARD . INTERESTING,2018-02-08T17:59:54.000Z,0
24,This is Manoj's year.,2018-01-28T03:59:49.000Z,0
25,Superb,2018-01-12T08:25:17.000Z,0
26,Simply Loved the trailer 💜,2018-01-11T17:55:54.000Z,0
27,Wow...I am going first day show...Damn good,2018-01-11T17:19:22.000Z,0
