,comments,pub_dates,like_Counts
0,🤣🤣🤣,2020-03-22T08:53:20.000Z,0
1,I ALSO LOVE HER,2020-02-15T08:24:37.000Z,0
2,Puneet,2020-02-05T11:29:02.000Z,0
3,Kis ne mobile ulta karke thumbnail dekha😂,2020-02-04T19:00:57.000Z,0
4,Pagal movie hai,2020-02-03T17:18:51.000Z,0
5,link please,2020-02-03T15:08:53.000Z,0
6,mast,2020-02-02T19:45:07.000Z,0
7,"Sunne me toh Sahi laga tha matlab kya hai ,😅😅😅😅",2020-02-01T13:03:04.000Z,0
8,aap laxmi Pati ho sir. aap ek great personality ho sir i respect u .main bhi singing karta hu sir mujhe bhi ek chance de do sir.,2020-01-31T03:56:51.000Z,0
9,Dharmesh Sir 😍😍,2020-01-27T14:20:57.000Z,0
10,raghav <3,2020-01-22T21:15:21.000Z,0
11,"Jitni baar Trailer dekho Mann nhi bhrega 
👇👇👇👇👇👇👇👇👇",2020-01-16T06:55:12.000Z,1
12,Nice,2020-01-13T03:13:07.000Z,0
13,samir,2020-01-03T04:23:09.000Z,0
14,The heroine is from patanjali ad whose name in ad is sayndarya using patanjali cream,2019-12-29T07:30:18.000Z,0
15,Please yr koi ye movie upload krdo,2019-12-25T17:03:04.000Z,0
16,Nice video flim bhauta bhalaachi damo Bhai,2019-12-19T10:17:56.000Z,0
17,My favourite Raghav,2019-12-09T18:18:39.000Z,2
18,Movie upload kaoro plz,2019-11-27T13:57:42.000Z,0
19,Raghav multi talented hai dancer bhi actor bhi singer bhi comedian bhi,2019-11-26T18:08:34.000Z,0
20,boring,2019-09-30T09:39:14.000Z,0
21,Bhai kis se milaya last ma ma ne movie nhi dekhi h,2019-09-11T20:25:51.000Z,0
22,"Love you D sir, Raghav sir,and Punit sir I am Big fan of your",2019-08-31T08:13:29.000Z,0
23,Movie link bhejo..... Koi....,2019-08-27T11:20:48.000Z,0
24,"Punit = like 
Dharmesh = comment",2019-08-24T18:18:37.000Z,34
25,Dharmesh sir is no 1,2019-08-04T08:27:25.000Z,3
26,Worse movie ever lol with unfinished plot,2019-07-28T22:43:07.000Z,0
27,"Sir g full movie kab dall rahe ho 
Mujhe dubara dekhni hai",2019-07-25T08:01:24.000Z,0
28,I want nawabzaade in full HD movie,2019-07-24T10:58:56.000Z,0
29,Movie dikha dijiye kabhi,2019-07-20T08:34:04.000Z,0
30,D is no1,2019-07-03T05:31:59.000Z,0
31,Punit is lovely,2019-06-29T02:19:04.000Z,1
32,Yrrr ya film goggle me search karne par nahi aa rahehai sirf tailor aarahe hai,2019-06-21T08:24:27.000Z,0
33,My favorite song high rated gabru,2019-06-15T14:59:44.000Z,1
34,Raghav,2019-06-12T09:51:42.000Z,0
35,Hello Ishq film YouTube mein nahi mil raha hai kaise Dekho mujhe bahut pasand Ho Gaya trailer,2019-06-06T08:40:09.000Z,0
36,Movie you tub pe kab doge,2019-05-29T08:48:24.000Z,0
37,Nice film yarr... Love you punit. 😘,2019-05-27T15:07:19.000Z,5
38,Can we see this movie with momm and dad...,2019-05-25T08:31:38.000Z,0
39,Full movie kyu nahi Dale ho,2019-05-01T16:36:09.000Z,0
40,Punit........ 😍😍😍😍😍😍😍😘😊☺,2019-04-22T08:01:16.000Z,0
41,Punit is love❤😘💞😍,2019-04-18T18:24:08.000Z,16
42,Punit J Pathak,2019-04-11T09:49:58.000Z,0
43,Full movies,2019-04-06T21:00:23.000Z,0
44,pelase navab zaade ya dhadak movie,2019-04-02T04:00:24.000Z,0
45,Nice vinal,2019-03-29T17:00:42.000Z,0
46,Movie 🎬nahi mila i am so angry😡,2019-03-14T05:58:19.000Z,0
47,Ragav sir 👍👍👍👍,2019-03-04T04:31:29.000Z,0
48,Nawabzade full movie plzzz you tube me rakho na plzzzzz plzzz,2019-03-04T04:29:20.000Z,0
49,Nice,2019-02-12T08:17:00.000Z,2
50,Nawabzade full movie Link share kro bhai,2019-02-12T07:24:25.000Z,0
51,Very  nice  movie,2019-02-07T12:34:26.000Z,0
52,Nice and 😚😚😚😚😚😚😚😚😚😚😚😚😚🌷,2019-02-07T08:49:04.000Z,0
53,Raghav it's my favourite actress.....love you raghav🤔🤔🤔🤔,2019-01-27T17:55:06.000Z,0
54,Movie to aai hi nhi rahi you tube par koi Bhai btayga kaha sh dekh PA skta hun....,2019-01-26T15:50:42.000Z,0
55,I am big fane DID heros,2019-01-26T15:49:12.000Z,0
56,Nice 🙂🙂,2019-01-23T07:07:00.000Z,1
57,"Muje Raghav baot pasnd he...but film Mr hamare Gujju boy ""d"" sir Ka character baot Acha laga...😂 very funny...❤️",2019-01-21T14:07:54.000Z,0
58,I wont to look this move,2019-01-21T12:04:29.000Z,0
59,osssm,2019-01-17T08:40:53.000Z,0
60,jhkkas lajwab,2019-01-17T08:40:48.000Z,0
61,Nice movie yarrrr,2019-01-17T08:40:38.000Z,0
62,Sub to t-series come on,2019-01-17T07:32:46.000Z,1
63,Nice to video,2019-01-10T11:49:23.000Z,0
64,Raghav is best,2019-01-09T18:30:55.000Z,0
65,Na Bhoothnath shaadi movie Awaz you,2018-12-25T09:14:10.000Z,0
66,movi hit h bosss....,2018-12-23T06:35:03.000Z,0
67,Full move aplod karo 4 mahina se sirf tarler dekha raha hh,2018-12-15T21:01:31.000Z,0
68,Plz jaldi ye movie upload kardijiye,2018-12-14T10:46:19.000Z,0
69,आई वांट नवाबजादे मूवी,2018-12-10T15:01:56.000Z,0
70,"Darmesh, punit n raghav mala khup aavadatat.... As a dancer n as a actor... Especially raghav your my favorite comedian bro

👍😘😘😎",2018-12-08T10:21:26.000Z,1
71,can we give this.movies link,2018-12-08T10:03:01.000Z,0
72,Where is the movie,2018-12-08T02:05:28.000Z,0
73,I love your pictures,2018-12-07T10:31:57.000Z,0
74,T,2018-12-05T13:50:18.000Z,0
75,I love you three 😁😁😁😁😁😁,2018-12-05T12:59:20.000Z,1
76,Ada pavi gala kanna laddu thina aasaiya padam remake ah,2018-12-03T17:51:33.000Z,0
77,yash,2018-12-01T13:34:54.000Z,0
78,"Nice ..
...",2018-12-01T10:23:53.000Z,0
79,Punit sir is the best,2018-11-29T04:39:02.000Z,0
80,nice,2018-11-27T08:57:09.000Z,1
81,Kamal ka trailer hai boss,2018-11-26T10:16:57.000Z,0
82,"Punit is Best Dancer,♥",2018-11-25T18:00:14.000Z,0
83,love you raghav bhai aap k jaisa world m koi ni hai,2018-11-15T08:53:34.000Z,0
84,Move ko youtube me kab chorenga,2018-11-14T16:27:44.000Z,0
85,nice,2018-11-14T09:24:44.000Z,0
86,mast flim hai,2018-11-11T01:28:39.000Z,0
87,Where is this Movie? It dint release yet?,2018-11-10T12:42:19.000Z,0
88,Where is Athiya??,2018-11-09T16:52:26.000Z,0
89,Nawabzade superhit film,2018-11-08T04:48:19.000Z,0
90,Dharmesh sir I like you,2018-11-03T17:05:47.000Z,0
91,Please one subscribe kar do Friends plzz kar do,2018-11-03T08:06:30.000Z,1
92,raghav pure hero se badhkar haii.... my fav dancer & Actor and comedian.. Aur dil ka Acha,2018-11-02T16:36:55.000Z,0
