,comments,pub_dates,like_Counts
0,Full movie ko dekaye please,2020-03-25T09:59:55.000Z,0
1,fuck gautam gulati...... rajkumar is the cutest actor.... gautam gulati overactor... doesnt deserve to be hero,2020-03-24T15:26:28.000Z,0
2,"🔥🔥🔥🔥🔥 
 This is probably one of my favorite movie 
 1:57 💕💯💛 
  👇👇👇❤",2020-03-20T14:28:14.000Z,0
3,Darr se Kiran ko Kon le gya Rahul 👌👌,2020-03-15T06:54:27.000Z,0
4,Ye Rahul Naam Ka louda itna harami kyu hota h😂😂😂,2020-03-05T13:23:25.000Z,0
5,"My name is ----- Rahul 
Naam to suna hi hoga trailer me. 
Hahahahaha",2020-02-28T11:08:40.000Z,1
6,RKR AL TIME FAVRT,2020-02-22T14:22:01.000Z,0
7,RKR AL TIME FAVRT,2020-02-22T14:21:43.000Z,0
8,i think its ranbir kapoor voice,2020-02-22T04:25:09.000Z,0
9,"I am here only for this Man 1:22
WE LOVE WE LOVE GAUTI 💓 💪🏻 😎
Gautam Gulati",2020-02-21T10:02:46.000Z,0
10,Behen hogi Teri link movie,2020-02-19T08:33:23.000Z,0
11,Rahul. Rahul. Rahul.,2020-02-16T07:03:09.000Z,0
12,Tera baap toh Gaya !! 😜,2020-02-14T02:01:45.000Z,0
13,When I saw Rajkumar and Nawazuddin in Talaash...I knew it then that they will Dhamal in Bollywood in no time....,2020-02-13T14:41:33.000Z,0
14,Nice,2020-02-13T13:54:40.000Z,0
15,shruthi hasan bad choice,2020-02-13T12:45:36.000Z,1
16,Here because of gautam gulati,2020-02-12T17:17:11.000Z,1
17,Rishabh pant se wicketkeeping kaun le gaya..........Rahul😂😂😂,2020-02-12T05:51:18.000Z,1
18,Yr ye movie dekhni h meko😭😭kr do koi upload,2020-02-07T14:12:59.000Z,1
19,Yr ye movie dekhni h meko😭😭kr do koi upload,2020-02-07T14:12:38.000Z,0
20,Raj kumar rao is my favorite ♥️♥️♥️♥️♥️,2020-02-04T08:50:39.000Z,0
21,Mujhy movie do,2020-02-03T13:20:02.000Z,0
22,Link dalo reply me,2020-02-02T04:50:38.000Z,0
23,Link dalo,2020-02-02T04:49:53.000Z,0
24,😍😍😂👌❤💋  I Love,2020-02-01T14:52:28.000Z,1
25,Teenager dreams,2020-01-25T15:25:43.000Z,0
26,Me,2020-01-18T07:10:31.000Z,1
27,Welcome 2020,2020-01-16T02:13:28.000Z,1
28,Outstanding trailer,2020-01-15T17:49:52.000Z,0
29,Ending was too disappointing,2020-01-11T19:07:45.000Z,1
30,"Bilkul sahi movie hn....pdosh me bhi pyar ho Jata h....baht problem hoti h vse.
Mere sath hua h ye....",2020-01-09T05:53:22.000Z,0
31,This movie is so good everyone should watch it,2020-01-09T05:24:22.000Z,4
32,Bhai jaldi se movie bejo Kya movie hai 👍👍👍👌👌👌,2020-01-08T22:34:21.000Z,1
33,Nice,2020-01-08T17:39:08.000Z,0
34,Since when Yuvraj singh started acting ?,2020-01-07T00:20:39.000Z,0
35,I don't know if you notice that Rajkummar Rao is got a lot of films 😱😏,2020-01-06T10:26:48.000Z,1
36,Bhai...yeh movie kab aayi aur kab gayi? 😂,2020-01-05T07:04:59.000Z,0
37,Shruti Hassan is back with bang,2020-01-03T10:12:57.000Z,0
38,Both Shruti and Kylie Jenner went to the same plastic surgeon??,2020-01-03T03:36:18.000Z,0
39,Mai hu wo jisne phli baari ladki ki Apni bahan mana,2020-01-03T01:35:56.000Z,0
40,Bhai mai harami nahi 😂😂😂,2020-01-01T19:18:21.000Z,0
41,1:18...ye to yuvraaj Singh hai,2019-12-31T09:22:16.000Z,0
42,https://youtu.be/pFa-AmD05bU,2019-12-30T03:57:19.000Z,0
43,😅😂🤣😚,2019-12-29T05:58:29.000Z,0
44,Nice 👌👌👍,2019-12-28T18:12:49.000Z,0
