,comments,pub_dates,like_Counts
0,Good one,2020-03-27T14:38:05.000Z,0
1,Neil Ka baap B ha Sab ka pexhy huta ha dkhny ki zarort nai ma bta dya ha 😂😂😂😂 ye khd baap ko mar dta...,2020-03-26T09:21:03.000Z,0
2,Very nice movie. Always keeps you on edge. Some minor faults like non-required songs. Neil Nitin Mukesh is awesome.,2020-03-26T05:13:27.000Z,0
3,is it available  only  on Netflix,2020-03-25T08:55:08.000Z,1
4,Thriller film kisko pasand h,2020-03-22T19:14:19.000Z,0
5,Bkwas trailer,2020-03-22T09:44:23.000Z,0
6,",👍 owsm",2020-03-21T15:43:32.000Z,0
7,"The music is so familiar
like of 90's thriller",2020-03-20T19:38:10.000Z,2
8,Netflix squad 🙌🏼,2020-03-20T18:45:01.000Z,0
9,Interesting,2020-03-19T17:48:31.000Z,0
10,Jisko apne mo me dekhna ho coments kre,2020-03-19T02:19:06.000Z,0
11,Superb movie,2020-03-19T01:11:28.000Z,0
12,Fazool movie.. dont waste time watching this,2020-03-18T20:04:06.000Z,0
13,"Amazing movie must watch
Too good movie ... Super  thriller suspence... Excellent performance by neil",2020-03-18T11:28:38.000Z,0
14,Good luck,2020-03-17T20:36:51.000Z,0
15,one of the finest underated actor nnm ..,2020-03-17T19:21:06.000Z,2
16,"👏🏻धन्यवाद ग्रुप में मुझे जगह देने के लिए साहब
👏🏻👏🏻👏🏻💐
*बीजापुर विकास ग्रुप को प्रणाम👏🏻💐*
 मेरी फिल्म 2 अप्रैल को रिलीज होगी आप सब जरूर प्यारे देवे 
मेरे चैनल पर आएगी 
चैनल है ....rmd dewasi

https://youtu.be/9lqQl45JSqM
*RAYKA THE REAL HIRO*👆🏻👆🏻👆🏻👆🏻👆🏻",2020-03-17T18:19:35.000Z,0
17,SUPER MOVIE SUSPENCE THIRILLER AND TWIST,2020-03-17T08:02:18.000Z,0
18,Damn 🔥,2020-03-17T06:05:22.000Z,0
19,"Background sound feels like ""Daad Silence"".",2020-03-16T15:46:47.000Z,0
20,Nice try,2020-03-16T10:19:49.000Z,0
21,Rajit Kapur 😍,2020-03-16T10:04:48.000Z,0
22,Trailer is so promising. But movie is not that good enough.  😓,2020-03-16T08:43:19.000Z,0
23,"Niel ....Mitin....Nitesh...!
😄😁😆😅😂",2020-03-16T06:03:43.000Z,0
24,2:46 Music Like Hollywood Movie #DeadSilence,2020-03-15T19:34:05.000Z,0
25,https://youtu.be/vmvLZuzc3MQ watch it and subscribe it,2020-03-10T09:25:22.000Z,0
26,https://youtu.be/QcAYPNGjNaA,2020-03-09T10:47:35.000Z,0
