,comments,pub_dates,like_Counts
0,That background score... goosebumps aa gaye,2020-03-26T18:38:45.000Z,0
1,I love sunny ji,2020-02-20T17:38:45.000Z,0
2,Hi,2020-02-02T15:45:10.000Z,1
3,Next. Muvi 2020 KAB aayegi,2020-01-16T12:01:43.000Z,1
4,Sanny  sar. I  love  you.,2020-01-16T12:01:16.000Z,1
5,Sar I m wetig sanny  deol. Muvi,2020-01-16T12:00:52.000Z,1
6,Bahut expectations they iss movie se after the real Ghayal and this trailer...but...:(,2019-11-18T19:41:09.000Z,0
7,Why these sort of films don't get promoted on a large scale?,2019-11-09T18:25:30.000Z,1
8,Tiger is back,2019-10-26T03:26:50.000Z,0
9,Who is here in 2019 October,2019-10-13T08:45:51.000Z,6
10,a movie flop hoga,2019-10-13T06:55:30.000Z,0
11,Sunny fan like here...JC,2019-10-12T06:55:12.000Z,1
12,Bakwas 😏,2019-10-12T03:26:25.000Z,0
13,Best trailer of sunny paji...,2019-10-11T18:34:17.000Z,0
14,"Pal pal dil ke paas should have been named ""Ghayal - thrice again"".",2019-10-11T06:25:57.000Z,5
15,Outstanding,2019-10-08T11:21:51.000Z,0
16,Osm sanny  sir,2019-10-08T03:22:47.000Z,0
17,Kya baat h Ajay Mehra 😍,2019-10-07T01:25:48.000Z,1
18,Sunny deol is one of best actor.,2019-10-06T10:54:02.000Z,1
19,Sonny deol and tiger shoraff ek satha kam karana chahiya lion vs tiger,2019-10-04T03:40:35.000Z,0
20,I think it's Sandeep maheshwari 00:58,2019-10-03T09:02:01.000Z,0
21,😘😘😘😘,2019-10-01T10:38:34.000Z,0
22,Here bansal. Is    ambani.. . Desh sabse bada. .ameer . Madharchod,2019-09-14T04:59:21.000Z,0
23,Sunny sir you are great,2019-09-04T17:46:38.000Z,1
24,Great action movie with a bad Climax!,2019-08-24T08:27:13.000Z,0
25,"interesting movie love it 
after a long time i could watch a movie with family 
love from Pakistan",2019-08-16T07:41:54.000Z,0
26,Sunny Deol ko acting sikhao yaar... Acted like a psycho person.,2019-08-07T08:27:20.000Z,0
27,Nice wow inspiration movie 💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪,2019-07-07T11:58:46.000Z,1
28,What a movie ya I got it on dvd too waiting for ghayal 3,2019-06-30T19:15:37.000Z,0
29,Ye vali film banana tha sunny ko bakvas movi bana liya ghyal once agen,2019-06-01T11:02:36.000Z,0
30,"Awsm.
 Singh is king ..sunny is g8❤
Who else is here only for sunny?",2019-05-25T12:21:51.000Z,0
31,Ye film super hit 👊,2019-05-13T19:17:38.000Z,0
