,comments,pub_dates,like_Counts
0,"Não entendi pq o menino passa o tempo todo com o pescoço virado p/ lado. Cegueira não é sinal de deficiência física, e ainda é malcriado.  Mas de resto....um bom filme p/ assistir em família.",2020-04-18T15:56:40.000Z,0
1,There shouldn't be dislike button for some videos,2020-04-12T18:29:22.000Z,1
2,This. Movie is  bucket  load of optimism.. eyes teary while  face  is smiling ... breathtaking realistic beauty of Rajasthan .. An amazing road trip .. soaked in emotions and excellent acting.,2020-03-30T15:33:05.000Z,0
3,Underrated movie,2020-03-15T08:23:41.000Z,0
4,Nagesh kukunur is a gem of bollywood,2020-03-14T18:16:32.000Z,0
5,i like it,2020-02-27T06:54:58.000Z,0
6,Hello sir मैंने आपके चेनल को  subscribe किया है और बेल आइकन को भी click किया है आप करियेगा please,2020-02-17T12:10:59.000Z,0
7,movie achhi he gaane achhe he but saala ye Bollywood walo ko hinduo se problem kya he ?,2020-01-15T10:38:27.000Z,0
8,Movie kaisi hai?,2020-01-10T16:35:20.000Z,0
9,I watched this movie and I think this movie is one of the best movie which I never seen,2019-12-26T21:45:19.000Z,0
10,Masterpiece.,2019-12-23T08:52:27.000Z,0
11,Its my favourite film.,2019-11-11T12:56:58.000Z,0
12,HERMOSA PELÍCULA,2019-10-28T00:19:37.000Z,1
13,"Rather than saying that, it's nice. How many of you all genuinely shared it among all your friends and family? Change starts from you. Share it in WhatsApp YouTube , convey verbally to others to watch this. That's how things get popular. Not just by commenting. I did my part by sharing , you do yours now.",2019-09-27T07:09:51.000Z,3
14,Best OnE,2019-09-21T12:24:40.000Z,1
15,Yeahhh India ...,2019-08-20T12:46:35.000Z,0
16,A beautiful movie I love it,2019-08-12T02:05:25.000Z,0
17,great movie..i love it...,2019-08-08T07:48:31.000Z,0
18,Loved This movie,2019-07-14T08:23:41.000Z,0
19,My fav movie all time🤘🤘,2019-06-06T18:38:16.000Z,0
20,Best movie is world,2019-05-01T16:59:22.000Z,0
