,comments,pub_dates,like_Counts
0,Heart-wrenching movie with Varun Dhawan's finest performance to date. This is the kind of  movies which India needs right now.,2020-03-25T12:09:45.000Z,1
1,The one who are trolling varun about his acting skills i guess they better watch out this movie he did a commendable job copper can turns out diamond when he got the right eyes.....,2020-03-24T23:08:41.000Z,0
2,Can anyone recommend me some bollywood movies like this one?,2020-03-24T05:10:21.000Z,0
3,Varun dhawan deserved an award for this he really did brilliant acting,2020-03-22T03:00:32.000Z,0
4,This movie hit on Kerala in mobile everywhere . This movie like feel good❤,2020-03-20T07:00:37.000Z,0
5,"I think I love this movie without any specific reason..... The only movie which makes me sad, depressed but still I luv this",2020-03-19T09:50:04.000Z,1
6,I just want to Appreciate the writer.. I mean how beautiful the story was.. I still love this movie.. One of the most underrated ones.. Sad people don't get over those over dramatic ones to realise such masterpieces made in Bollywood.. ❤❤ it was a flop but it indeed won the hearts of people who could understand it ❤,2020-03-19T03:13:31.000Z,1
7,connected to my 💜❤,2020-03-18T05:42:26.000Z,0
8,the last scene was missing in the movie.. right?,2020-03-16T05:12:41.000Z,0
9,"Mera hindi question hai bhailog🤣😂 ye movie maine dekha but samjh nhi paya ..isme ek dusre ke liye pyar hoke bhi pyar nhi hai ..,Mai iska mtlb kya smjhu?",2020-03-15T17:32:14.000Z,0
10,Very touchy movie though,2020-03-14T15:14:47.000Z,0
11,"A Beautiful Masterpiece! Where is Dan? Aur bas, Dan ka pyaar! ❤️❤️",2020-03-13T21:29:10.000Z,1
12,Bhai m toh halke m lera tha pr ye sach m dil ko choo jaane wali movie hai.❣️,2020-03-11T17:02:08.000Z,0
13,"I watched this movie in theaters 2 times, for the first time I cried and the second time I cried even more and friends can't understand why I'm crying they ask me ""what's wrong bro you are crying over this movie"" and i say you would not understand this movie if you don't understand life and reality.",2020-03-08T09:08:07.000Z,0
14,"🔥🔥🔥🔥 
 This movie is phenomenal 
 0:55 ❣🎬 
  👇👇👇💟",2020-03-06T09:39:50.000Z,0
15,This movie was meant to be nominated for oscars,2020-03-03T14:38:28.000Z,0
16,Please Upload Full Movie,2020-03-03T03:55:35.000Z,1
17,"Last Music Gives Me Goosebumps🔥🔥🔥🔥
This Movie Just Stolen My Heart 💓🥰 
After So Many Years I was went To Theatre bcoz Of Only This Movie.
Varun U R Amazing Actor

🙏🏻Thank You Universe, This Movie changed my Life Completely 🙏🏻🤗👼👍🏻",2020-03-03T03:48:34.000Z,2
18,♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️♥️,2020-03-02T22:19:52.000Z,0
19,I watched this movie yesterday.Varun and Banita deserve more respect ♥️,2020-03-02T10:47:20.000Z,0
20,That's why alcohol is prohibited in Islam,2020-03-01T05:42:10.000Z,1
21,it's a masterpiece bt also undratted i love this movie and varun's performance,2020-02-28T21:15:20.000Z,2
22,Ab pta chala varun judwaa 2 jaise movies kyu krne lga,2020-02-25T14:27:20.000Z,0
23,Good,2020-02-22T07:06:18.000Z,0
24,😭 movie ki appreciation us k trailer m jaa kr krni pd rhi h...bhot sahi movie h yeh bc! Hdd h yr,2020-02-19T18:23:19.000Z,0
25,Good#MAINPURENTERTAINMENT,2020-02-19T06:22:26.000Z,0
26,I love this movies,2020-02-18T11:53:52.000Z,1
27,"Its a poetic masterpiece that simply changes the definition of love itself and depicting it in the rarest possible way. 
Also the way relationships blossom between dan and shiuli’s mother is beautifully shown.",2020-02-17T14:06:35.000Z,2
28,This movie only for mature audiences 👨‍🎓👨‍🎓👨‍🎓👨‍🎓👨‍🎓👨‍🎓👨‍🎓👩‍🎓👩‍🎓👩‍🎓👩‍🎓👩‍🎓👩‍🎓👩‍🎓👩‍🎓,2020-02-17T09:32:16.000Z,1
29,"In the age of saki saki and dheme dheme, this movie let us pause, thaink and make our soul resilient from the broken pieces of humanity and sentiments that we probably had lost in the daily hurdle. 

Thanks Shoojit Sarkar for the movie and Santanu Moitra for the bgm.",2020-02-16T09:57:55.000Z,0
30,"Love you varun 🥰🥰😍
U ARE SUPEB",2020-02-11T04:55:41.000Z,2
31,"I think it is better love story than kabir singh
who else think??",2020-02-08T07:43:15.000Z,1
32,Madhu Kuma,2020-02-06T15:33:25.000Z,0
33,Koi mujhe batayega es film me actress ka name kya raheta h,2020-02-05T11:58:28.000Z,0
34,"It's a very heart touching movie.... I cried and cried while watching this movie❤....this movie is full of hopes bt at last the tragedy happens, which is very hurting, lastly that hope comes to an end when she dies. 
Love this movie, best movie of varun Dhawan, he acted fabulously😍",2020-02-04T12:50:12.000Z,0
35,Heart touching movie ❤️ please please October movie upload karo jaldi se,2020-02-03T17:29:44.000Z,1
36,Wat a movie it was.,2020-02-03T10:37:35.000Z,0
37,"Quality acting, watched more than 5 in theater. Like if you love to watch this movie again and again.",2020-01-29T17:58:54.000Z,0
38,Directers like soojit sir must be appreciated alot for this masterpiece . But we indians only watch 4 bullshits made by sajid,2020-01-26T17:54:04.000Z,1
39,"Can varun act?



Show them October 👌👌👌👌👌",2020-01-20T16:51:51.000Z,2
40,"Where has this movie disappeared?
Does not even come on TV",2020-01-20T07:31:04.000Z,0
41,Osm movie ...it is a master piece ❤,2020-01-20T06:27:57.000Z,1
42,*This beautiful movie really added some meaning to my life*,2020-01-20T03:04:23.000Z,3
43,"You know I just watch this movie today..... 
And after watching this... I don't what kind of Aura surround me... And I'm feeling so different..... 
This movie is about selfless love....... There is love in this movie yet it's not a love story",2020-01-15T16:47:35.000Z,2
