,comments,pub_dates,like_Counts
0,Ye K.V.S Mai padhe hai aur Bihar ke hai I am also from Bhiar,2020-04-20T17:00:25.000Z,0
1,"Movies ko hit aise star krwate hai....humne bewdo ko aage lga rakha hai...
respect for Johnny Lever,Sanjay Mishra,Vijay Raaz,Rajpal Yadav,Brahamnandam .😊",2020-04-20T02:15:44.000Z,1
2,sanjay mishra kamal actor hain...need subscriber dosto,2020-04-15T03:34:09.000Z,0
3,awesome....comedy,2020-04-15T03:32:57.000Z,0
4,"Sir I am here after watching your film, awesome sir no words who can define your act. Last annual day performance tooo emotional kar ditta sir tainnu........ Pure cinema sir",2020-04-14T08:23:29.000Z,0
5,Ada adura film banateho yarr,2020-04-14T02:28:51.000Z,0
6,"Are dhondhu
Just chill
#sanjayMishra",2020-04-13T18:28:46.000Z,0
7,Nice,2020-04-13T14:39:15.000Z,0
8,good movie,2020-04-13T12:10:25.000Z,1
9,how much SRK paid to critics to give stars.,2020-04-12T16:29:59.000Z,0
10,Hats off SRK Sir💗💗💗💗💗💗💗💗💗💗💗💗💗💗💞💞💞,2020-04-12T14:08:29.000Z,0
11,Outstanding Sanjay Mishra 💗💞💞💞💞💞💞💞💞💞💞,2020-04-12T14:08:05.000Z,0
12,https://youtu.be/ze5y_2LFmx4,2020-04-11T09:20:51.000Z,0
13,500 Films complete 🤩🧐,2020-04-11T06:57:50.000Z,0
14,बहुत ही अच्छी फिल्म है। ऐसी फिल्में सबको देखनी चाहिए।,2020-04-10T18:31:34.000Z,0
15,Its looking great story of an struggling actor.Good Job.,2020-04-10T13:43:24.000Z,0
16,bohat achi movie thi. side actors ko bhi agr leading role diya jay to wo kisi say kam nhi,2020-04-10T08:12:59.000Z,0
17,Moral of story Sanjay Mishra is Super Star.,2020-04-09T18:23:19.000Z,0
18,"During lockdown-
Enjoying life aur option kya h 👌",2020-04-09T17:38:52.000Z,0
19,Thank a lot Red Chillie for making this great great movie👍👍👍👌👌👌,2020-04-08T21:25:15.000Z,0
20,"Jo acting krna chahte hai , unko yeh movie dekhni Chahiye",2020-04-08T19:32:05.000Z,0
21,End make me cry .not a good tribute for shera legend . My exceptional was something else .,2020-04-08T18:44:02.000Z,0
22,Online streaming partner please,2020-04-08T15:46:08.000Z,0
23,Star kids 100 movie kr le pir bhi yesi acting nhi kr payenge .... Superb acting,2020-04-08T12:40:45.000Z,0
24,Praduse Bhi srk ne kiya hai legend love you srk 😇,2020-04-05T19:43:09.000Z,1
25,1st day 1st show final 😇,2020-04-05T19:42:06.000Z,1
26,Ya movie kal aavegi is chanel pa bhaiyo,2020-03-29T02:00:28.000Z,1
27,Hit like if you are going to  watch this underated actor in theatre ! Babu Bhai !!! 🙏,2020-03-28T20:05:28.000Z,0
28,"Dil su liya trailer ne,😍",2020-03-28T19:23:53.000Z,0
29,Plz mujha sapurt kary plz subscribe kary thanks,2020-03-28T10:09:58.000Z,0
30,g,2020-03-28T07:51:55.000Z,0
31,This men is fabulous...,2020-03-25T09:37:21.000Z,0
32,kaamyaab movie Dekhne ke liye mere channel pr aye,2020-03-24T16:52:07.000Z,0
33,O God what acting,2020-03-23T11:43:33.000Z,0
34,Inspired from Joker,2020-03-21T17:36:59.000Z,0
35,👌👌👌👌👌,2020-03-21T16:07:47.000Z,0
36,"Sanjay, why are you making such sad movies?",2020-03-20T02:50:30.000Z,0
37,Dil Ko Chu gaya,2020-03-18T11:20:32.000Z,1
38,SRK just produced a film. But picture abhi baaki hai mere dost !!!!!!!😘👑😘👑😘👑,2020-03-18T06:26:22.000Z,0
39,✨ super hit🎉👍👍,2020-03-18T03:57:33.000Z,0
40,Awesome 👍👍👍,2020-03-17T07:56:03.000Z,0
41,Super,2020-03-17T07:33:25.000Z,0
42,Great movie,2020-03-15T21:30:54.000Z,0
43,Abhi 500,2020-03-15T18:34:47.000Z,0
44,Bollywood please don't make suck kind of good movies with realistic and skilled actors we deserve only Salman khan's dabang3 and tiger jinda he,2020-03-14T21:39:17.000Z,2
45,1 no movie hai 👆💪🙏❤,2020-03-14T15:13:00.000Z,1
46,What a brilliant ...emotional roller coaster ride .....Beautiful movie...That's called a hard hitting acting.,2020-03-14T12:30:38.000Z,0
47,Nice movie,2020-03-13T19:27:17.000Z,0
