,comments,pub_dates,like_Counts
0,Link this movie,2020-04-17T05:19:15.000Z,0
1,Koi is movie ko upload kr do Plzzzzz,2020-04-16T12:01:39.000Z,0
2,Ye full movie Kaha milegi,2020-04-10T07:05:10.000Z,0
3,"Bhenchoddhhh pyar, pyar ki ma chod dengi",2020-04-05T19:40:36.000Z,0
4,Please full movie do,2020-03-22T12:05:26.000Z,0
5,"🔥 
 MUST-MUST-MUST-MUST see 
 0:55 💗💕🔥 
  👇 👇 👇🔥",2020-03-20T15:04:25.000Z,0
6,اروع فلم شاهدتو حتى الان,2020-03-06T01:28:13.000Z,0
7,"🔥🔥 
 I like T-series do u??? 
 1:22 💚 
  👇 👇🔥💃",2020-03-01T14:41:14.000Z,0
8,"🔥 
 Like if u love T-Series 
 1:26 💛🥊 
  👇👇👇👇🥊",2020-02-29T02:41:32.000Z,0
9,Veer zara,2020-02-19T14:58:37.000Z,0
10,Love is pain😡😡😡😡😡😡😭😭😭😭😭😭😭😔😔😔😔😔,2020-02-14T12:47:37.000Z,0
11,Junnonyat movie were very want.,2020-02-01T23:59:59.000Z,1
12,Are yrrr full movie upload Karo please,2020-02-01T09:41:38.000Z,0
13,Excessive Over Acting by Yami Gautam.,2020-01-22T23:01:19.000Z,0
14,Kisi ne movie dekhi h toh batao kesi h,2020-01-17T17:59:20.000Z,0
15,LoL,2020-01-04T01:47:40.000Z,0
16,Nice,2020-01-03T13:23:16.000Z,0
17,Same looks from sanam re and same actors beside urvashi and that old man,2019-12-27T10:01:34.000Z,1
18,I didn't know this movie existed. Oh my God. I thought that song was from sanam re.,2019-12-26T03:31:34.000Z,12
19,Veer zara 2,2019-12-11T19:05:07.000Z,0
20,I want to watch this movie please upload??,2019-12-07T18:07:50.000Z,0
21,Junooniyat Hindi movie bhejen YouTube per,2019-11-26T07:12:55.000Z,0
22,I totally love this movie...  Especially JEHAAN ❤,2019-11-26T00:28:47.000Z,1
23,"I love u 
Pulkit samrat",2019-11-10T14:24:19.000Z,0
24,wao,2019-11-05T15:47:30.000Z,0
25,Nice trailer,2019-09-14T11:57:41.000Z,0
26,Jononiyat film show nhi horahi,2019-08-07T15:55:02.000Z,1
27,1:25...really dil hi de rhi ho😂,2019-07-22T09:49:50.000Z,0
28,"Please uplode full movie
Jununiya 
Dil bole haddippa
Mere yaar ki shadi 
Sanam re",2019-07-19T13:14:16.000Z,1
29,Love you pulkit and yami,2019-07-19T11:03:44.000Z,0
30,ek hawa chooke gye abhi....,2019-07-12T09:04:48.000Z,0
31,Hi Suhani and captain main aap ki bahut badi fan Hoon Aise Hi bus picture,2019-06-26T10:24:15.000Z,0
32,hi Sonam captain main aap ko bahut pasand,2019-06-26T10:23:46.000Z,0
33,full video ka link plz,2019-06-03T22:10:45.000Z,0
34,01:51 this song is love❤😍,2019-05-30T05:39:34.000Z,4
35,"Meri zindagi k bht asoolon mein aik asool he b hai k nayi nayi movie mein dekhta nhin.....first of all to mujhey movies pasand nhin ati lekn jub a jayein to mein un ki CD mangwa leita hun .....jub dil chahta hai CD pass hoti hai .....net per aisi movie nhin milti to bheekh mangney sey behter hai Banda CD ley aye.....or Han meiney abi tak ye movie nhin deikhi Ab deikhonga jub sub deikh chukey Hein.....q K ye mera Style hai🔥.
Anyone in 2019",2019-05-29T15:46:00.000Z,1
36,Lund movie,2019-05-23T16:46:46.000Z,0
37,Nyc tralier,2019-05-17T13:45:06.000Z,0
38,Where did we find this  movie..I did not find it ..,2019-04-28T12:05:15.000Z,0
39,Please aplaud this movie🙏,2019-04-22T13:25:40.000Z,0
40,Can anyone tell where can I watch full movie,2019-04-14T14:11:47.000Z,0
41,Please download full junoniyat movie,2019-04-13T00:32:09.000Z,0
42,Jununiyet movi love story supr,2019-04-09T01:07:39.000Z,0
43,😈😈😈,2019-03-29T15:31:41.000Z,1
44,Is movie ma jo girl hai us ka name kya hai please tell me,2019-03-24T09:50:34.000Z,0
45,Someone tell me that what is her name,2019-03-24T09:49:04.000Z,0
46,هاذه الفلم اثر بيه هواي اتمنه اعيش قصة حب مثله,2019-03-23T18:14:10.000Z,0
47,Don’t understand the hate with the film. I loved it,2019-03-23T17:58:35.000Z,0
48,يخبل هذا الفلم 😍😍,2019-03-18T11:04:50.000Z,0
49,😍😍😍😍😍,2019-03-15T08:31:30.000Z,0
50,https://youtu.be/CmCTrmKVtl0,2019-03-10T01:49:57.000Z,0
51,Sale bollywood saaman tho khrab kr hei diya hai Abb indian army ki bhi bajjati krne pe tula hua hai,2019-03-02T18:32:20.000Z,0
52,Heart throbbed 💗😘,2019-03-01T15:40:15.000Z,0
53,best lines pyar ek parchhayi hai jab tak iski aadat hoti hai saam ho jaati hai,2019-03-01T14:20:07.000Z,0
54,Iska movie kaha hai,2019-02-13T20:24:01.000Z,0
55,https://youtu.be/AFVmBS2Inng,2019-01-31T09:11:12.000Z,0
56,Lovely movie and song mera fav h,2019-01-22T20:47:23.000Z,0
57,Yaar ye movie to daalllll,2018-12-31T05:24:31.000Z,1
58,Sanamr,2018-12-25T12:44:30.000Z,0
59,Please upload junooniyat full movie,2018-12-25T11:03:24.000Z,0
60,Har pyaar junnoniyat nahi,2018-12-22T18:33:39.000Z,1
61,Replika of film Veer zaara and Jab tak hai jan,2018-12-12T14:49:51.000Z,0
62,Junooniyat hai yhi my fab song ❤❤❤❤❤❤❤❤💙💙💙💙💙💙💙💙💛💛💛💛💛💛💛💛,2018-12-01T01:32:33.000Z,1
63,Jhan pyar hota hai whan khalish nhi hoti aur agar khalish ho to samjho pyar tha hi nhi 💑💑💑💑💑💑💑,2018-12-01T01:31:03.000Z,0
64,Good nice,2018-11-30T02:29:24.000Z,0
65,Yar full movie upload karo,2018-11-29T21:45:49.000Z,0
66,ye movie kab ayegi,2018-10-25T12:35:13.000Z,0
67,yia  flim ful koiu nahi hai,2018-10-19T12:07:43.000Z,0
68,1of my favourite movie...,2018-10-18T14:21:51.000Z,0
69,Please sir,2018-10-18T02:26:33.000Z,0
70,Sir ak bar junooniyt full movie uploade krna,2018-10-18T02:26:12.000Z,0
71,Full muvie's link pls....,2018-09-23T08:47:46.000Z,1
72,ai movie ta ki nai??youtube o to kuje ei pai na..,2018-09-13T11:15:02.000Z,0
73,This movie was soooooooo good,2018-08-27T12:45:02.000Z,1
74,Awesome 😊😊,2018-08-15T11:00:42.000Z,0
75,super,2018-07-24T11:02:48.000Z,1
76,Hii is movie mujya assi lagi hi lakin      is movie KO junooniyat 2 rules hona joruri,2018-07-22T17:03:20.000Z,0
77,Junoooniyat full movie apload krye.....,2018-06-30T01:36:18.000Z,0
78,Nice jodi,2018-06-25T15:59:49.000Z,0
79,в чём драматизм? он не вернулся с фронта?,2018-06-16T19:46:39.000Z,0
80,movie ka naam pyaar hi rakh lete!,2018-06-15T17:18:47.000Z,0
81,Plz junooniyat movi,2018-06-11T06:07:37.000Z,0
82,I have seen this movie it is one of my most favourite movie,2018-05-18T15:11:46.000Z,2
83,Bakws movie,2018-05-12T07:56:05.000Z,1
84,voice full jb tk hy jaan   and first sence veer zara,2018-05-09T21:03:26.000Z,0
85,please full movie karo downloaded,2018-05-06T11:24:18.000Z,0
86,mujhko ko barsat banalo best song👌👌👌👌👌👌,2018-05-02T07:04:33.000Z,0
87,I love  pulkit  samrat  and yami  gautam,2018-04-28T17:59:43.000Z,0
88,Plz upload joonuniyat move,2018-04-28T09:07:48.000Z,0
89,"In this 2:49 video they have used the word ""Pyaar"" 12 times.LOL😜 
I❤all the songs👍👍👍
I'm glad that this cute jodi is again pairing on-screen after Sanam re...#PulkitYami💘",2018-04-03T17:14:17.000Z,2
90,Ye movi YouTube par kab aayegi,2018-03-28T03:11:46.000Z,0
91,I like jununitat movie story,2018-03-26T13:40:29.000Z,0
92,like,2018-03-25T12:02:46.000Z,0
93,Geronimo Stilton went to the kingdom of fantasy for an epic adventure because Blossom the queen of fairies needed help. But Blossom was behaving strangely. She told him to get the seven quests of the kingdom of fantasy. Want to know what was the story was? Order the book : Geronimo Stilton The Phoenix of destiny on Amazon or Flipkart. Enjoy reading!,2018-03-25T07:38:16.000Z,0
94,wow super junoiyat my favrite move,2018-03-15T04:24:00.000Z,0
95,Nice,2018-02-26T08:11:45.000Z,0
96,My favorite movie,2018-02-22T19:52:46.000Z,0
97,Please junooniyat full movie upload krdo,2018-02-22T04:49:23.000Z,0
98,Nice nice nice❤❤❤❤❤❤,2018-02-07T13:04:34.000Z,0
99,https://www.newsong24.com/2018/01/24/junooniyat-2016-hindi-720p-dvdrip-1gb-mkv-download-file/,2018-01-24T15:25:04.000Z,0
100,plz ya movie upload kardo na,2018-01-05T19:34:14.000Z,1
101,Best movie ever haters go away,2017-12-29T20:53:47.000Z,1
102,I saw lot of comments somebody gave positive and negative comments but I like this movie nd junooniyat title song fantastic,2017-12-20T23:13:05.000Z,0
103,This movie is most heart touching..😢😢😭😭😭❤,2017-12-18T07:11:39.000Z,0
104,Full movie,2017-11-22T15:20:09.000Z,0
105,Superb movie for ever,2017-11-02T14:56:43.000Z,0
106,Shekhar. Singh bamhour,2017-10-30T13:46:37.000Z,0
107,Wow super songs,2017-10-26T15:02:00.000Z,0
108,My faovrite movie..💔💔,2017-10-25T18:40:36.000Z,0
109,fantastic,2017-10-04T19:27:57.000Z,0
110,love  is great  in this  world,2017-10-04T19:25:33.000Z,0
111,bhaiji,2017-09-23T10:55:36.000Z,0
112,NC,2017-09-17T16:00:19.000Z,0
113,nice,2017-09-07T08:05:31.000Z,0
114,nice,2017-09-07T08:05:21.000Z,0
115,But their chemistry is baap ma,2017-09-04T14:57:33.000Z,0
116,Ye trailer bahut accha hai Jo log iski alochna kar  rahe  hai un  logo ko judge karana nahi aata,2017-08-26T01:39:25.000Z,0
117,sanamre film,2017-08-23T09:33:20.000Z,0
118,i love you,2017-07-30T10:52:08.000Z,1
119,Mqja,2017-07-15T12:50:26.000Z,0
120,Pulkit <3,2017-06-30T13:16:59.000Z,0
121,тупое кино###????,2017-06-09T19:49:37.000Z,0
122,"junooniyat trailer, junooniyat official trailer, sanam re movie songs, pulkit samrat, yami gautam, Yami Gautam songs, Pulkit Samrat movies, tseries, yaariyan movie, junnoniyat movie songs, vivek agnihotri movies, latest hindi trailers, love songs, new movies 2016, brand new songs, tseries movies, pulkit samrat songs, yami gautam latest movie, sanam re songs, azhar movie songs, junooniyat songs, junooniyat 2016, vivek agnihotri, sanam re

these tags are used by this channel",2017-06-08T17:37:47.000Z,0
123,ab to upload kar do movie jounooniyat ko plz,2017-05-14T11:41:53.000Z,0
124,I like the trailer and pulkit and yami also amazing,2017-05-09T17:50:47.000Z,1
125,amazing trailer,2017-04-30T16:47:34.000Z,0
126,I love this chemistry film,2017-04-30T12:52:05.000Z,0
127,i love this movie,2017-04-24T07:29:53.000Z,0
128,nice movie,2017-04-24T02:20:45.000Z,0
129,nice wooooooow,2017-04-21T07:21:09.000Z,0
130,how would this be sanam re 2 if akash died in the first movie,2017-04-07T20:42:03.000Z,0
131,md Ayyub khan,2017-04-07T04:45:46.000Z,0
132,👌,2017-03-08T14:20:00.000Z,0
133,love you pulkit samrat 💓💓,2017-02-11T14:33:26.000Z,0
134,l love movie songs and movie,2017-01-24T18:43:44.000Z,0
135,wow,2017-01-14T13:41:51.000Z,0
136,shilps,2017-01-03T03:38:36.000Z,0
137,Sanam re 2 junooniyat,2016-12-10T19:57:31.000Z,0
138,ha...junoon hai...,2016-12-08T13:14:40.000Z,0
139,shivam,2016-12-06T13:00:45.000Z,0
140,juuoouiyat is best movie,2016-12-03T10:28:33.000Z,0
141,bes movie mai falak ka song hi acha h title song,2016-12-01T07:25:13.000Z,0
142,I LOVE YOU,2016-11-16T13:58:45.000Z,0
143,awesome movie I love this one movie 😘😍☺,2016-11-15T06:19:06.000Z,0
144,Jo Jo pulkit samrat ganda bol Rahe hain wo bahut gande hain main astha pulkit samrat ki bigger fan in the world my wish pulkit samrat kabhi mil jata oh my god,2016-11-11T13:18:50.000Z,0
