,comments,pub_dates,like_Counts
0,Why are every Bollywood movie a cheesy dancey romance?,2016-09-04T19:22:51.000Z,2
1,worst movie of bollywood history..bad bad movie..,2016-06-05T16:57:08.000Z,1
2,Fuck it,2016-06-05T09:38:23.000Z,0
3,Yeh movie hai k LUND ...lolzzzzzzzzzzz,2016-02-18T17:07:12.000Z,0
4,ryt,2016-01-28T20:52:44.000Z,0
5,superb,2016-01-25T16:32:46.000Z,0
6,"ramdev


    Marwadi",2016-01-22T09:58:29.000Z,0
7,z Ramdev bhajan Marwadi,2016-01-22T09:56:57.000Z,0
8,"I jst luv 2 see Sugandha on screen...
since her ""Haath se haath mila"" days...",2016-01-22T07:46:23.000Z,3
9,I can't wait to see this! Praying it comes to Dehradun.,2016-01-07T16:30:36.000Z,2
10,zabardast,2016-01-07T01:24:38.000Z,0
11,Loved it!,2016-01-06T16:33:25.000Z,1
12,it  appears to be a great film.heading for big success as one can see from triler,2016-01-06T16:32:09.000Z,1
13,😍,2016-01-06T13:55:15.000Z,0
14,nice trelair,2016-01-06T13:17:18.000Z,0
15,nice,2016-01-06T11:12:15.000Z,0
