,comments,pub_dates,like_Counts
0,T-sires Ham ko ganna nikalana hai,2019-10-30T09:22:58.000Z,0
1,jai chhathi maa movie kab youtube par aa raha hai...,2019-06-24T00:51:26.000Z,0
2,Kab ayagi,2019-04-20T19:14:06.000Z,0
3,Bhaut mast ravi kishan bhaiya ravi kishan ke liye kaun kaun shear karega,2019-04-17T10:15:14.000Z,0
4,Good movie,2019-04-13T17:01:52.000Z,0
5,Super,2019-04-13T12:20:59.000Z,0
6,Gajab Jay chhathi maa,2019-04-10T04:02:10.000Z,0
7,Very nice so good,2019-04-10T03:19:59.000Z,0
8,Awesome,2019-04-09T10:35:19.000Z,0
9,Jay chhate maya,2019-04-09T08:49:14.000Z,0
10,Good job,2019-03-31T12:41:07.000Z,1
11,भाई भोजपुरी फिल्म आतंकवादी चेंज हो गया अब तो साउथ क्या हिंदी समस्त फिल्में नहीं भोजपुरी में,2019-03-21T11:16:59.000Z,0
12,Bhoot mast gzb muje ye dekh kar bhoot acha laga ki bihar mai progress ho rha hai or sath hi sath movie mai bhi  apni pehan or sanskriti ache se logo tak pochna ja  rha hai iss logo ko pta chalega ki chhath or chhathi maa mai kitni skti hai,2019-03-07T11:14:10.000Z,0
13,Thik ba,2019-02-11T08:21:16.000Z,0
14,bhai koi video editing sikha sakte hai,2019-01-22T14:46:40.000Z,0
15,Jay chhati maa,2019-01-18T15:24:04.000Z,0
16,Super hit,2018-12-25T02:21:10.000Z,0
17,Jai chhati maiya,2018-12-22T04:46:30.000Z,0
18,Bhojpuri movie mine bhahut gandi sen hote haqi,2018-12-20T06:37:57.000Z,0
19,Chatti maa Ko itna sexy kun banaya salo,2018-12-17T14:36:34.000Z,0
20,Kya mast laga hai trailar me Mera lauda,2018-12-14T22:27:00.000Z,0
21,Suwar madarchod bhojpuri trailer hai bahan chod,2018-12-14T22:25:46.000Z,0
22,When it is release?,2018-12-13T09:57:43.000Z,1
23,Aayenge jarur,2018-12-12T16:21:11.000Z,0
24,Nice movie,2018-12-11T02:35:26.000Z,1
25,Jald hi savi senama ghar m send karo,2018-12-08T17:40:01.000Z,0
26,Bakwas,2018-12-08T16:09:22.000Z,0
27,Respect this movie jai ho chhathi maiya I am from bihar,2018-12-07T05:12:35.000Z,0
28,Jai chathi maiya,2018-12-05T16:44:11.000Z,0
29,Jay Chhathi Maria🙏🏻🙏🏻🙏🏻🌅🙏🏻🙏🏻🙏🏻,2018-12-05T03:41:57.000Z,0
30,Super hit traler,2018-12-04T18:53:08.000Z,0
31,Jay chhathi maa ♥🙏🙏🙏,2018-12-04T16:14:44.000Z,0
32,Superb,2018-12-04T04:09:45.000Z,0
33,Super movie trailer,2018-12-03T09:48:39.000Z,0
34,Jai chhati maiya,2018-12-03T07:39:55.000Z,0
35,jio,2018-12-02T17:18:45.000Z,0
36,Jay chhathi maa,2018-12-02T16:27:31.000Z,0
37,gajab,2018-12-02T10:57:09.000Z,0
38,भाई जी बहुत सालो बाद कोई भोजपुरी फ़िल्म धमाल मचे गी जय छठ माया,2018-12-02T09:50:40.000Z,2
39,Jai chhathi Maa,2018-12-02T09:41:30.000Z,0
40,very nice tialer,2018-12-02T08:21:18.000Z,0
41,Bahut hi sundar  movi,2018-12-02T03:32:34.000Z,0
42,Kab aaraha hai yar,2018-12-01T18:07:27.000Z,0
43,भोजपुरी मे फिल्म होई  त चली,2018-12-01T17:46:43.000Z,0
44,Super hit,2018-12-01T17:34:30.000Z,0
45,Jay chathi maiya,2018-12-01T16:26:10.000Z,0
46,Nice song,2018-12-01T15:15:45.000Z,4
47,good,2018-12-01T14:22:48.000Z,0
48,अदभुत,2018-12-01T13:33:25.000Z,0
49,ravikishan best actor of bhojpuri,2018-12-01T04:48:37.000Z,0
50,"I don't like this word ""mythology"".",2018-12-01T03:48:28.000Z,0
51,"Jai Ho chathi maiya 

  Awesome movie",2018-12-01T02:31:32.000Z,0
52,जय हो छठी मैया रवि किशन के फिल्म धमाकेदार होने वाली है मुझे बहुत पसंद है,2018-12-01T01:53:49.000Z,3
53,"सराहनीय प्रयास हुआ है।माँ सब पर कृपा करें।
आशा करता हु ये movie रेलीसेहोने के बाद पुरानी ""जय संतोषी माता"" का रिकॉर्ड अवश्य तोड़ेगी।जय माँ।",2018-11-30T17:51:44.000Z,3
54,NAIC ji maa,2018-11-30T17:24:13.000Z,0
55,जय छठी माई,2018-11-30T17:14:03.000Z,0
56,Jai mata di...,2018-11-30T16:53:19.000Z,0
57,bihari sher,2018-11-30T16:49:42.000Z,0
58,Very very nice Ravi jee jai chhathi maa,2018-11-30T16:37:39.000Z,0
59,Jai chhathi maae Ravi bhaiya ke ahise film dilai,2018-11-30T12:07:31.000Z,0
60,Abe shao tumlog bhagwan ka majak banake rakh diyho,2018-11-30T11:57:05.000Z,0
61,Mast Bhaiya ji movie is best,2018-11-30T09:22:44.000Z,0
62,Super,2018-11-30T08:47:40.000Z,0
63,Jai chhati maa,2018-11-30T06:02:51.000Z,0
64,Fantastic,2018-11-30T05:42:57.000Z,0
65,Osm 👌,2018-11-30T05:42:42.000Z,0
66,"Wow!!
Bhojpuri movies me itihaas rachega✊🙏🙏",2018-11-30T02:55:15.000Z,5
67,Jai chathi mayia,2018-11-30T02:34:01.000Z,2
68,Rock,2018-11-30T02:29:19.000Z,0
69,Love you ravi kisan bhaiya super movis,2018-11-30T01:10:56.000Z,0
70,Dil chuliya bhaiya ji,2018-11-29T20:08:13.000Z,0
71,Jai...chhathi..maiya,2018-11-29T19:23:00.000Z,0
72,Nice trailer,2018-11-29T18:24:08.000Z,0
73,Super Ravi kisan,2018-11-29T18:15:11.000Z,0
74,ye movie super duper jane wali hi,2018-11-29T18:11:26.000Z,0
75,Waiting for movie,2018-11-29T16:22:54.000Z,0
76,Super trailer,2018-11-29T16:22:42.000Z,0
77,Mohabbatein ki heroine,2018-11-29T14:45:10.000Z,0
78,"देखने में तो लगता है मूवी बहुत भव्य होगी
 जय छठी मैया",2018-11-29T14:36:20.000Z,0
79,"ऐसा फिल्म जिसको हम निराकार मानते हैं उसे आकार में परिवर्तित कर देते है  
निराकार को निराकार ही रहने देना चाहिए
जब हम निराकार को आकार में बदल देते हैं और उसे मन्दिर में स्थापित कर देते है तो संसार में बुराई बढती है",2018-11-29T13:44:28.000Z,1
80,jaru.. mein aaungaa,2018-11-29T13:32:10.000Z,0
81,jai chaahti miya::👍👍,2018-11-29T13:31:49.000Z,0
82,jai chhati mai,2018-11-29T13:25:35.000Z,0
83,Nice,2018-11-29T13:19:51.000Z,0
84,Jarur Auga....Maaaa,2018-11-29T13:02:29.000Z,0
85,"u all r chutiya,,,this is hindi featured film......",2018-11-29T12:19:04.000Z,0
86,🙏🙏JAI CHHATI MATA MERI MAA🙏🙏,2018-11-29T11:35:07.000Z,5
87,Jay Chhati Maa,2018-11-29T11:29:35.000Z,0
88,nice,2018-11-29T11:26:08.000Z,0
89,Sharda sinha ji ka song h kya is film me,2018-11-29T10:56:50.000Z,0
90,Nice teller bhai Ravi jii,2018-11-29T09:14:43.000Z,0
91,Jay Mata di,2018-11-29T09:14:13.000Z,0
92,जय छठी मैया,2018-11-29T08:37:21.000Z,0
93,NYC,2018-11-29T06:12:52.000Z,0
94,Mast h,2018-11-29T06:12:40.000Z,2
95,Jai chhathi maiya,2018-11-29T05:47:25.000Z,0
96,Bohot Acha Trailer hai,2018-11-29T05:10:15.000Z,0
97,Megha Star Ravi kishan hai bhaiya,2018-11-29T04:39:16.000Z,0
98,Super,2018-11-29T04:25:23.000Z,0
99,Jai ma,2018-11-29T04:05:42.000Z,0
100,Adbhut जय छठी मैया,2018-11-29T03:25:31.000Z,0
101,Wow aysm ravi g,2018-11-29T02:55:52.000Z,0
102,I love you bhaiya,2018-11-29T02:05:49.000Z,0
103,Jay jay chathi maa...,2018-11-29T01:51:36.000Z,0
104,Jai chhat maa,2018-11-29T00:52:54.000Z,0
105,Jai mata di,2018-11-29T00:16:44.000Z,0
106,Superb movie trailer,2018-11-28T19:01:20.000Z,0
107,superb,2018-11-28T17:58:02.000Z,0
108,jay mata rani jai ho chhathi maiya,2018-11-28T16:19:30.000Z,0
109,"न जाने कितने सालो के बाद बिना चुम्मा चाटी के,बिना नंगापन के, बिना किसी अश्लिलता के ये भोजपुरी फ़िल्म बनी है",2018-11-28T16:12:48.000Z,28
110,Bhojpuri ek alage level lejane wali movie he ye so I m exited this movie I love you Ravi kishan,2018-11-28T15:40:54.000Z,3
111,super tlr,2018-11-28T15:17:46.000Z,0
112,Bhojpuriya Raja Ravi Kishan bhaiya superhit,2018-11-28T15:14:28.000Z,0
113,Superhit,2018-11-28T14:48:13.000Z,0
114,wah mast Ravi sair,2018-11-28T14:26:59.000Z,0
115,Super bhakti movie 🙏🙏🙏🙏🙏🙏,2018-11-28T14:01:34.000Z,0
116,Jay Chatti maa,2018-11-28T13:36:24.000Z,0
117,Ye movie realise ho gyi kya----,2018-11-28T13:16:41.000Z,0
118,saala bhojpuri aur punjabi movie waly third class direction screenplay kuch nii aata inko  .chaly hai movie bnany kuch sharm karo,2018-11-28T12:35:04.000Z,0
119,Mukesh modi,2018-11-28T12:24:28.000Z,1
120,Waah,2018-11-28T12:08:15.000Z,0
121,Movie hit hai,2018-11-28T10:56:26.000Z,0
122,Jay chhthi maa,2018-11-28T10:14:42.000Z,0
123,nyc,2018-11-28T09:41:01.000Z,0
124,Jai chatt maiya 💪💪💪,2018-11-28T09:33:26.000Z,0
125,Ooh my God tears in my eyes after watch this,2018-11-28T07:27:58.000Z,1
126,nice,2018-11-28T06:50:35.000Z,0
127,Awesome Traeilar,2018-11-28T06:20:39.000Z,0
128,जरूर आएंगे भैया जय छठी मैया,2018-11-28T06:13:00.000Z,2
129,NIC trailer ravi kishan bhai Love you,2018-11-28T05:26:16.000Z,0
130,jay jay shree ram,2018-11-28T05:20:34.000Z,0
131,nice,2018-11-28T04:23:47.000Z,0
132,jai chhathi mai,2018-11-28T03:00:17.000Z,0
133,Jai chhathi mama,2018-11-28T00:23:02.000Z,2
134,Super,2018-11-28T00:10:33.000Z,0
135,Bahut badhiya hamare Bihar ke festival or culture ko increase Karne ke liye,2018-11-27T23:50:44.000Z,0
136,Jai ho,2018-11-27T18:09:33.000Z,0
137,Nice  movie  Ravi sir,2018-11-27T16:46:27.000Z,0
138,jai chhathi maiya,2018-11-27T15:51:26.000Z,0
139,Jai ho chhathi maiya,2018-11-27T15:28:37.000Z,0
140,Super,2018-11-27T15:13:23.000Z,0
141,Nice,2018-11-27T14:45:23.000Z,0
142,Super,2018-11-27T14:40:07.000Z,0
143,wah bhaiya,2018-11-27T12:57:32.000Z,0
144,Bhosdi ke,2018-11-27T11:59:50.000Z,0
145,Ek no,2018-11-27T11:57:27.000Z,0
146,Ha jarurr aaynge maa se milane,2018-11-27T11:53:13.000Z,0
147,Best vfx in bhojpuri,2018-11-27T11:38:26.000Z,0
148,Nice movie,2018-11-27T10:13:46.000Z,0
149,amazing 😳😳,2018-11-27T10:09:53.000Z,0
150,jai chhathi maiya🙏🙏,2018-11-27T10:09:33.000Z,0
151,Blockbuster movie Ravi bhaiya . jay chathi mai,2018-11-27T06:17:08.000Z,0
152,Waah,2018-11-27T05:10:21.000Z,0
153,Jayy ho chathii maii..,2018-11-27T04:46:42.000Z,0
154,Jai ho chhathi maiya,2018-11-27T03:13:57.000Z,0
155,Good,2018-11-26T13:18:15.000Z,0
