,comments,pub_dates,like_Counts
0,Ye movie kb aayega....me kitne din se wait kiye hai lekin ye movie aa he nhi rha hai....hmko bhut gussa aa rha hai 😡😡😡😡😡😡😡,2020-03-23T09:24:44.000Z,0
1,Full movie,2020-03-23T06:06:49.000Z,0
2,Yawn,2020-03-21T06:25:22.000Z,0
3,"1:26 señor Taika Waititi que??  esta haciendo? deje de actuar y dirija Thor Love and Thunder. 
Ha cierto el c0v1d",2020-03-19T05:24:00.000Z,0
4,so they arrested him for murdering Rachel nonsense scene stupid movie - discovering body of a dead women in UK first arrival in the scene is forensics so they can tell the detectives what time this women killed approx at least when they know it is about 2 to 3 months and the video with the lead actor after 3 months he will not be a suspect police detectives work but no not in Bollywood they want something for the audience,2020-03-16T19:15:26.000Z,0
5,"Marna he ha to directly mar sakta hai ... Itna darana ki keya bat hai ?? 
Tiktok karna Wala ghost... Ha sayad",2020-03-15T16:33:28.000Z,0
6,Please yaar ye move YouTube pe nehi arehi,2020-03-13T06:07:47.000Z,0
7,Pilz   upload   eye   movie  pilz   pilz   upload   to   eye   movie,2020-03-11T09:24:06.000Z,0
8,01:23,2020-03-10T22:08:32.000Z,0
9,Where is full movie,2020-03-10T14:27:03.000Z,0
10,MAKE HORROR MOVIE ONLY EXCLUDE THIS SHITTY KISSING SCENES FROM MOVIES .,2020-03-08T13:23:56.000Z,0
11,Realise kb hoga,2020-03-08T09:49:40.000Z,0
12,was the movie or just the trailer coming out?,2020-03-07T22:54:00.000Z,0
13,2:07 watch in 0.25x ...this is an octopus 🐙,2020-03-07T06:20:45.000Z,0
14,Ye full movie kahan mile g,2020-03-06T17:57:10.000Z,0
15,Would watch if it wasn’t full of but but ding dings,2020-03-06T00:47:06.000Z,0
16,"No offense, but, Bhoot : The Haunted Ship has set really high standards for Bollywood horrors.. I think it's time for films to come out of the stock basic plots.. As this genre is perhaps the toughest to please..",2020-03-01T18:27:04.000Z,0
17,Total movie dalfo yaar,2020-02-29T10:33:50.000Z,0
18,Plz send link of this movie,2020-02-29T08:27:52.000Z,0
19,Literally wtf was that,2020-02-27T19:04:27.000Z,0
20,It is enough horror for children s,2020-02-26T10:12:26.000Z,0
21,"Plz any 1
Koi iska link bhejdo
Kahi nh arhi ye movie",2020-02-25T08:10:41.000Z,0
22,Pta ni ye ladkiya bed 🛏 ke niche kyu chup jati h .... Mujhe to bed ke niche jada dar lgta hai 😂😂😂😂,2020-02-24T06:10:01.000Z,1
23,Sell the bed? Problem solved,2020-02-22T20:35:51.000Z,0
24,Best scene is 2:19,2020-02-22T13:03:29.000Z,0
25,This Ghost Was A Lesbian..... 🤣🤣🤣,2020-02-22T12:34:09.000Z,0
26,"Brings back old Bollywood ,not pornwood now😂",2020-02-21T06:47:57.000Z,0
27,Bakchodi 😂😂 isme bhi bakchodi,2020-02-20T16:39:37.000Z,0
28,chudamma!,2020-02-19T22:27:10.000Z,0
29,"Worthless Movie !
By the way,
How much money you spend for this movie, Actress ?
For my opinion,
you're the worst actress that I've ever seen,
Bullshit !",2020-02-18T21:21:29.000Z,0
30,Sacry movie again which part is this?,2020-02-17T17:44:06.000Z,1
31,Why can't Bollywood make horror movies like conjuring with great story and scares but without any kissing scenes romance and unnecessary songs,2020-02-17T11:37:42.000Z,1
32,bendchod last wale seen ne hila diya,2020-02-16T19:22:41.000Z,0
33,Ghost  love  hero movie,2020-02-16T09:58:35.000Z,0
34,1:16 cs 1.6,2020-02-14T20:21:56.000Z,0
35,Telegram pe aa gyi hai dekhlo,2020-02-14T12:24:06.000Z,0
36,Bht bkwas movie h ye bilkul mt dekhna,2020-02-14T06:30:22.000Z,0
37,Movi ko bhejo na yar,2020-02-13T20:56:11.000Z,0
38,"Koi aisi movie bta do jis se sach me darr lage yrrr plzzz 
??????
Hollywood/Bollywood koi b chalegi",2020-02-13T20:45:34.000Z,0
39,"Seems interesting trailer.
Going to watch this movie",2020-02-13T15:09:23.000Z,0
40,Indonesia LG aja..bisanya cuma ngagetin,2020-02-13T03:03:51.000Z,0
41,que miedo...,2020-02-12T01:56:22.000Z,0
42,So scarrrrrrryyyyyy........😊,2020-02-11T08:34:03.000Z,0
43,Y movie you kase download hogi .. mere se how nai rai kahi p aarahi nai h bas tralar h aata h,2020-02-10T20:12:17.000Z,0
44,A movie with only a budget to afford a hand n 10rs mask for ghost. Movie full of s*x n lust. Ending was like wtf n a ghost who can't even kill a girl after grabbing her. As a horror movie lover I suggest it's not scary but lusty 👎👎👎👎👎👎👎 disappointment from vikram bhatt :-(,2020-02-10T19:10:59.000Z,1
45,"Indian horror movie
Sound:99℅
Horror:1℅",2020-02-10T12:27:06.000Z,1
46,Is this Horror-Musical?,2020-02-10T11:42:54.000Z,0
47,serem ga?,2020-02-09T06:50:39.000Z,0
