,comments,pub_dates,like_Counts
0,"🔥🔥🔥 
 Opened many minds tonight 
 1:30 💞🔥 
  👇 👇 👇🔥💃",2020-03-20T14:07:12.000Z,0
1,"R u tired,because u r running in my mind😂",2020-03-16T08:26:45.000Z,0
2,Listen Arijit's song Meet from the same film which is soulful https://youtu.be/LlVxeiIoslk,2020-03-14T13:27:11.000Z,1
3,HOW AM I ONLY NOW HEARING ABOUT THIS MOVIE!! THIS LOOKS BRILLIANT!,2020-03-12T15:39:29.000Z,0
4,"🔥🔥🔥🔥 
 This is a wonderful movie 
 2:00 💞💛🎬 
  👇👇💕",2020-03-02T11:41:17.000Z,0
5,"🔥🔥 
 💖💖💖💖💖💖 T-Series 💖💖💖💖💖💖 
 1:59 🖤❤💯 
   👇 👇 👇 👇 👇💙",2020-03-01T23:11:22.000Z,0
6,Why she so adorable.....!!  Oh god!! I jst love her!!! The way she is!!!,2020-02-29T03:39:23.000Z,1
7,"🔥🔥🔥 
 💖💖💖💖💖💖 T-Series 💖💖💖💖💖💖 
 0:35 💕🔥 
   👇 👇 👇 👇💙",2020-02-28T19:14:46.000Z,0
8,Where can I watch this movie??,2020-02-10T18:28:39.000Z,0
9,How was the movie?,2020-02-07T16:36:33.000Z,0
10,Kangana is the best actress of all time .... love you kangana....kya acting krti H aap or aapka movies👌👌👌💞💞💞,2020-01-27T12:25:35.000Z,1
11,Pata nhi ye movie itni chali Kyu nhi...such a good concept n genuine acting,2020-01-17T20:42:27.000Z,0
12,She reminded me of Mr.Bean when she acted shocked staring at the price tag xD,2020-01-15T16:52:44.000Z,1
13,Good,2020-01-01T13:03:54.000Z,0
14,"The manger of the channle plzz replied me , i wanna the movie plzz loaded it and mention me plzzz plzzz , i serched but i don't find it.",2019-12-16T19:36:50.000Z,0
15,Link for this movie,2019-12-08T19:20:26.000Z,0
16,Kya sikha rhy ho apny dialogue sy k hra** bn jao koi burai nhi??,2019-11-29T04:51:42.000Z,0
17,She is mr bean,2019-11-15T21:26:34.000Z,0
18,She is my favorite ❤️❤️❤️❤️❤️❤️,2019-11-03T13:22:36.000Z,0
19,The only reasons why I want to watch this movie is the name of my gf is simran.....Luv u baby😍😍,2019-10-30T16:59:09.000Z,2
20,Real Queen love u Kangana,2019-09-14T12:43:43.000Z,1
21,What’s the last music piece 🎼 seems some shahrukh’s song 🤔🤔,2019-09-07T22:04:12.000Z,0
22,"Loved her movie ""queen ""...now this. ...
Best  actress in bollywood..😍😍😍😍😍😍😍",2019-09-06T09:06:01.000Z,1
23,Karan zohar+salman+shahrukh+hrithik+john...dipika+alia+priyanka+katrina...ye sab kude k purane dibbe ho chuke h acting ka A nh ata bs nepotism ka stardum leke ghoom rhe h bewjh ka ....but (kangana superstar h jo khud ki mehnat pr h 👍👍👌👌💐💐☺️),2019-08-08T18:17:26.000Z,0
24,"I have seen this movie, omg, beautiful movie, though this film is not for all who only like fighter movie",2019-08-03T17:33:04.000Z,0
25,"Love you kangana❤❤❤❤❤❤and your guts, pure soul",2019-08-03T11:11:33.000Z,0
26,I still love this movie....and waiting for sequel... After watched this movie i felt i was that character or my friend was in this character...it feels so real... appreciate to kangana 💝💝😍,2019-08-02T06:10:34.000Z,0
27,My favorite movie ❤❤❤❤,2019-07-29T08:03:27.000Z,0
28,Simran full movie upload kro.....,2019-07-24T03:44:14.000Z,0
29,very talented and dashing actress in Bollywood... no one can beat kangna... she is outstanding and brave performer... love you kangu,2019-07-20T17:46:37.000Z,2
30,Acting showreel kaise benathe koi inse skhe.. SUPER!,2019-07-16T06:30:11.000Z,0
31,who is here after judgemental hai kya,2019-07-04T05:53:44.000Z,1
32,This is movie is amazing 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,2019-06-25T06:50:47.000Z,1
33,One of the best and unique movie of kangna,2019-06-23T22:47:15.000Z,2
34,Megaflop,2019-06-23T03:33:25.000Z,1
35,Disaster,2019-06-23T03:33:18.000Z,1
36,merA,2019-06-11T06:57:04.000Z,0
37,love u kangana . u r so versatile i don't think anyone can beat u.😊,2019-06-08T20:47:46.000Z,0
38,I love your movie really😍❤💙,2019-06-08T20:20:46.000Z,0
39,I love this movie🤩😍💙,2019-06-08T18:31:20.000Z,0
40,"Great acting
Amazing story 
Everything about this movie is so good and so pure ...then why didn't it make big ??
I wonder",2019-06-08T09:13:04.000Z,0
41,2:26 that's Janam Janam tune from dilwale,2019-06-06T14:27:13.000Z,0
42,Kash khan's k movie release hone par logo ki hall k bahar crowd jamti hai ...usse jyada crowd kangana ki movies k Lagne par ho...wo din lab ayega jab ek lady oriented movie kliye logo me pagalpan ho....I hate all Bollywood stars...I NVR watch any movies of them....pata nhi India k log lab samjhenge...Apne kamaye hue paise unlogo par kharch karate h Jo inhe jante v nhi or inhi k paiso se ek ek celebrity ameer ho jate hai yahi paise desh me ya khud ki life me lagate to Sochi Yaha koi na celebrity HOTA na aam insan..Achi movies dekhne or support Karne koi nhi jaata,2019-05-11T18:09:14.000Z,0
43,That bartender  guy is Pew D Pie,2019-05-09T08:10:26.000Z,0
44,Kangana Ranaut never fails to amaze me-India’s finest export!,2019-05-04T21:32:47.000Z,0
45,always been a fan of yours.  the way u argued with ur dad in the movie it was so genuine. love ur acting skills. no one like u. love u kangana😊😊😊😊,2019-04-30T05:39:41.000Z,2
46,Hit like if you came here after watching tumbbad,2019-04-26T18:17:53.000Z,4
47,Please upload full movie please,2019-04-26T15:18:56.000Z,0
48,NOW THAT IS CALLED A REAL MOVIE WITH REAL PEOPLE!,2019-04-08T11:51:52.000Z,2
49,Null,2019-04-02T20:29:36.000Z,0
50,1:53 loot Liya saalo ne ...this is cheating .........i  hope  no one else can do the way she did ....hatts off mam...lots of luv frm odisha,2019-03-29T09:23:14.000Z,0
51,"Kangana’s worst for sure ... her pahadi accent just refuse to go ... accent is first thing they pick when indians go abroad, like within first few years but this girl is there for more than 7-8 years and stll speak english in her Himachali accent ..
Looking desperate in many scenes to be funny or cool by mimicking hollywood actors ...",2019-03-29T02:53:52.000Z,0
52,I saw thw movie it was best idk y it didnt work,2019-03-26T18:01:58.000Z,0
53,"بليييز اريد الفيلم كامل بلييييز 
وكمان مترجم",2019-03-23T12:12:21.000Z,0
54,"Raj Kumar rao and kangna no one can beat him..
Best actors..",2019-03-20T15:19:14.000Z,1
55,Another Bollywood tatttiii,2019-03-17T02:04:13.000Z,0
56,""" Are you tired ?"" 

"" Becoz you're running in my mind...""
Best pickup line ever.",2019-03-14T10:41:02.000Z,1
57,Chetta moviee,2019-03-10T05:30:56.000Z,0
58,She is Meryl Streep of Bollywood,2019-03-08T03:03:06.000Z,0
59,Worst Film for Kangana Ranaut,2019-03-03T04:16:46.000Z,1
60,Amending vastu,2019-02-21T13:56:32.000Z,0
61,Kangana ke jaisi koe bi actress Bollywood industry me nhi ❤,2019-02-12T06:28:03.000Z,0
62,"After tanu weds manu returns.. which was so fast paced n full on engaging n hilarious diloges n fantastic music n dynamic act of kangana...
Watching simran was a snooze fest... if anand rai would direct it.. it would create magic... koj hansal couldnt engage n surprize viwers...
N climax was a letdown..
Story wasnt going anywhere... whatever it earned only koj of #Kangana .. the story telling was 👎 ... even thus trailer... such a refreshing vibe bt still at the end intense scenes had light n happy background music! Didnt fit!",2019-02-04T20:25:56.000Z,0
63,Who's here after watching Manikarnika,2019-02-03T18:48:46.000Z,2
64,Pls upload this movie some one I'm waiting this movie long time,2019-01-31T21:59:36.000Z,0
65,I hate my name,2019-01-30T03:30:45.000Z,0
66,i.m watching  Qeeen 2014 in 2019 love u love u kangana from pak,2019-01-23T18:36:20.000Z,1
67,شحال عجبني هاد الفلم,2019-01-20T15:17:51.000Z,1
68,lazania,2019-01-18T14:37:37.000Z,0
69,مليان هنود مليان,2019-01-17T19:22:34.000Z,0
70,I just love this film..anyone in 2019??,2019-01-15T16:49:09.000Z,3
71,Where is the movie?? this is just a 2 min video!! nonsense!!,2018-12-29T06:11:19.000Z,0
72,This was such a waste. Could have been another Queen. But the director totally wasted the opportunity.,2018-12-28T12:00:24.000Z,1
73,Where is the full movie,2018-12-22T10:39:07.000Z,0
74,Plz full movie upload karona,2018-12-20T08:12:25.000Z,0
75,Awesome Movie,2018-12-01T21:33:09.000Z,0
76,Diamond of Bollywood!!  Kangana Ranaut! 💎,2018-11-19T19:47:45.000Z,1
77,"the ""SAMEER"" is ""TUMBBAD"" movie hotest  hero every one notic",2018-11-09T07:20:52.000Z,1
78,This is a very underrated film 😭😭😭. I wish it was successful 😍,2018-10-15T00:34:15.000Z,6
