,comments,pub_dates,like_Counts
0,anyone know where i can find this movie please tell me so i can watch it,2019-10-27T00:15:17.000Z,0
1,"Isme kya boora acting hua hai kya ki isko national awared nhi mila manoj sir ko
Kya yar national awared me bhi dhandhali ho rha hai",2019-10-03T06:33:33.000Z,0
2,"can anyone tell me where can i watch it LEGALLY..netflix,amazon or anything else",2019-09-29T19:53:00.000Z,0
3,"Anybody have a link for this movie?
Cant find it anywhere...",2019-09-17T21:40:41.000Z,0
4,Where do I watch this movie in U.S? its no where to be found. I don't mind paying either.,2019-05-26T18:43:36.000Z,0
5,Lovely film. Turns so many of our cherished notions on their head.,2019-05-18T10:38:08.000Z,0
6,Muja ya flim kuch samajma nahi aaya Frist Mai Baad Mai pata chala k wo bacsha dipraction Mai tha our aaj tak sochta tha k wo bacsha Ko aajat karagha par wo wohi tha great movie😭😭😭😭🔝🔝🔝,2019-05-06T04:52:23.000Z,0
7,Ish trailer ke viewers dekh k samajh nahi ata ki Zero ka trailer ne kaise youtube crash kar diya😂😂,2019-04-12T05:23:35.000Z,0
8,very good film,2019-04-07T07:43:20.000Z,0
9,Manoj bajpayee one of most reputed actor.. Lots of love from nepal..,2019-03-26T18:35:36.000Z,1
10,Another best act by manoj bajpaye love u sir,2019-03-23T21:12:21.000Z,0
11,Manoj 🙏🙏🙏🙏🙏,2019-03-19T09:10:44.000Z,0
12,Awesome quite fabulous it’s great quite fabulous too good lvvvvllyyyy sweetheart,2019-03-19T07:57:59.000Z,1
13,"the film industry belongs to some families that owns the bollywood marketing stratgies so no can ever can fit in this images without there peremission .....
lmao",2019-03-18T20:35:03.000Z,1
14,Please upload this movie,2019-03-12T18:45:20.000Z,0
15,Upload movie plsss,2019-02-27T08:27:48.000Z,0
16,Is there anyone jo bata sakta ho ki online kaha dekh sakte h isse ya download kis site se kar sakte hai...sara internet chaan liya kahi nhi mil rahi h.please suggest me,2019-02-24T16:32:45.000Z,0
17,Can anyone please tell me where can i watch this film?,2019-02-14T19:21:01.000Z,0
