,comments,pub_dates,like_Counts
0,I saw this movie & trust me it just an amazing movie 😇,2020-04-20T11:00:52.000Z,0
1,It's amazing all time a mega Block buster super duper duper duper hit,2020-04-18T16:33:50.000Z,1
2,V bad,2020-04-17T22:49:48.000Z,0
3,"wow, I love this movie....what a movie yaar ..is its real story.  the awesome concept... I like it... most remember the dialogue in this ...tabu said I hate phone calls...  superb",2020-04-17T21:17:22.000Z,0
4,"It's great I managed to watch the movie before watching the trailer, otherwise would have known everything here and movie would have been useless.",2020-04-16T16:32:43.000Z,0
5,"Watched this movie today, that girl is so annoying, even kiku sharda is so annoying
Saif is great though",2020-04-16T13:02:12.000Z,0
6,this movie was supposed to be a hit. cause its not stupid like housefull 4.,2020-04-14T12:20:43.000Z,0
7,Dope movie! Drama and emotions! I just hated one this when Tia and her dad met in club and Saif wanted to do gappa gap with her! I kinda clinged that scene! All over the movie is beautiful,2020-04-13T23:48:06.000Z,0
8,Alaya F is going to do so well in the film industry. She's so promising and I just love her.,2020-04-13T01:15:00.000Z,1
9,Alaya F is the best thing that happened to nepotism. She's so refreshing,2020-04-13T01:13:41.000Z,2
10,"Great, more degenerate shit from Brothelwood",2020-04-12T23:17:54.000Z,0
11,"Nice movie 👍 funny and emotional, touching story line 👍👍",2020-04-12T16:25:43.000Z,0
12,"Its so wierd, Stated having fatherly feeling after watching this movie, and i am just 24",2020-04-12T03:18:22.000Z,0
13,I like Alaya. She is so natural and innocent. She is a much better option than Soha for this movie.,2020-04-12T00:05:39.000Z,0
14,Saif looks in new touch & looking awesome,2020-04-09T23:15:52.000Z,0
15,Mere paas bhot bdhiya next movie ka episode h kisi ko chahiye to btao ye movie bhot achi h isse bhi superb power mind m kuch aaya,2020-04-09T16:32:14.000Z,1
16,"it's copied!! full copied from ""scandal makers""",2020-04-08T10:32:48.000Z,0
17,This movie is a absolute gem❤️,2020-04-08T10:03:05.000Z,0
18,Saif is awesome.... ♥️,2020-04-07T16:03:07.000Z,1
19,Hii,2020-04-07T15:41:34.000Z,0
20,I'm 100% sure that had watched a similar one before and I can't remember the name of that movie,2020-04-06T16:10:03.000Z,0
21,"good movie.
 jazz a good father",2020-04-06T06:52:56.000Z,0
22,"Wonderful movie, must watch",2020-04-05T20:54:08.000Z,0
23,"Bollywood, you're becoming too Western. Stop, it doesn't suit you.",2020-04-05T18:49:40.000Z,0
24,"kaun kaun movie dekhne k baad yahan trailer dekhne aaya h
Like kre...",2020-04-05T00:23:57.000Z,0
