,comments,pub_dates,like_Counts
0,This movie lacked the script to do justification for the actors potential.,2020-03-28T15:39:51.000Z,0
1,M Gurgaon gaon mei hi rahta hun,2019-12-28T16:29:37.000Z,1
2,Trailor e ethna karab hai kuch bhi content nahi hai,2019-10-27T13:23:29.000Z,0
3,ki baaler choda... sirf Pankaj Tripathi ka acting ki liye hi ye movie chala hoga... nehi to purai baler choda...,2019-10-20T13:13:12.000Z,0
4,one of the best films of 2016,2019-09-13T17:30:23.000Z,0
5,I saw this movie it's great,2019-08-06T04:04:38.000Z,0
6,"https://youtu.be/CmGBHIqgRgk
Rap song on Gurgaon City",2019-07-10T09:52:37.000Z,0
7,only gonna watch this bcz of Pankaj Triathi,2019-07-08T01:49:31.000Z,0
8,"One of the best but underrated movie,  this movie is far better than those shitty movies who are crossing 100cr clubs with their illogical concept and cheap acting. 🙄",2019-06-05T23:00:06.000Z,3
9,A noir slow burn thriller that uncovers what lies beneath layers of patriarchal subjugation. Complete review here: https://lifeisacinemahall.com/gurgaon-review-what-lies-beneath/crime/,2019-03-31T17:25:13.000Z,0
10,Only pankaj tripathi👍👍,2019-03-12T07:45:14.000Z,1
11,Who is hear for Pankaj Tripathi..??,2019-03-08T12:56:18.000Z,4
12,Pankahmj bhai..pehle mirzapur season 2 puri kar lete,2019-02-02T02:13:37.000Z,1
13,aB KUCH BHI BANAYOGE KYA ? BAHENCHOD?Entire life i hesitate to came to north....bcoz Delhi  and gurgaon is terrific shahar! you cant live here! ghanta bahenchod!!!! Plz dont highlight personal incident to resist to come people in this city! My max friends are Hariyanvis! they are the fucking sweetest persons! waise sataoge to shaaitaan kidhar se paida honga na saab! 16 yrs after Mumbai! Plz stop hatred! and fix the fucxking police first! tumhari gaand fategi jab mumbai police ke samne aaoge bhai! beyond that all are unleashed and non trust able!,2019-01-11T18:32:16.000Z,0
14,Hamra zila gurgawon hi tha koi khber hy panagwa gawon ki ???,2018-12-30T14:06:49.000Z,0
15,Badi bakchod movie h...waqt ki barbaadi,2018-12-29T21:23:36.000Z,0
16,Mirzapur ke aage feeki hai ye,2018-12-25T15:59:13.000Z,0
17,"https://youtu.be/AvVy4R2Hd5A

Web Series

Guddu GANGSTER",2018-12-23T11:10:35.000Z,0
18,Ragini khanna pehle kis show me aati thi ? Dekha hai kahin,2018-12-21T06:09:16.000Z,0
19,NH10 type ki hai,2018-12-16T12:12:18.000Z,0
20,हरियाणा के सभी भाई subscribe करके सहयोग करें। धन्यवाद।,2018-12-16T11:32:36.000Z,0
21,Good,2018-12-15T14:42:40.000Z,0
22,"Bahanchod firse haryana valo ko villain bna diya, kutto kamino",2018-12-15T14:17:35.000Z,1
23,Ghntaaaaa asa kch b na h real m😡😡😡,2018-12-15T13:59:12.000Z,0
24,Hit hai baii....Yeh bandha acting ka king hai orginal...jio tripathi,2018-12-15T07:57:39.000Z,0
25,कालीन भैया यहां भी गदर मचायें हैं,2018-12-14T17:27:55.000Z,0
26,Pankaj Tripathi super hit hau,2018-12-12T15:16:38.000Z,0
27,Yeh kahan se dekhne ko milegi,2018-12-12T11:47:38.000Z,0
28,Nawazudin siddique irfan khan naseerudin shah ko ek cup me mila dia jae us k bad jo item.tayar hota hai use pankaj tripathi kehte hain 🤘,2018-12-12T09:51:04.000Z,194
29,Kalin bhaiya se No backchodi,2018-12-11T17:45:42.000Z,0
30,Link send kro pls is movie k,2018-12-11T17:19:47.000Z,0
31,Aur bc ye akshay oberoi ka talent ki kisi ko kadar hi nahi h...,2018-12-08T18:11:38.000Z,0
32,Pankaj tripathi bhai itni late kuu aye industry mei ??? Guru of acting !!! Jis film mei app ho toh aur kisi ki jarurat nhi film ko,2018-12-04T14:33:20.000Z,0
33,Is movie m rajkumAr actor hona tha,2018-12-03T14:41:51.000Z,8
34,Bhncho ye city he gandiii h,2018-12-01T12:49:55.000Z,0
35,Under rated movie 😢 loved it,2018-11-30T17:34:13.000Z,1
36,Kaleen bhaiya,2018-11-25T14:03:28.000Z,0
37,I'm big fan pankaj tirpathi good actor✌✌🙏🙏🙏💕💕💕,2018-11-24T19:04:54.000Z,61
38,wouldn't agree more this has been one of the most underrated movie....Do watch it! Amazing performances by all the actors!,2018-09-29T21:15:33.000Z,1
39,"Movie satya hai ,haryana k aur bulndshar k  yhi haal hai aur humeshaa rahegaa..",2018-09-15T21:12:36.000Z,0
40,FUCK indian movies................shit movie,2018-09-02T16:44:41.000Z,0
41,Worst place gurgaon.. and worst state haryana..  Noida is best ✌,2018-08-26T05:24:14.000Z,0
42,Watch till the end*,2018-08-06T18:59:38.000Z,0
43,"WOW! Watch full Gurgaon | Gurugram in just 3 minutes!
https://www.youtube.com/watch?v=bSWq-Xz1tQM",2018-07-16T04:09:06.000Z,0
44,"I Have Big Budget Film In Same Price Ticket Of This Film,,,,,,:-$",2018-07-08T10:31:08.000Z,0
