,comments,pub_dates,like_Counts
0,"Mind-blowing movies
Pickku  and pickku friend is a real hero 
Bigg salute 👍👍👍👍👍",2020-03-28T18:17:46.000Z,0
1,I don't know why some people disliked. It's an awesome movie 😁💐😁 Great. I hv tears in my eyes.,2020-03-28T06:54:46.000Z,0
2,Amezing,2020-03-25T16:34:27.000Z,1
3,Kya movies thi yrrrr....  Mind-blowing.. Super..... Movie asi hi honi chahiye....jo apko motivate kre.... 👌👌👌👏👏👏👏,2020-03-19T08:07:21.000Z,0
4,Pichku Friend gopi is too sweet,2020-03-19T05:55:05.000Z,0
5,"Ye film sab ko samajh me nehi aayega..so maat dekho
But film jabardast hai....",2020-03-17T07:21:51.000Z,0
6,Bhot Acha move hai,2020-03-05T19:25:21.000Z,0
7,Nice,2020-03-02T15:37:37.000Z,0
8,Amazing movie we need more like these!!!!,2020-02-25T05:23:11.000Z,1
9,Best moive and motivational 😭😭😭😭😭😭😭😭 Jo log chate h ki tolet ho to waha koi sahi officer nhi h aaj bhi bhot log bhar karte h har ek ko chahiye ki wo apna Kam imandari se kare,2020-02-17T06:46:17.000Z,1
10,MaKE FILM BY VARUN AND ASHWARYA,2020-02-02T02:23:08.000Z,0
11,Bohat hi accha film hain. Plz gyus watch this❤❤❤,2020-02-01T17:18:41.000Z,1
12,Nice,2020-01-18T18:28:57.000Z,0
13,Its a real motivation💓,2020-01-09T15:26:38.000Z,0
14,Dil cho lia is moive ne,2020-01-05T16:04:48.000Z,0
15,Great movie,2019-12-17T15:55:18.000Z,0
16,Jabardast movie,2019-12-10T18:14:09.000Z,0
17,Pichku hai to mumkin hai😃😄😅,2019-12-10T18:13:45.000Z,0
18,Good movie,2019-12-06T06:37:49.000Z,0
19,"Gagab movies 👍👍👍
I salute child army🚴🚴🚴🏌️🏌️🏌️🤹🚣🏊🏂🤺🏇🏋️⛹️",2019-12-04T17:10:51.000Z,0
20,Super b movie...,2019-11-10T17:02:24.000Z,0
21,Subse bekar movie,2019-11-04T15:41:47.000Z,0
22,Wow maja aa gaya 😊🤗🤗,2019-10-30T07:10:21.000Z,0
23,Ghar to saff ho gya lekin talab ganda Kar rha hai,2019-10-19T10:26:08.000Z,1
24,Love,2019-10-18T10:20:09.000Z,0
25,Waooooooo its nice,2019-10-08T11:12:30.000Z,0
26,Wow i m speechles after seeing this wonderfull moive. Congrttt to makers of this moive,2019-10-07T09:27:10.000Z,2
27,Gjb,2019-09-28T06:20:57.000Z,0
28,D GM ROTC,2019-09-15T08:39:37.000Z,1
29,What an idea sir Ji. Kudos to the whole team,2019-09-07T18:13:13.000Z,1
30,Child Labour is menace of Indian society.,2019-07-19T16:28:53.000Z,0
31,"I hope  you all know  about  Bachpan  Bachao Andolan NGO,  Kailash Satyarthi",2019-07-19T16:09:18.000Z,0
32,The movie  is a reflection of the huge amount of  children  loosing their bachpan(childhood),2019-07-19T16:06:28.000Z,0
33,Superb movie hat's off to whole team.,2019-07-18T18:18:57.000Z,2
34,This movie is outstanding...i never seen this types of movie.,2019-07-13T14:41:06.000Z,3
35,Amenzing,2019-06-14T03:44:13.000Z,1
36,It's real simple and amazing story .......Lajwab,2019-05-19T04:56:41.000Z,2
37,Aryan me Neena ok,2019-04-27T11:59:48.000Z,2
38,Nyc,2019-04-26T02:33:26.000Z,1
39,So cute Aryan,2019-04-24T09:21:16.000Z,2
