Cast,category
nora fatehi,3
anupam kher,1
aditi inamdar,4
rufy khan,4
deepika padukone,1
ajay kumar singh,4
saif ali khan,3
pooja hegde,2
shashank udapurkar,4
ayushmann khurrana,2
varun sharma,3
manu rishi chaddha,4
hema malini,3
aamir khan,1
nargis fakhri,2
waluscha de sousa,4
rukshar dhillon,4
harshvardhan rane,3
shruti haasan,2
salman yusuff khan,3
sahil anand,4
malavika mohanan,3
prabhas,2
rahul bose,2
kiara advani,2
sakshi tanwar,4
goonj chand,4
rhea chakraborty,3
shahbaz khan (actor),4
ranvir shorey,3
sanya malhotra,3
niharica raizada,4
pulkit samrat,3
vicky kaushal,3
radhika madan,3
dulquer salmaan,2
punit pathak,4
sumeet vyas,4
lushin dubey,4
honeypreet insan,3
divya menon,4
vidya balan,2
hritu dudani,4
nidhi subbaiah,4
diljit dosanjh,2
mukesh tiwari,4
sohail khan,3
sana khan,3
farhan akhtar,1
shaleen bhanot,4
shreyas talpade,3
tara alisha berry,4
monali a,4
abhishek bachchan,1
hetal gadda,4
sadia,4
shivaleeka oberoi,4
anshuman jha,4
raghav juyal,4
richa dixit,4
vikram singh chauhan,4
krrish chabbria,4
aadil khan,4
digangana suryavanshi,4
arjun rampal,2
disha patani,2
rana daggubati,2
purab kohli,3
john abraham,2
ila arun,4
kriti kharbanda,3
radhika apte,3
sohum shah,4
kajal aggarwal,2
shabana azmi,2
kiran kumar,4
abhimanyu singh,4
bhumi pednekar,3
aishwarya rai,4
manjari fadnis,4
alia bhatt,1
akshara haasan,4
swati bakshi,4
sandeepa dhar,4
tabu,4
aditya roy kapoor,3
sharman joshi,1
jackky bhagnani,4
adil hussain,3
saiyami kher,1
abhishek sharma,4
priyanshu painyuli,4
sapna choudhry,4
madhuri dixit,2
elena kazan,4
hrithik roshan,1
mohan aghashe,4
saba qamar,4
ruslaan mumtaz,4
yash soni,4
pia bajpai,3
sunny leone,2
rajpal yadav,3
taapsee pannu,2
r. madhavan,2
siddhanth kapoor,4
manisha koirala,3
karan nath,4
shashank singh,4
tina desai,3
sikander kher,4
ishita chauhan,4
tiger shroff,2
vishal malhotra,4
jackie shroff,3
pankaj tripathi,3
ratna pathak shah,4
shweta tripathi,4
zoya rathore,4
richa chaddha,2
arshad warsi,2
aman verma,4
avinash dhyani,4
vishal parpagga,4
meher vij,4
sarah jane dias,4
akshay kumar,1
nimrat kaur,3
vidyut jammwal,3
sunil grover,2
zeenat aman,3
jisshu sengupta,3
manav kaul,4
nana patekar,4
nivedita bhattacharya,4
kunal kapoor,3
himansh kohli,4
supriya pathak,2
parvathy,4
raghubir yadav,4
amitabh bachchan,1
sugandha garg,4
vipin sharma,4
imaad shah,4
chetan sharma,4
geetanjali thapa,4
sushma deshpande,4
nandita das,3
varun badola,4
haider khan,4
parineeti chopra,1
riteish deshmukh,1
prince shah,4
saurav chakraborty,4
rajneesh duggal,4
ileana d'cruz,2
prerna sharma,4
parambrata chatterjee,4
shahid kapoor,1
paoli dam,4
varun dhawan,1
omi sharma,4
mona ambegaonkar,4
nawazuddin siddiqui,2
navneet kaur dhillon,4
tanima bhattacharya,4
rajesh sharma,4
jimmy shergill,3
kavita tripathi,4
raima sen,2
manoj bajpayee,3
zuber k. khan,4
farah karimi,4
rajkummar rao,3
anuj aggarwal,4
jimmy sheirgill,3
tahir raj bhasin,4
charu vyas,4
barun sobti,3
simran sharma,4
prateik babbar,4
mukesh manas,4
anupriya goenka,3
karan thakur,4
sara ali khan,4
vivaan shah,4
lucy pinder,3
tanuj virwani,4
karishma sharma,4
anil kapoor,2
amitosh nagpal,4
randeep hooda,3
