,Cast,Twit foll,,
0,nora fatehi,0.4,,
1,anupam kher,15.9,,
2,aditi inamdar,,,
3,rufy khan,,,
4,deepika padukone,27,,
5,ajay kumar singh,,,
6,saif ali khan,0.2,,
7,pooja hegde,2.5,,
8,shashank udapurkar,0.0003,,
9,ayushmann khurrana,5.3,,
10,varun sharma,0.162,,
11,manu rishi chaddha,,,
12,hema malini,1,,
13,aamir khan,25.8,,
14,nargis fakhri,4,,
15,waluscha de sousa,0.01,,
16,rukshar dhillon,0.025,,
17,harshvardhan rane,0.134,,
18,shruti haasan,7.6,,
19,salman yusuff khan,0.118,,
20,sahil anand,0.01,,
21,malavika mohanan,0.244,,
22,prabhas,1.5,,
23,rahul bose,1.9,,
24,kiara advani,1.1,,
25,sakshi tanwar,,,
26,goonj chand,,,
27,rhea chakraborty,0.1,,
28,shahbaz khan (actor),,,
29,ranvir shorey,0.165,,
30,sanya malhotra,0.162,,
31,niharica raizada,0.005,,
32,pulkit samrat,0.428,,
33,vicky kaushal,0.423,,
34,radhika madan,0.107,,
35,dulquer salmaan,1.8,,
36,punit pathak,0.002,,
37,sumeet vyas,0.057,,
38,lushin dubey,,,
39,honeypreet insan,0.35,,
40,divya menon,,,
41,vidya balan,0.431,,
42,hritu dudani,,,
43,nidhi subbaiah,,,
44,diljit dosanjh,3.7,,
45,mukesh tiwari,,,
46,sohail khan,0.1,,
47,sana khan,0.2,,
48,farhan akhtar,12.4,,
49,shaleen bhanot,,,
50,shreyas talpade,0.245,,
51,tara alisha berry,,,
52,monali a,,,
53,abhishek bachchan,14.9,,
54,hetal gadda,,,
55,sadia,,,
56,shivaleeka oberoi,0.001,,
57,anshuman jha,0.003,,
58,raghav juyal,,,
59,richa dixit,,,
60,vikram singh chauhan,0.016,,
61,krrish chabbria,,,
62,aadil khan,,,
63,digangana suryavanshi,0.06,,
64,arjun rampal,4.4,,
65,disha patani,4.7,,
66,rana daggubati,5.9,,
67,purab kohli,0.322,,
68,john abraham,2.9,,
69,ila arun,,,
70,kriti kharbanda,0.679,,
71,radhika apte,0.805,,
72,sohum shah,0.005,,
73,kajal aggarwal,3.7,,
74,shabana azmi,3.3,,
75,kiran kumar,,,
76,abhimanyu singh,,,
77,bhumi pednekar,0.616,,
78,aishwarya rai,,,
79,manjari fadnis,0.04,,
80,alia bhatt,20.3,,
81,akshara haasan,,,
82,swati bakshi,,,
83,sandeepa dhar,0.014,,
84,tabu,,,
85,aditya roy kapoor,0.1,,
86,sharman joshi,12.4,,
87,jackky bhagnani,0.077,,
88,adil hussain,0.301,,
89,saiyami kher,15.9,,
90,abhishek sharma,0.04,,
91,priyanshu painyuli,0.08,,
92,sapna choudhry,,,
93,madhuri dixit,9,,
